UnitID,Institution Name,Hospital services-Total amount (F1819_F2),Hospital services-Total amount (F1718_F2_RV),Hospital services-Total amount (F1617_F2_RV),Hospital services-Total amount (F1516_F2_RV),Hospital services-Total amount (F1415_F2_RV),Hospital services-Total amount (F1314_F2_RV),Hospital services-Total amount (F1213_F2_RV),Hospital services-Total amount (F1112_F2_RV),
212771,Gratz College,0,0,0,0,0,0,0,0,
212805,Grove City College,0,0,0,0,0,0,0,0,
212832,Gwynedd Mercy University,0,0,0,0,0,0,0,0,
446640,Harrisburg University of Science and Technology,0,0,0,0,0,0,0,0,
212911,Haverford College,0,0,0,0,0,0,0,0,
212984,Holy Family University,0,0,0,0,0,0,0,0,
213011,Immaculata University,0,0,0,0,0,0,0,0,
448691,International Institute for Restorative Practices,0,0,0,0,0,0,0,0,
213251,Juniata College,0,0,0,0,0,0,0,0,
213303,Keystone College,0,0,0,0,0,0,0,0,
213321,King's College,0,0,0,0,0,0,0,0,
213358,La Roche University,0,0,0,0,0,0,0,0,
213367,La Salle University,0,0,0,0,0,0,0,0,
213376,Lackawanna College,0,0,0,,,,,,
213385,Lafayette College,0,0,0,0,0,0,0,0,
407629,Lake Erie College of Osteopathic Medicine,0,0,0,0,0,0,0,0,
213400,Lancaster Bible College,0,0,0,0,0,0,0,0,
213446,Lancaster Theological Seminary,0,0,0,0,0,0,0,0,
213507,Lebanon Valley College,0,0,0,0,0,0,0,0,
213543,Lehigh University,0,0,0,0,0,0,0,0,
213668,Lycoming College,0,0,0,0,0,0,0,0,
213774,Manor College,0,0,,,,,,,
213826,Marywood University,0,0,0,0,0,0,0,0,
213987,Mercyhurst University,0,0,0,0,0,0,0,0,
213996,Messiah University,0,0,0,0,0,0,0,0,
214069,Misericordia University,0,0,0,0,0,0,0,0,
211130,Missio Theological Seminary,0,0,0,0,0,0,0,0,
214148,Moore College of Art and Design,0,0,0,0,0,0,0,0,
214157,Moravian College,0,0,0,0,0,0,0,0,
214166,Mount Aloysius College,0,0,0,0,0,0,0,0,
214175,Muhlenberg College,0,0,0,0,0,0,0,0,
214272,Neumann University,0,0,0,0,0,0,0,0,
214883,Peirce College,0,0,0,0,0,0,0,0,
214971,Pennsylvania Academy of the Fine Arts,0,0,0,0,0,0,0,0,
215053,Pennsylvania College of Art and Design,0,0,0,0,0,0,0,0,
442356,Pennsylvania College of Health Sciences,0,0,0,0,0,0,0,0,
215123,Philadelphia College of Osteopathic Medicine,0,0,0,0,0,0,0,0,
215415,Pittsburgh Technical College,0,0,0,,,,,,
215424,Pittsburgh Theological Seminary,0,0,0,0,0,0,0,0,
215442,Point Park University,0,0,0,0,0,0,0,0,
215619,Reconstructionist Rabbinical College,0,0,0,0,0,0,0,0,
215628,Reformed Presbyterian Theological Seminary,0,0,0,0,0,0,0,0,
215655,Robert Morris University,0,0,0,0,0,0,0,0,
215691,Rosemont College,0,0,0,0,0,0,0,0,
216047,Saint Charles Borromeo Seminary-Overbrook,0,0,0,0,0,0,0,0,
215743,Saint Francis University,0,0,0,0,0,0,0,0,
215770,Saint Joseph's University,0,0,0,0,0,0,0,0,
215798,Saint Vincent College,0,0,0,0,0,0,0,0,
215813,Saint Vincent Seminary,,,,,,,,,
214564,Salus University,0,0,0,0,0,0,0,0,
215947,Seton Hill University,0,0,0,0,0,0,0,0,
216278,Susquehanna University,0,0,0,0,0,0,0,0,
216287,Swarthmore College,0,0,0,0,0,0,0,0,
216311,Talmudical Yeshiva of Philadelphia,0,0,0,0,0,0,0,0,
215105,The University of the Arts,0,0,0,0,0,0,0,0,
216348,Theological Seminary of the Reformed Episcopal Church,0,0,0,0,0,,0,,
216357,Thiel College,0,0,0,0,0,0,0,0,
216366,Thomas Jefferson University,4644180000,3967443000,3321100312,2538204281,1677545240,0,0,0,
216463,Trinity Episcopal School for Ministry,0,0,0,0,0,0,0,0,
213631,United Lutheran Seminary,0,0,0,0,0,0,0,0,
215062,University of Pennsylvania,6445223000,5701069000,5109872000,4649085000,3388381000,3101443000,2804080000,2826874000,
215929,University of Scranton,0,0,0,0,0,0,0,0,
215132,University of the Sciences,0,0,0,0,0,0,0,0,
216542,University of Valley Forge,0,0,0,0,0,0,0,0,
216524,Ursinus College,0,0,0,0,0,0,0,0,
216597,Villanova University,0,0,0,0,0,0,0,0,
216667,Washington & Jefferson College,0,0,0,0,0,0,0,0,
216694,Waynesburg University,0,0,0,0,0,0,0,0,
216807,Westminster College,0,0,0,0,0,0,0,0,
216816,Westminster Theological Seminary,0,0,0,0,0,0,0,0,
216852,Widener University,0,0,0,0,0,0,0,0,
216931,Wilkes University,0,0,0,0,0,0,0,0,
217013,Wilson College,0,0,0,0,0,0,0,0,
442064,Won Institute of Graduate Studies,0,0,0,0,0,0,0,0,
217040,Yeshivath Beth Moshe,0,0,0,0,0,0,0,0,
217059,York College of Pennsylvania,0,0,0,0,0,0,0,0,
