UnitID,Institution Name,Grand total (EF2019  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),
219639,Baptist Health Sciences University,94,105,86,66,59,73,88,67,
223117,Baptist Missionary Association Theological Seminary,13,3,4,26,10,5,5,16,
444398,Baptist University of the Americas,11,14,19,37,30,22,19,25,
155070,Barclay College,44,44,39,50,49,52,49,40,
189088,Bard College,482,486,470,506,456,560,489,528,
167792,Bard College at Simon's Rock,149,145,168,145,116,116,144,145,
189097,Barnard College,632,605,603,605,635,617,578,599,
177719,Barnes-Jewish College Goldfarb School of Nursing,,,,,,,,,
132471,Barry University,717,644,604,480,433,460,564,625,
197911,Barton College,319,277,198,241,220,192,217,202,
235547,Bastyr University,,,,,,,,,
160977,Bates College,499,543,510,498,516,491,500,503,
164632,Bay Path University,125,135,144,153,178,129,136,155,
223223,Baylor College of Medicine,,,,,,,,,
223232,Baylor University,3307,3366,3320,3503,3394,3625,3190,3254,
476717,Be'er Yaakov Talmudic Seminary,143,148,115,144,151,121,101,99,
384254,Beacon College,98,91,82,66,62,52,41,39,
164720,Becker College,259,304,382,421,415,407,359,381,
444413,Beis Medrash Heichal Dovid,52,38,34,39,43,32,32,48,
175421,Belhaven University,198,227,240,241,285,343,280,268,
156286,Bellarmine University,617,653,681,637,709,666,676,607,
180814,Bellevue University,124,32,49,34,65,99,124,155,
238324,Bellin College,30,47,38,36,29,26,41,24,
197984,Belmont Abbey College,368,392,401,358,310,293,286,303,
219709,Belmont University,1684,1568,1568,1571,1388,1396,1248,1267,
238333,Beloit College,259,266,323,382,392,299,299,311,
217721,Benedict College,729,711,563,604,657,548,555,736,
154712,Benedictine College,524,570,438,517,508,488,494,488,
145619,Benedictine University,347,455,423,557,451,673,635,610,
165884,Benjamin Franklin Institute of Technology,209,223,191,202,198,210,184,185,
197993,Bennett College,71,237,174,118,158,166,194,215,
230816,Bennington College,179,202,225,218,215,192,140,197,
164739,Bentley University,944,1014,1018,1041,915,978,974,976,
156295,Berea College,413,438,432,418,432,416,397,391,
461643,Bergin University of Canine Studies,,,,,,,,,
108861,Berkeley School of Theology,,,,,,,,,
164748,Berklee College of Music,1311,1277,1329,1297,960,950,910,980,
139144,Berry College,577,509,553,534,575,568,672,618,
485999,Bet Medrash Gadol Ateret Torah,30,26,24,24,23,,,,
189273,Beth Hamedrash Shaarei Yosher Institute,29,23,20,11,12,12,18,16,
183804,Beth Medrash Govoha,,,,,,,,,
486196,Beth Medrash Meor Yitzchok,96,58,63,53,52,,,,
488314,Beth Medrash of Asbury Park,23,22,23,3,,,,,
154721,Bethany College,245,291,279,212,173,188,184,131,
237181,Bethany College,189,178,160,164,220,246,183,265,
486284,Bethany Global University,67,71,62,74,52,,,,
173142,Bethany Lutheran College,179,175,136,138,134,141,147,136,
143233,Bethany Theological Seminary,,,,,,,,,
154749,Bethel College-North Newton,155,108,124,101,130,110,123,101,
262022,Bethel Seminary-San Diego,,,,,,,,,
150145,Bethel University,307,297,233,243,281,223,248,233,
173160,Bethel University,586,619,598,565,616,604,612,636,
219718,Bethel University,418,412,456,407,517,515,613,998,
110060,Bethesda University,68,62,78,89,70,66,68,20,
486053,Bethlehem College & Seminary,25,26,23,30,23,,,,
132602,Bethune-Cookman University,560,939,1180,1167,905,974,1023,899,
139153,Beulah Heights University,35,9,13,16,64,52,91,58,
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,,,,,,,,,
110097,Biola University,907,866,891,872,829,944,903,920,
100937,Birmingham-Southern College,332,328,349,328,441,352,356,327,
442949,Birthingway College of Midwifery,,,,,,,,,
143288,Blackburn College,112,168,145,170,160,171,116,138,
143297,Blessing Rieman College of Nursing and Health Sciences,,,,,,,,,
183822,Bloomfield College,400,394,415,507,435,447,425,383,
175430,Blue Mountain College,113,129,127,112,56,76,85,71,
231554,Bluefield College,193,222,210,179,150,158,123,141,
201371,Bluffton University,231,176,211,208,218,218,250,239,
217749,Bob Jones University,655,605,595,582,608,614,678,699,
142090,Boise Bible College,15,20,27,33,31,43,47,54,
233356,Bon Secours Memorial College of Nursing,,,,,,,4,3,
189413,Boricua College,91,67,130,133,135,220,220,236,
164872,Boston Architectural College,20,19,26,22,39,24,15,20,
164614,Boston Baptist College,13,8,10,11,11,8,19,26,
164924,Boston College,2297,2326,2420,2254,2316,2295,2309,2300,
164915,Boston Graduate School of Psychoanalysis Inc,,,,,,,,,
164988,Boston University,3156,3612,3498,3553,3631,3915,3807,3877,
161004,Bowdoin College,498,510,501,503,500,501,497,492,
143358,Bradley University,1048,1090,1265,1093,928,948,1085,1016,
165015,Brandeis University,863,895,858,841,802,859,833,820,
262086,Brandman University,60,70,50,33,32,47,46,13,
139199,Brenau University,228,280,310,177,203,231,204,181,
156356,Brescia University,151,231,130,128,152,169,151,165,
198066,Brevard College,252,268,247,231,247,218,242,220,
139205,Brewton-Parker College,195,197,170,158,105,112,148,137,
152992,Briar Cliff University,136,181,158,210,185,206,180,233,
231581,Bridgewater College,487,590,534,600,542,488,536,552,
142522,Brigham Young University-Idaho,5211,4451,4742,4188,4192,2190,2423,2653,
230038,Brigham Young University-Provo,5731,5739,5440,5246,5127,4060,4423,5525,
450304,Brite Divinity School,,,,,,,,,
189501,Brooklyn Law School,,,,,,,,,
217156,Brown University,1660,1652,1637,1679,1613,1559,1542,1536,
180878,Bryan College of Health Sciences,72,63,53,58,46,51,37,42,
219790,Bryan College-Dayton,195,192,177,208,164,188,187,198,
217165,Bryant University,854,867,892,843,908,826,890,772,
210492,Bryn Athyn College of the New Church,79,64,97,70,90,85,81,55,
211273,Bryn Mawr College,374,391,354,407,385,351,365,365,
211291,Bucknell University,964,974,973,950,938,939,933,915,
153001,Buena Vista University,230,201,203,183,223,201,269,228,
209409,Bushnell University,113,100,102,81,84,78,82,68,
150163,Butler University,1116,1326,1054,1256,1025,971,1015,1101,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
198109,Cabarrus College of Health Sciences,32,18,12,23,25,31,29,34,
211352,Cabrini University,365,442,494,486,392,392,304,384,
215114,Cairn University-Langhorne,238,186,154,147,161,159,139,154,
183910,Caldwell University,445,497,361,404,353,386,373,292,
110361,California Baptist University,1523,1603,1412,1146,1106,1086,993,909,
110918,California Christian College,1,1,3,1,2,,4,4,
110370,California College of the Arts,248,263,235,256,241,273,232,233,
478634,California College San Diego,33,25,63,34,25,40,27,,
485263,California College San Diego,59,81,130,104,108,92,,,
474890,California College San Diego-CollegeAmerica-Phoenix,77,99,109,81,91,109,63,311,
487649,California Institute of Advanced Management,,,,,,,,,
110316,California Institute of Integral Studies,,,,,,,,,
110404,California Institute of Technology,235,231,235,235,241,226,248,264,
111081,California Institute of the Arts,216,215,213,205,193,187,172,180,
486488,California Jazz Conservatory,1,2,5,3,2,,,,
110413,California Lutheran University,647,681,585,638,595,556,540,558,
111391,California Western School of Law,,,,,,,,,
150172,Calumet College of Saint Joseph,135,116,98,113,118,126,168,134,
176789,Calvary University,52,48,43,32,34,38,41,35,
169099,Calvin Theological Seminary,,,,,,,,,
169080,Calvin University,790,842,889,929,944,951,1006,977,
165167,Cambridge College,11,18,22,27,34,138,186,68,
198136,Campbell University,742,830,798,912,976,879,794,824,
156365,Campbellsville University,664,666,541,598,514,516,531,579,
189705,Canisius College,554,485,553,597,605,613,682,713,
201548,Capital University,723,589,595,613,671,710,691,670,
162061,Capitol Technology University,76,84,62,95,83,54,51,65,
238430,Cardinal Stritch University,139,131,141,165,160,188,195,162,
173258,Carleton College,525,529,522,567,491,521,527,528,
211431,Carlow University,163,247,241,218,222,203,205,219,
211440,Carnegie Mellon University,1585,1572,1676,1552,1575,1474,1442,1408,
199971,Carolina Christian College,13,16,1,1,2,2,2,16,
461032,Carolina College of Biblical Studies,,24,12,10,12,4,13,6,
489937,Carolina University,60,119,65,29,,,,,
180106,Carroll College,312,254,294,339,387,354,315,383,
238458,Carroll University,793,719,724,668,761,762,686,726,
219806,Carson-Newman University,557,483,395,505,497,491,480,453,
238476,Carthage College,687,763,709,724,752,713,717,725,
201645,Case Western Reserve University,1357,1393,1309,1265,1259,1282,1252,1372,
198215,Catawba College,342,338,332,349,311,344,335,296,
143659,Catholic Theological Union at Chicago,,,,,,,,,
189848,Cazenovia College,218,204,165,209,250,265,345,268,
211468,Cedar Crest College,205,207,213,181,179,170,141,145,
201654,Cedarville University,995,911,872,769,819,787,781,832,
158477,Centenary College of Louisiana,172,169,173,130,157,141,128,158,
183974,Centenary University,205,234,219,243,227,244,217,292,
232618,Centra College,12,12,15,,,,,,
106713,Central Baptist College,105,128,136,126,118,143,129,108,
154855,Central Christian College of Kansas,88,127,164,99,176,163,173,207,
176910,Central Christian College of the Bible,49,41,54,57,54,69,64,61,
153108,Central College,337,278,322,323,317,429,309,320,
445267,Central Methodist University-College of Graduate and Extended Studies,3,4,3,2,6,,,,
176947,Central Methodist University-College of Liberal Arts and Sciences,321,324,279,264,287,331,291,302,
488004,Central Yeshiva Beth Joseph,,,,,,,,,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,96,39,36,28,62,85,92,78,
156408,Centre College,355,358,401,400,374,386,377,351,
492069,Champion Christian College,35,45,,,,,,,
230852,Champlain College,524,538,587,663,590,630,594,601,
111948,Chapman University,1768,1660,1696,1516,1426,1422,1289,1278,
111966,Charles R Drew University of Medicine and Science,13,27,19,1,,1,5,5,
217688,Charleston Southern University,579,585,642,723,756,652,656,626,
444778,Charlotte Christian College and Theological Seminary,,,2,5,8,6,4,13,
211556,Chatham University,315,282,284,194,211,104,92,117,
211583,Chestnut Hill College,215,167,207,241,209,193,190,211,
437732,Chicago School of Professional Psychology - College of Nursing,1,33,10,36,49,19,61,104,
492607,Chicago School of Professional Psychology at Dallas,,,,,,,,,
144014,Chicago Theological Seminary,,,,,,,,,
198303,Chowan University,400,414,526,522,552,531,474,523,
189981,Christ the King Seminary,,,,,,,,,
219833,Christian Brothers University,340,395,385,337,312,351,263,254,
150215,Christian Theological Seminary,,,,,,,,,
112127,Church Divinity School of the Pacific,,,,,,,,,
201867,Cincinnati College of Mortuary Science,,,,,,,,,
244233,City College-Fort Lauderdale,19,18,18,18,35,46,47,59,
406547,City College-Gainesville,27,22,16,31,32,73,55,32,
434539,City College-Miami,3,29,12,16,33,35,22,24,
234915,City University of Seattle,19,15,40,17,170,198,50,40,
217873,Claflin University,460,572,519,490,450,389,385,442,
112251,Claremont Graduate University,,,,,,,,,
112260,Claremont McKenna College,328,325,352,321,343,327,337,291,
124283,Claremont School of Theology,,,,,,,,,
138947,Clark Atlanta University,814,921,914,999,844,717,781,637,
165334,Clark University,665,582,615,548,671,552,621,594,
153126,Clarke University,134,197,162,158,180,183,181,155,
211024,Clarks Summit University,105,106,104,90,80,97,106,94,
180832,Clarkson College,27,19,43,32,34,34,36,47,
190044,Clarkson University,790,797,677,797,792,767,757,778,
156417,Clear Creek Baptist Bible College,18,18,6,7,22,12,6,11,
169327,Cleary University,92,62,102,68,61,58,48,35,
202046,Cleveland Institute of Art,155,175,154,161,168,139,155,138,
202073,Cleveland Institute of Music,54,62,58,60,67,55,64,60,
177038,Cleveland University-Kansas City,1,2,1,3,3,2,,1,
217891,Clinton College,64,131,30,109,75,105,78,54,
153144,Coe College,379,393,400,374,377,376,390,364,
217907,Coker University,266,294,210,259,226,239,251,198,
161086,Colby College,522,580,552,510,508,480,483,493,
182634,Colby-Sawyer College,264,235,271,253,267,331,399,508,
190080,Colgate Rochester Crozer Divinity School,,,,,,,,,
190099,Colgate University,786,815,771,766,773,767,759,756,
169442,College for Creative Studies,293,254,263,269,286,251,241,275,
388520,College of Biblical Studies-Houston,45,1,33,27,11,42,46,29,
413617,College of Menominee Nation,29,81,91,55,63,90,89,116,
193399,College of Mount Saint Vincent,441,412,447,436,321,518,386,486,
167394,College of Our Lady of the Elms,180,145,173,164,182,187,187,200,
174747,College of Saint Benedict,438,445,524,507,475,550,543,495,
181604,College of Saint Mary,105,119,102,103,77,71,89,91,
160959,College of the Atlantic,105,83,91,79,81,79,104,72,
166124,College of the Holy Cross,829,868,818,764,738,773,719,763,
178697,College of the Ozarks,255,314,368,385,344,255,355,244,
448752,CollegeAmerica-Colorado Springs,11,14,41,22,18,44,43,53,
103945,CollegeAmerica-Flagstaff,4,7,17,10,13,21,26,109,
448761,CollegeAmerica-Fort Collins,9,19,21,15,25,12,18,34,
126669,Colorado Christian University,580,679,660,632,504,532,530,452,
126678,Colorado College,535,544,543,533,583,549,522,510,
177065,Columbia College,601,776,697,891,805,948,990,1103,
217934,Columbia College,176,161,160,146,185,136,128,188,
144281,Columbia College Chicago,1748,1305,1443,1555,1805,1820,2161,2091,
112570,Columbia College Hollywood,89,104,95,80,77,56,44,47,
238573,Columbia College of Nursing,,,,,,,,,
217925,Columbia International University,132,109,88,81,95,104,103,108,
139348,Columbia Theological Seminary,,,,,,,,,
190150,Columbia University in the City of New York,1465,1488,1475,1585,1487,1533,1509,1460,
202170,Columbus College of Art and Design,266,242,255,240,245,247,235,263,
459417,Compass College of Cinematic Arts,11,36,37,50,30,37,25,39,
177083,Conception Seminary College,4,8,14,11,19,16,19,14,
190248,Concordia College,183,147,153,140,138,136,153,162,
173300,Concordia College at Moorhead,517,597,568,545,520,540,684,633,
177092,Concordia Seminary,,,,,,,,,
150288,Concordia Theological Seminary,,,,,,,,,
224004,Concordia University Texas,235,217,278,280,267,242,192,259,
169363,Concordia University-Ann Arbor,223,234,190,199,153,158,188,153,
144351,Concordia University-Chicago,350,395,327,356,294,300,376,318,
112075,Concordia University-Irvine,342,319,328,407,334,352,373,301,
180984,Concordia University-Nebraska,291,356,348,323,347,326,282,296,
208488,Concordia University-Portland,230,245,220,229,192,200,222,247,
173328,Concordia University-Saint Paul,351,244,248,244,229,245,294,181,
238616,Concordia University-Wisconsin,578,571,560,478,627,640,580,610,
128902,Connecticut College,508,508,444,472,478,498,489,503,
217961,Converse College,188,209,272,242,212,234,232,189,
165495,Conway School of Landscape Design,,,,,,,,,
190372,Cooper Union for the Advancement of Science and Art,198,216,192,224,234,218,178,181,
210331,Corban University,206,226,197,239,276,220,222,218,
153162,Cornell College,270,296,300,287,276,262,270,302,
190415,Cornell University,3189,3295,3349,3315,3180,3225,3223,3217,
170037,Cornerstone University,304,285,287,283,337,323,373,352,
235024,Cornish College of the Arts,132,142,177,172,179,161,167,155,
177117,Cottey College,92,97,86,94,154,130,124,127,
139393,Covenant College,219,249,263,265,258,265,295,268,
177126,Covenant Theological Seminary,,,,,,,,,
176770,Cox College,2,3,3,14,19,10,15,239,
169424,Cranbrook Academy of Art,,,,,,,,,
181002,Creighton University,1076,1155,1120,1033,1068,1025,966,945,
475608,Criswell College,26,13,17,16,12,21,20,44,
106810,Crowley's Ridge College,42,53,70,84,53,62,47,62,
174862,Crown College,132,168,141,166,162,158,210,185,
190503,Culinary Institute of America,610,472,433,512,524,430,490,534,
177144,Culver-Stockton College,256,288,305,269,260,290,220,217,
219949,Cumberland University,698,602,562,447,200,178,212,213,
165529,Curry College,576,581,603,678,607,676,657,604,
211893,Curtis Institute of Music,22,26,19,18,21,26,29,28,
190716,D'Youville College,217,247,277,245,233,297,251,274,
190725,Daemen College,412,339,387,392,384,420,411,439,
219091,Dakota Wesleyan University,163,170,193,172,177,142,168,202,
224226,Dallas Baptist University,572,548,540,527,499,494,492,492,
224244,Dallas Christian College,34,49,48,32,60,62,48,53,
224305,Dallas Theological Seminary,,,,,,,,,
492102,Daniel Morgan Graduate School of National Security,,,,,,,,,
182670,Dartmouth College,1190,1167,1215,1116,1112,1152,1112,1095,
169479,Davenport University,670,651,596,632,656,635,589,635,
198385,Davidson College,527,515,519,514,510,502,483,490,
237358,Davis & Elkins College,213,198,236,221,210,212,269,228,
194569,Davis College,,18,20,40,35,50,39,51,
165574,Dean College,438,474,465,437,485,452,528,482,
202514,Defiance College,181,157,151,138,183,233,241,241,
211981,Delaware Valley University,377,447,418,451,479,489,416,465,
113537,Dell'Arte International School of Physical Theatre,4,,,,,,1,,
202523,Denison University,625,654,617,637,633,609,582,629,
126979,Denver Seminary,,,,,,,,,
144740,DePaul University,2627,2575,2542,2459,2519,2544,2425,2593,
150400,DePauw University,423,564,595,559,596,514,641,578,
154156,Des Moines University-Osteopathic Medical Center,,,,,,,,,
210739,DeSales University,500,517,431,572,429,408,417,389,
212009,Dickinson College,453,635,607,610,731,619,626,602,
158802,Dillard University,313,373,338,362,297,325,229,351,
445869,Divine Mercy University,,,,,,,,,
153241,Divine Word College,,1,2,4,1,9,11,11,
181020,Doane University,319,259,299,303,330,268,287,337,
190761,Dominican College of Blauvelt,293,299,229,253,365,290,286,293,
113704,Dominican School of Philosophy & Theology,,,,,,,,,
148496,Dominican University,419,447,441,495,484,473,497,406,
113698,Dominican University of California,330,288,242,269,256,262,306,265,
122117,Dongguk University Los Angeles,,,,,,,,,
155007,Donnelly College,59,66,55,97,73,185,135,113,
153250,Dordt University,387,365,399,392,364,337,379,345,
449481,Dragon Rises College of Oriental Medicine,,,,,,,,,
153269,Drake University,782,750,758,767,803,870,850,848,
184348,Drew University,400,420,371,350,357,302,400,363,
212054,Drexel University,3178,3361,3274,2327,2730,2928,3039,3106,
177214,Drury University,342,377,456,500,435,490,519,627,
492801,Drury University-College of Continuing Professional Studies,88,114,,,,,,,
198419,Duke University,1731,1745,1748,1723,1746,1721,1730,1714,
175227,Dunwoody College of Technology,259,237,193,233,208,211,204,237,
212106,Duquesne University,1302,1512,1562,1556,1435,1343,1547,1526,
150455,Earlham College,172,271,287,355,252,270,253,286,
224527,East Texas Baptist University,350,404,424,351,343,364,345,360,
144883,East-West University,190,74,106,181,171,118,185,214,
232043,Eastern Mennonite University,204,200,189,223,254,240,232,217,
165644,Eastern Nazarene College,131,140,153,166,114,170,165,183,
212133,Eastern University,357,423,381,442,395,446,450,459,
446233,Ecclesia College,61,56,65,75,99,41,59,49,
133492,Eckerd College,539,581,561,578,488,514,455,535,
247162,Ecumenical Theological Seminary,,5,6,6,2,5,8,14,
177278,Eden Theological Seminary,,,,,,,,,
238661,Edgewood College,239,255,284,263,298,290,298,342,
442806,Edward Via College of Osteopathic Medicine,,,,,,,,,
133526,Edward Waters College,218,316,268,234,246,222,208,224,
212197,Elizabethtown College,377,386,411,443,504,447,530,503,
486080,Elmezzi Graduate School of Molecular Medicine,,,,,,,,,
144962,Elmhurst University,522,530,497,477,478,510,506,560,
190983,Elmira College,217,206,205,208,258,331,319,356,
198516,Elon University,1659,1698,1573,1553,1524,1497,1475,1425,
133553,Embry-Riddle Aeronautical University-Daytona Beach,1710,1418,1357,1273,1275,1217,944,941,
104586,Embry-Riddle Aeronautical University-Prescott,754,609,681,604,583,505,448,375,
426314,Embry-Riddle Aeronautical University-Worldwide,470,579,517,472,469,364,387,306,
165662,Emerson College,942,923,932,881,915,857,863,866,
139630,Emmanuel College,248,247,264,238,234,193,167,194,
165671,Emmanuel College,582,596,474,596,555,524,515,553,
153302,Emmaus Bible College,52,47,61,67,59,69,34,44,
232025,Emory & Henry College,271,268,253,284,304,284,267,245,
139658,Emory University,1374,1431,1388,1358,1357,1824,1853,1824,
165699,Endicott College,842,764,782,726,806,763,662,646,
124487,Epic Bible College,7,10,10,10,18,32,34,18,
224712,Episcopal Theological Seminary of the Southwest,,,,,,,,,
409254,Erikson Institute,,,,,,,,,
217998,Erskine College,434,171,179,210,218,188,212,145,
144971,Eureka College,109,140,106,153,165,168,138,156,
177339,Evangel University,443,372,400,387,362,329,460,384,
212443,Evangelical Theological Seminary,,,,,,,,,
385619,Everglades University,620,589,634,657,612,53,54,53,
460376,Fairfax University of America,3,2,6,10,,,,,
129242,Fairfield University,1176,1091,994,1056,966,1056,963,990,
184694,Fairleigh Dickinson University-Florham Campus,579,673,802,588,696,702,512,585,
184603,Fairleigh Dickinson University-Metropolitan Campus,555,605,709,545,573,650,651,756,
153320,Faith Baptist Bible College and Theological Seminary,83,80,99,74,72,88,60,70,
443049,Faith International University,3,3,15,31,8,11,6,22,
212452,Faith Theological Seminary,3,2,5,13,10,13,27,,
443058,Family of Faith Christian University,3,,7,4,2,3,3,1,
101189,Faulkner University,276,273,333,314,297,407,298,378,
184612,Felician University,382,288,308,316,298,270,153,229,
232089,Ferrum College,355,416,359,451,422,499,554,550,
114549,Fielding Graduate University,,,,,,,,,
172440,Finlandia University,116,113,99,153,164,106,107,125,
165802,Fisher College,174,211,263,282,278,323,335,388,
220181,Fisk University,327,278,135,124,216,227,232,183,
133711,Flagler College,640,653,737,600,621,673,708,646,
133809,Florida College,205,206,158,179,189,212,198,192,
133881,Florida Institute of Technology,668,784,721,761,645,771,783,756,
133979,Florida Memorial University,325,341,327,384,377,463,412,405,
134079,Florida Southern College,685,707,722,648,698,581,635,537,
177418,Fontbonne University,184,183,139,141,178,113,160,141,
191241,Fordham University,2270,2299,2283,2199,2211,2258,1967,1882,
