UnitID,Institution Name,Total expenses-Total amount (F1819_F2),Total expenses-Total amount (F1718_F2_RV),Total expenses-Total amount (F1617_F2_RV),Total expenses-Total amount (F1516_F2_RV),Total expenses-Total amount (F1415_F2_RV),Total expenses-Total amount (F1314_F2_RV),Total expenses-Total amount (F1213_F2_RV),Total expenses-Total amount (F1112_F2_RV),
413617,College of Menominee Nation,9455634,9291402,12065270,11738175,17822466,16066617,17602725,16746171,
193399,College of Mount Saint Vincent,52063474,51747402,50271384,45235971,46250922,44115893,42266541,40633691,
167394,College of Our Lady of the Elms,28743054,28939282,28334769,27275557,25314627,23812637,21899999,20386310,
174747,College of Saint Benedict,64462682,64490145,64376295,66263910,63590703,65266356,66846320,59196141,
181604,College of Saint Mary,24721110,23693047,22158318,20220464,18920717,18438816,17895296,19989579,
160959,College of the Atlantic,25887939,24980859,24599516,23917462,23626907,23277139,21343819,21625126,
166124,College of the Holy Cross,191728780,182923990,175760995,170654426,165926147,157207700,155540642,158591408,
178697,College of the Ozarks,58971603,49380590,51575235,52258792,49451147,55123562,55670637,52062535,
448752,CollegeAmerica-Colorado Springs,3940270,4401584,5627274,5598922,7392361,7422385,9235504,,
103945,CollegeAmerica-Flagstaff,2332670,2444619,2996397,2826440,4064459,3442310,3514381,,
448761,CollegeAmerica-Fort Collins,2789476,2855772,2941910,2849093,3307834,4525895,4856427,,
126669,Colorado Christian University,82950558,77852524,70366916,65825618,59125590,52272398,46964088,40782593,
126678,Colorado College,164558512,154792604,149137196,137761938,129573462,119626879,114132599,107702788,
177065,Columbia College,99708554,93985321,93590933,92582316,91808914,91645867,88397791,83768656,
217934,Columbia College,22338477,23102647,26873069,28189160,26983059,25713587,23773809,22475135,
144281,Columbia College Chicago,184801806,186802780,197515208,200392396,215952581,220092632,222046503,225646814,
112570,Columbia College Hollywood,16729076,23674757,10087886,9025391,7627617,7513992,6928228,6301147,
238573,Columbia College of Nursing,4036521,3985481,4614970,4588012,4405517,4242423,4072427,4104491,
217925,Columbia International University,38804382,33967350,29576767,29746039,30749809,33107716,33862664,32725786,
139348,Columbia Theological Seminary,13564696,13138804,13339040,13678394,13313550,12599318,12294151,12345280,
190150,Columbia University in the City of New York,4817559000,4596899000,4384914000,4044402000,3800891000,3605779000,3460017000,3425061000,
202170,Columbus College of Art and Design,29657242,29880869,29147489,42250848,42390550,45466861,44132214,41848511,
459417,Compass College of Cinematic Arts,2140504,2403961,1832981,1675864,1612335,1136749,876036,741273,
177083,Conception Seminary College,3272044,3382008,3586983,3480672,3350123,3494492,3468966,3310299,
190248,Concordia College,36473220,34888824,30413259,27364394,24822337,22945473,21276553,19836074,
173300,Concordia College at Moorhead,87665976,83869990,80153044,83083081,83028807,85845574,85009817,84029598,
177092,Concordia Seminary,21515567,21968054,22025302,22247950,21659127,20796722,19668225,19298157,
150288,Concordia Theological Seminary,13539371,12998929,12242620,11713110,11523865,11479781,10996637,10906782,
224004,Concordia University Texas,42755502,39814561,38731249,37757476,36169746,35911923,35313707,34931325,
169363,Concordia University-Ann Arbor,,24041332,20814848,20600213,18458019,15831601,13331475,12632011,
144351,Concordia University-Chicago,75816295,74065079,68737955,64955538,61171481,59620470,60292008,57168445,
112075,Concordia University-Irvine,71701964,70221333,69850181,69623439,65915829,59008474,53925757,48141258,
180984,Concordia University-Nebraska,36693322,38779623,40237606,39585856,35509354,31842371,30265389,28081082,
208488,Concordia University-Portland,96246470,89403323,105349853,158581122,162836888,119891999,73579054,42446306,
173328,Concordia University-Saint Paul,58727045,56785621,54863259,51419162,47299855,42733951,37997803,37834203,
238616,Concordia University-Wisconsin,120032892,95401098,96626954,95367887,91013377,84141949,76201903,68680841,
128902,Connecticut College,109747000,117481000,116156000,112015000,108755000,107451000,105005000,102156000,
217961,Converse College,29039726,28572425,29456370,28469145,28371636,27969490,26871929,26580737,
165495,Conway School of Landscape Design,896288,868751,955555,1149720,859653,783703,776252,659354,
190372,Cooper Union for the Advancement of Science and Art,78434505,78300164,82496134,80205090,77977921,74038744,68182417,69613139,
210331,Corban University,21596605,25856837,26552377,23767331,23811796,23276007,26552140,24292109,
153162,Cornell College,41663763,39815482,38945967,37669194,37395968,37355367,33979280,33251687,
190415,Cornell University,2464000959,2353696866,2191151070,2154076702,2119348796,1834267953,1779141462,1752089548,
170037,Cornerstone University,39337652,39235163,41168411,42710014,41961868,41890417,40901280,39866662,
235024,Cornish College of the Arts,24184618,23889808,23989372,26425703,28228165,28499852,26380275,26033330,
177117,Cottey College,17473310,16626935,16366852,18843763,22767891,14982786,14552321,14815228,
139393,Covenant College,31590725,32372732,30200123,28578630,29012592,29214940,29488181,28950711,
177126,Covenant Theological Seminary,8893624,9405266,8963409,8702858,8158315,9088217,9396337,9413283,
176770,Cox College,11540338,10517032,10139819,8831972,10397824,8947286,6562500,6401218,
169424,Cranbrook Academy of Art,10833079,10669272,10005574,9539759,9674683,8430478,7944650,8680993,
181002,Creighton University,405079000,373814000,375350000,364977000,348487000,355694000,393818000,410680000,
475608,Criswell College,6311138,6209206,6108016,6421870,5673401,5291271,6175165,6121323,
106810,Crowley's Ridge College,3295251,3206921,2980406,2822097,2520115,2390328,2298163,2235086,
174862,Crown College,18238433,17582714,17364581,17976114,18381952,19002048,18118802,17460569,
190503,Culinary Institute of America,150082946,147143888,144514423,148317250,138319369,136272473,135996446,131338126,
177144,Culver-Stockton College,21244487,22064190,19928964,19368773,18583695,17366965,16719996,15915776,
219949,Cumberland University,26932713,25590685,24016791,22445090,22324747,23649573,25598063,23007517,
165529,Curry College,79744294,80242827,78112795,77274251,76448495,74821894,73886436,69922312,
211893,Curtis Institute of Music,23059459,22163531,22145306,20120441,20228847,18784965,17760901,15488729,
190716,D'Youville College,66684937,62155879,57419301,58314447,56416321,57236466,54685660,50090594,
190725,Daemen College,51182264,49870222,50323383,49065197,47435417,45298560,43736705,41645350,
219091,Dakota Wesleyan University,19394164,18035664,16848420,15973480,15741330,15183664,14871457,14177296,
224226,Dallas Baptist University,94386915,95039705,92879817,91163966,87705272,84432777,78942509,73502424,
224244,Dallas Christian College,4283505,4165428,5187340,4897432,4892316,5075807,6427920,4843372,
224305,Dallas Theological Seminary,40314643,39355020,38791981,38517882,36457169,33502563,31975422,31445965,
492102,Daniel Morgan Graduate School of National Security,12678787,18566000,,,,,,,
182670,Dartmouth College,948774826,884086291,915707151,934979645,907629465,875660926,874486315,793294350,
169479,Davenport University,95690327,116228787,110193676,114401255,112361076,115436058,124441274,127243354,
198385,Davidson College,137822548,129291442,123869196,123020840,123268083,118971217,108690965,106103700,
237358,Davis & Elkins College,21278667,21748188,20315475,20935192,22321816,21940928,19858616,18555618,
194569,Davis College,3683775,3655237,3789010,4300461,4545236,4321499,3903153,3447948,
165574,Dean College,42410533,41082389,40364350,38347863,37129521,36226632,35169473,32505275,
202514,Defiance College,16304325,16026822,15331625,17494744,19065313,19205042,18897879,18491140,
211981,Delaware Valley University,61549318,59479576,57977786,58790594,55429269,54828054,56078160,52086094,
113537,Dell'Arte International School of Physical Theatre,1163874,1211738,1218425,1140228,1136874,1298939,1092675,1015308,
202523,Denison University,133472353,126599413,123718846,121811027,123156868,119786953,113400551,107753695,
126979,Denver Seminary,12713911,13176941,12669369,12210871,11987854,11256147,10511457,10704904,
144740,DePaul University,556959000,540949000,539718000,530593000,520682000,560970000,524143000,516280000,
150400,DePauw University,115966807,117091934,114166367,110036114,105084529,102710929,101077586,98580373,
154156,Des Moines University-Osteopathic Medical Center,65473365,61364575,59691088,57089366,54834457,53856829,51109283,52547578,
210739,DeSales University,75868551,74512188,72299177,70071894,65296174,61637585,58606089,55647651,
212009,Dickinson College,129952814,136121013,130742025,128687573,123358520,122765892,120912841,116040221,
158802,Dillard University,47156837,45814578,45238615,47348959,45588108,43864887,47585168,48575773,
445869,Divine Mercy University,7701271,6373219,5583564,4340473,3768081,3223744,3404620,3456138,
153241,Divine Word College,7043274,6542132,6323711,6266140,6399841,6283970,7427348,7006497,
181020,Doane University,44383142,33512401,32730337,31705250,30326471,29810484,30379374,28083104,
190761,Dominican College of Blauvelt,40216441,39388275,39548036,38872548,38263835,37399632,36835098,35872714,
113704,Dominican School of Philosophy & Theology,2603755,2643453,2681022,2513653,2732547,2703333,2638133,2481398,
148496,Dominican University,74148078,72450820,67308559,68289415,62430418,60630715,59099383,57611726,
113698,Dominican University of California,67369047,57845332,57346640,56936774,55093264,54453718,54968965,54885687,
122117,Dongguk University Los Angeles,2114884,2086266,2223385,2173330,2258771,2448446,2381516,2495297,
155007,Donnelly College,6280632,5655323,5684531,5256630,5705466,5460805,5150888,5355156,
153250,Dordt University,41838447,39442754,39598682,37299685,36817600,34522244,32281979,32639430,
449481,Dragon Rises College of Oriental Medicine,891986,895504,786972,789811,645031,,,,
153269,Drake University,151777246,149685990,142961515,140720855,139691729,136354035,131130918,127242430,
184348,Drew University,98362000,94063000,96592000,90407000,84619000,85071000,86216000,88216000,
212054,Drexel University,1072420000,1019498000,1035047000,1006804000,991482000,976654000,891847000,867745000,
177214,Drury University,47735238,46779724,53995724,52849264,53819372,56179614,58679193,59242648,
492801,Drury University-College of Continuing Professional Studies,6920890,6364956,,,,,,,
198419,Duke University,6535782000,6186274000,5802959000,5451195000,5171580000,4897473000,4670261000,4485592000,
175227,Dunwoody College of Technology,29988380,28414131,26470093,26514669,25045062,22747184,22957105,23646097,
212106,Duquesne University,287389000,283203000,279477000,286415000,278713000,261883000,256880000,254029000,
150455,Earlham College,64471252,64841913,61445870,59804751,57692912,53550276,52522469,48841953,
224527,East Texas Baptist University,36408974,33883650,32031359,30475419,28797797,26051069,24920484,22873502,
144883,East-West University,10324206,10821040,11800032,11798825,11800523,12149645,9769332,12793023,
232043,Eastern Mennonite University,34949489,35885428,39310371,38758367,37586390,36397144,35179424,34469357,
165644,Eastern Nazarene College,19717396,19545942,25759364,23476287,23738304,25957887,23539362,21665959,
212133,Eastern University,52186132,55562136,57451937,61286721,63806331,64034101,64595007,66994175,
446233,Ecclesia College,2716643,2980451,4441139,2827870,2960037,3078233,2183136,2147448,
133492,Eckerd College,79689121,77182217,75081395,71629844,71039137,68799946,69022147,67022940,
247162,Ecumenical Theological Seminary,1081946,1161079,1375523,1406311,1746384,1441666,1522987,1459924,
177278,Eden Theological Seminary,5327551,5107693,4813524,5327293,5166222,4998330,4829329,5267920,
238661,Edgewood College,48667710,47838883,47851257,47081625,45983403,45800471,44537073,43719377,
442806,Edward Via College of Osteopathic Medicine,84978350,77562475,69734775,63895916,53783520,46908302,40964712,34806765,
133526,Edward Waters College,22803969,24684618,23483795,22236082,22262209,22368273,22046347,20776022,
212197,Elizabethtown College,72275799,64423202,66976896,65463536,66265236,65388994,65516123,63780374,
486080,Elmezzi Graduate School of Molecular Medicine,1227000,1158000,1165000,907000,993000,,,,
144962,Elmhurst University,69083511,67779874,65056342,67108994,75405150,71467193,69736557,70042073,
190983,Elmira College,36025590,40716671,42387556,45249655,46758277,46141122,47630474,45149712,
198516,Elon University,254493466,237496209,226554684,217314323,207718967,189876482,177959358,165484406,
133553,Embry-Riddle Aeronautical University-Daytona Beach,203982000,196987000,195621000,192547000,182185000,178310000,313810000,296838000,
104586,Embry-Riddle Aeronautical University-Prescott,78189000,71591000,67783000,64458000,58532000,54299000,,,
426314,Embry-Riddle Aeronautical University-Worldwide,85090000,83895000,81711000,77828000,87576000,88613000,,,
165662,Emerson College,209149918,218381715,182961433,171971619,173886847,156411977,145387891,137989777,
139630,Emmanuel College,16271571,17386396,17306636,16706046,16474740,17679710,16144552,13978432,
165671,Emmanuel College,71980055,64457081,63084613,62232946,63549463,63128382,71560449,61338390,
153302,Emmaus Bible College,5884424,5956148,6073631,6473378,5726933,5622290,5252591,5172761,
232025,Emory & Henry College,43599764,43248618,37247227,35663809,33043098,29622886,28690080,27688120,
139658,Emory University,6396594000,5306099000,4934899207,4674042000,4342497000,4148794000,4009093000,3849596000,
165699,Endicott College,109966116,105371322,99154668,93987743,86002415,81009113,75646902,72349877,
124487,Epic Bible College,1514975,1609517,1768143,1770296,1993799,1951245,2990113,2594758,
224712,Episcopal Theological Seminary of the Southwest,8048460,7596230,6803746,6213986,6171751,6237288,5827075,5333543,
409254,Erikson Institute,23885154,23967834,24198803,21448386,19102337,18177445,17700333,16978598,
217998,Erskine College,19144052,17879362,17379655,17165536,17644968,19165765,18692761,18904713,
144971,Eureka College,14943087,14856003,16047931,17212601,16180323,15548255,16402754,15438302,
177339,Evangel University,37852499,37628455,37666579,36738109,37500927,41969199,34658052,34659223,
212443,Evangelical Theological Seminary,2315746,2208210,2268309,2215546,2178499,2184258,2237143,2202884,
385619,Everglades University,26523104,27274100,27635440,26078624,22303837,21285446,20929544,18125731,
460376,Fairfax University of America,10481383,13145069,13870077,11960567,,,,,
129242,Fairfield University,216425935,229272579,187273000,186018000,179992000,173681000,165793000,166732000,
184694,Fairleigh Dickinson University-Florham Campus,,,,,,,,,
184603,Fairleigh Dickinson University-Metropolitan Campus,211110000,201210000,214327479,221327496,213268042,205320689,196028344,197763011,
153320,Faith Baptist Bible College and Theological Seminary,7600609,6884014,6498743,6325640,6048105,7241065,7330608,7996622,
443049,Faith International University,2311930,2254815,1737325,2030386,2965247,2762578,2583595,2304889,
212452,Faith Theological Seminary,1129518,1022681,1016348,938055,881911,975111,623711,,
443058,Family of Faith Christian University,721635,705915,588108,377495,412853,401240,407285,369780,
101189,Faulkner University,43859630,43252022,44636660,44744293,43302272,44565242,44678442,42910442,
184612,Felician University,43479408,41580255,41306503,41099798,39617765,40088497,40651886,41288862,
232089,Ferrum College,32655651,33607262,33232447,33533133,35773208,34918688,34833965,33016226,
114549,Fielding Graduate University,22710511,21476564,21383998,21280989,21428832,20278143,21994578,23324568,
172440,Finlandia University,13210689,12918014,12917103,13302654,13113588,12913450,12605061,12927914,
165802,Fisher College,24837521,24837680,25028517,25420750,24105563,23273536,22193455,20022805,
220181,Fisk University,28748734,28686960,27645959,27731095,29111875,25817137,24567104,26025948,
133711,Flagler College,62106503,63552465,58183429,56125212,53072855,50285920,47433142,45522970,
133809,Florida College,19336801,18908249,18330316,18010860,17428572,16639053,15576313,14579090,
133881,Florida Institute of Technology,178567570,176173006,173629787,190506852,189475566,171804801,154999794,141878749,
133979,Florida Memorial University,37497037,35256250,35572911,37331542,36060585,36310133,39085552,43402256,
134079,Florida Southern College,95199942,87961539,82112353,75033756,70310782,67337396,62657709,57848948,
177418,Fontbonne University,28213941,29894920,30314938,32159060,31383895,32609490,33472601,35606340,
191241,Fordham University,635194000,617107000,592348000,580117000,568965784,534326262,522305871,496206422,
160074,Franciscan Missionaries of Our Lady University,22947751,21728707,22218675,23052665,22011892,23048444,22540764,20934067,
114734,Franciscan School of Theology,1824963,1790785,1628367,1732975,1664048,2351341,1698528,1709847,
205957,Franciscan University of Steubenville,75001062,69909011,69005827,64575304,61683977,60090299,54734512,54567311,
212577,Franklin and Marshall College,141991744,140525873,138275961,136202887,126449000,122920385,120358795,113922045,
150604,Franklin College,30227843,28581439,28481507,29501679,29077625,28135308,27901796,27380853,
182795,Franklin Pierce University,51940237,50388119,53737090,48499644,47506741,50099515,45865871,47013317,
202806,Franklin University,71857000,55461000,54288000,62625000,63910000,64713000,66988000,67197000,
441982,Franklin W Olin College of Engineering,40071000,39669000,39655000,37344000,37870000,37039000,36798000,35425000,
220215,Freed-Hardeman University,35674193,36014292,35089161,37230898,35561434,37325146,36195643,35731297,
114813,Fresno Pacific University,63251329,71844248,59866480,55799378,55253862,59028816,54886111,50332387,
155089,Friends University,27619383,28344021,27951267,29193398,32492000,35252000,35188000,36262000,
114840,Fuller Theological Seminary,61735000,60523000,62079000,64210000,65919000,59282000,53734000,53694000,
218070,Furman University,166265813,160885928,150361493,147892494,140762871,140822240,137540698,132493332,
481030,Future Generations University,2458593,2367593,2132604,2661483,2904269,1622507,2378064,,
131450,Gallaudet University,152668979,151635189,146776468,146239803,138714745,137232343,136056248,135033268,
212601,Gannon University,89426000,87808000,96930000,87115000,81790000,76677000,73905000,72369000,
198561,Gardner-Webb University,64987921,65240432,69018054,68360682,66630587,65288874,64863386,60816388,
145275,Garrett-Evangelical Theological Seminary,13011137,12546041,11874181,12840305,13062505,14075417,12972249,13681203,
456542,Geisinger Commonwealth School of Medicine,36356093,34740684,35498270,33668071,33103628,32742576,32538887,32615131,
212656,Geneva College,34031726,33853029,35321136,35463390,36895393,38338267,38088299,38102838,
208822,George Fox University,86714738,85031571,79917853,73877714,68688407,62781792,60335086,62785069,
131469,George Washington University,1533747000,1327947000,1276898000,1247717000,1236193000,1190681000,1119772000,1048449000,
156745,Georgetown College,32042468,31675666,32887796,32411551,33197266,35529808,38190488,39898277,
131496,Georgetown University,1472674000,1360732000,1323910000,1412062000,1176603000,1119227000,1117893000,1146339000,
184773,Georgian Court University,47678495,46529009,45551465,43565666,45677650,43893595,42358698,44716939,
212674,Gettysburg College,136889620,131261131,128367266,128888771,129661296,124182466,118476053,115198699,
230889,Goddard College,8713108,10210844,9810201,9839326,10372875,11452327,12358968,12692841,
202903,Gods Bible School and College,4458462,4113160,4311279,4255247,4323058,4168165,4217039,4272989,
115083,Golden Gate University-San Francisco,57325334,52948886,52752389,55246509,56758352,60133947,64609757,61555911,
130989,Goldey-Beacom College,17065792,16447571,15657644,14074662,13507275,14392439,12146957,21319747,
235316,Gonzaga University,238132000,225525000,219490000,209289000,194883000,184152000,178288000,181146969,
202912,Good Samaritan College of Nursing and Health Science,8159459,7153274,7921016,7263870,7023386,6615243,6398983,5934193,
129154,Goodwin University,73835000,65766000,65429000,61313000,65763000,55006173,46840211,30909549,
165936,Gordon College,65676081,66666496,63496189,63809712,64195837,63017847,57724481,54424277,
165945,Gordon-Conwell Theological Seminary,25669422,25656914,24190800,25189381,25416241,24526921,23699180,23619040,
150668,Goshen College,29602047,29205557,29939564,29494340,29136755,29550693,28981267,28805641,
162654,Goucher College,73935000,70743000,71360000,70783000,69794000,69081000,66567000,66240000,
170000,Grace Christian University,14043264,12215063,11541008,11207890,9157321,7721923,6903122,5144003,
150677,Grace College and Theological Seminary,39360829,38573792,40069890,36442782,35769243,34600728,29576470,24952416,
461528,Grace College of Divinity,936074,917668,853175,871866,734962,649189,545823,435347,
481058,Grace Mission University,1285535,1294147,1333118,1318896,1138483,910892,822258,,
481401,Grace School of Theology,6761533,5467291,4498254,4664471,4099987,3179302,2274221,,
153366,Graceland University-Lamoni,36142823,39013871,39928728,39333749,39667076,39420011,39492799,36869983,
115214,Graduate Theological Union,8762625,9194088,9199107,8135906,7924787,8067316,8231058,7101938,
153375,Grand View University,37238719,36401460,35858321,34955589,34888814,35042928,34119837,33034164,
212771,Gratz College,4587275,4660666,4077009,3985868,4533165,4180418,4255067,4756198,
170091,Great Lakes Christian College,3318003,3059220,2999938,3351400,3736306,3870673,3772254,3980658,
198598,Greensboro College,18391879,18526536,18184514,17667150,18057686,17318230,20001868,22889541,
145372,Greenville University,25924271,25937072,23387466,26088483,25010352,25456201,26082247,25451028,
153384,Grinnell College,138878000,125769000,125816000,119266000,116789000,110519000,105567000,98995000,
212805,Grove City College,79771296,76922417,75409523,73261381,72987772,69629051,65092474,61682921,
198613,Guilford College,49637229,45321729,46276552,45484090,50330301,52409956,52452697,58667521,
173647,Gustavus Adolphus College,85076814,83304218,81013409,83605612,85464090,84267834,82188911,83604911,
212832,Gwynedd Mercy University,57048000,56391000,51814000,47640000,44687000,41691000,41224000,39720000,
225201,Hallmark University,14627535,13262695,14035315,14754833,13704004,12336691,12930045,,
191515,Hamilton College,142623000,138803000,139321000,137303000,141027000,132354000,124489000,117887000,
173665,Hamline University,80066238,82677017,78898672,81520985,89460565,87699439,89378937,89757708,
232256,Hampden-Sydney College,51872265,50428649,48287259,48980627,47767181,46342745,45238436,46284436,
166018,Hampshire College,60228983,55888523,56266686,57047254,56527802,56142761,52991482,52281977,
232265,Hampton University,189657443,183385893,184308176,161432764,159801097,151265865,163762144,161282779,
177542,Hannibal-LaGrange University,14708102,16340821,16681404,17188336,16462135,15741747,15439681,16980077,
150756,Hanover College,37245568,35218056,36259342,37029308,36250914,35122964,34932969,34165377,
225247,Hardin-Simmons University,58607428,48960046,43146695,45862677,42477998,44132111,42728963,41856275,
107044,Harding University,126764996,127158375,125676554,123561871,121210133,117759855,113604803,108681354,
446640,Harrisburg University of Science and Technology,59623350,49578392,36122163,29327573,22790766,17991685,17560298,18097615,
129491,Hartford Seminary,5008215,5115786,4613101,4596027,4421087,4498184,4415375,4280075,
191533,Hartwick College,49265543,48621702,49257607,49520819,49831177,50190717,49009214,48412201,
166027,Harvard University,5212670000,5018957000,4884585000,4700225000,4463089000,4405997000,4248371000,4041698000,
115409,Harvey Mudd College,71869875,67379878,65387878,64951272,60657444,57892559,53046619,52094725,
181127,Hastings College,28498957,28208073,30848220,28761921,29563957,29422648,27097502,25193434,
212911,Haverford College,107744030,104336729,106788655,96897341,97001149,94795540,90937236,87436572,
173683,Hazelden Betty Ford Graduate School of Addiction Studies,2589217,2730256,2349033,1772346,1479024,1337217,1206750,1046661,
166045,Hebrew College,9414662,9540666,10232170,10508063,9990544,9994972,10759259,11080216,
145497,Hebrew Theological College,8636341,8759059,7651009,7786218,8065858,8126647,8079477,8264708,
203067,Hebrew Union College-Jewish Institute of Religion,40733098,41560308,42182061,61141353,45815990,43367665,42509818,53063929,
203085,Heidelberg University,36679968,35045403,33772630,32100059,31957354,31623348,30479924,27628873,
191597,Helene Fuld College of Nursing,6508128,6344168,6294692,6265305,5982291,5995743,5756046,5077629,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,12357606,12868594,13396351,13099736,12718082,10991420,10554173,10512299,
107080,Hendrix College,55403093,52946392,55679937,54085044,55740069,58460156,58795823,54014525,
101453,Heritage Christian University,2995640,3258244,2876264,3091908,3080143,2970324,2850269,2783276,
235422,Heritage University,23258421,25863452,27086371,28382133,30628780,27388465,24421822,21950374,
200785,Herzing University-Akron,5088806,5441159,5497539,,,,,,
140340,Herzing University-Atlanta,8265063,8807752,9505854,,,,,,
101365,Herzing University-Birmingham,5294763,5491173,5329517,,,,,,
459851,Herzing University-Brookfield,5078860,5426984,5490227,,,,,,
459842,Herzing University-Kenosha,5476784,4896923,5338456,,,,,,
240392,Herzing University-Madison,42024304,40789206,41666611,,,,,,
174154,Herzing University-Minneapolis,6875495,5913130,5203905,,,,,,
433536,Herzing University-New Orleans,3778356,4246284,4912731,,,,,,
386472,Herzing University-Orlando,8358427,8526213,8731011,,,,,,
155177,Hesston College,11643938,11693725,11690042,11645352,11784097,12436739,11971593,11586311,
198695,High Point University,189331772,182826261,158154231,155731730,136872933,130141469,116303476,112522564,
485403,High Tech High Graduate School of Education,5686231,3934363,3310360,2725003,1913284,,,,
191621,Hilbert College,14726318,15030186,16350034,16449475,16664553,16486823,16034401,15600939,
170286,Hillsdale College,135249230,122428062,116674365,104807005,108074147,,,,
203128,Hiram College,33756675,34373756,32773385,33340960,33646727,34984110,35669248,36495240,
191630,Hobart William Smith Colleges,109579994,111731275,106719799,106869250,106581300,102604678,96869371,98510298,
134510,Hobe Sound Bible College,4753959,4615566,4407640,4334421,4104323,3807012,3679761,3874740,
367884,Hodges University,21267987,23351891,24348603,25961124,27542533,32622788,32746687,32882628,
191649,Hofstra University,388956461,376931712,376416837,368738871,363762127,350364896,345693913,348741184,
232308,Hollins University,37897512,37722654,38005285,36093064,34608028,34040087,33120420,32651922,
129534,Holy Apostles College and Seminary,4149562,3899667,3359861,3614245,3221215,3209911,3337255,3157732,
150774,Holy Cross College,11721164,11328110,13439826,13287320,11530737,11414560,10248776,9748086,
239743,Holy Family College,11286660,14500584,13391431,11968999,12859943,11467147,10614629,10382742,
212984,Holy Family University,44180099,43746960,39949770,39049934,39647259,42123777,46262093,46833608,
115728,Holy Names University,34989861,31605859,30423811,29922818,31364246,32159647,30698084,25919668,
457086,Homestead Schools,3737724,2686760,2418781,3182671,4266543,2850308,2763981,2650985,
162760,Hood College,41236906,40011797,40629312,41847503,41817568,40687446,41094090,40020267,
443076,Hood Theological Seminary,3157063,3012209,2967307,2868825,2794167,2774294,2639929,2620761,
170301,Hope College,118934000,117939000,118045935,114714494,108230630,103441840,99399486,96277334,
120537,Hope International University,25051198,25297308,25659102,22576244,20767849,20326044,19886051,18152810,
457226,Horizon University,215087,239278,238117,211999,295832,473285,414495,339528,
191676,Houghton College,33104743,32947908,32635053,33247216,32161682,30938711,31763663,33572464,
225399,Houston Baptist University,77161842,71287199,66757688,62446752,59263280,56061346,54100825,48999575,
246345,Houston Graduate School of Theology,1522469,1446940,1553319,1493650,1625829,1595669,1388167,1307144,
225548,Howard Payne University,23784033,23395543,23871917,23674125,24271206,23459851,21754236,21640328,
131520,Howard University,850589000,791820000,794802000,771456000,842148000,848736000,834428000,841601000,
164368,Hult International Business School,105229957,76852678,74211127,74042365,44919977,34248137,23059863,18242656,
115773,Humphreys University-Stockton and Modesto Campuses,8414420,8782322,9218847,9973318,9807727,10283161,11361540,11404663,
101435,Huntingdon College,23501092,22217894,22159981,21224418,20715387,20052724,19608733,18866756,
150941,Huntington University,30957606,29189985,28858123,26951534,25259607,25256626,25024388,25996472,
449348,Huntsville Bible College,751759,726743,809238,740279,569927,484114,373076,392523,
487524,Husson University,55268399,54036347,53495751,51727719,50644461,,,,
225575,Huston-Tillotson University,20009948,21401497,21252875,20829478,19841056,18736683,18856417,17910183,
193405,Icahn School of Medicine at Mount Sinai,3015098000,2802320000,2583910000,2065782000,1734132000,1593004000,1492741000,1412137000,
127273,Iliff School of Theology,7842495,8100844,8656377,8429125,8196720,7961597,7803304,7679052,
145691,Illinois College,35406037,34548591,33739697,35893311,33287519,31992771,31626256,29041766,
145628,Illinois College of Optometry,37164473,38008053,39242548,38178093,37264846,37187962,34257795,32177491,
145725,Illinois Institute of Technology,271350000,270784000,271648000,281322000,277558000,267827000,265623000,248503000,
145646,Illinois Wesleyan University,77569011,76201326,75267682,74145863,74682853,75103764,72296079,73431255,
213011,Immaculata University,40919274,45262413,46731299,49072575,52446085,53993641,54039445,54254514,
465812,Independence University,134189054,109508322,122698877,115394700,92467058,79848712,11876723,,
151290,Indiana Institute of Technology,62792069,60480873,58130829,59335383,54201930,46575015,41032028,36930110,
492962,Indiana Institute of Technology-College of Professional Studies,,,,,,,,,
151801,Indiana Wesleyan University-Marion,89638609,92131020,94238098,88760006,189774293,177506513,178650009,179232027,
488679,Indiana Wesleyan University-National & Global,90092993,91003927,91541858,98632253,,,,,
145886,Institute for Clinical Social Work,1676990,1520814,1462992,1531839,1377392,1746711,1425862,1158300,
462044,Institute for Doctoral Studies in the Visual Arts,1242829,1173587,1020824,984868,928884,801152,733937,661508,
489335,Institute of Buddhist Studies,1721618,1535921,,,,,,,
454838,Institute of Taoist Education and Acupuncture,471072,508455,521677,497061,631377,614158,596349,543251,
455804,Institute of World Politics,6970491,6934623,6353144,5974248,5370946,5421333,5599241,4916073,
140146,Interdenominational Theological Center,6965250,7546004,7731230,8253666,7798332,8808012,10715546,9049461,
436614,International Baptist College and Seminary,1332721,1468250,1319661,1199961,1201605,1140660,1182647,1239888,
448691,International Institute for Restorative Practices,6797622,6128957,5508799,4950836,3987098,2746259,2480818,3213062,
443128,International Technological University,16888408,16126064,16033471,16597796,15797836,,10337239,8248900,
191931,Iona College,105764000,104883000,104277000,99502000,96909000,95286000,95375000,94410000,
153621,Iowa Wesleyan University,16000089,16327674,14868040,13763532,14593080,14626655,14970922,14196345,
441238,Irell & Manella Graduate School of Biological Sciences at City of Hope,1327213,1208343,1186131,939137,1454285,1275268,1127256,1307635,
191968,Ithaca College,239382888,238114635,226295167,217862542,225892143,219924358,217663250,208457788,
