UnitID,Institution Name,Full time total (EF2019  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),
223117,Baptist Missionary Association Theological Seminary,,,,1,1,,,,
444398,Baptist University of the Americas,9,9,11,21,17,19,17,23,
155070,Barclay College,29,31,29,36,37,41,37,40,
189088,Bard College,482,486,470,506,456,560,489,528,
167792,Bard College at Simon's Rock,149,145,168,145,116,116,144,145,
189097,Barnard College,624,602,595,592,626,610,573,594,
177719,Barnes-Jewish College Goldfarb School of Nursing,,,,,,,,,
132471,Barry University,709,639,604,479,431,459,562,622,
197911,Barton College,319,277,198,241,218,185,215,201,
235547,Bastyr University,,,,,,,,,
160977,Bates College,499,543,510,498,516,491,500,503,
164632,Bay Path University,125,133,144,153,178,129,136,155,
223223,Baylor College of Medicine,,,,,,,,,
223232,Baylor University,3303,3364,3316,3496,3393,3622,3189,3253,
476717,Be'er Yaakov Talmudic Seminary,143,148,115,144,151,121,101,99,
384254,Beacon College,98,89,82,66,60,52,41,39,
164720,Becker College,259,304,379,417,407,403,359,381,
444413,Beis Medrash Heichal Dovid,52,38,34,39,43,32,32,48,
175421,Belhaven University,174,204,221,226,269,285,217,211,
156286,Bellarmine University,616,653,680,634,707,665,674,606,
180814,Bellevue University,63,27,35,27,60,88,87,2,
238324,Bellin College,28,42,34,36,28,26,41,24,
197984,Belmont Abbey College,368,392,399,358,308,291,285,300,
219709,Belmont University,1675,1561,1565,1568,1387,1392,1243,1256,
238333,Beloit College,259,266,323,382,392,299,299,311,
217721,Benedict College,728,705,561,602,656,542,554,735,
154712,Benedictine College,524,570,438,517,508,487,494,488,
145619,Benedictine University,344,453,420,552,448,667,623,606,
165884,Benjamin Franklin Institute of Technology,186,200,178,198,193,208,182,183,
197993,Bennett College,71,234,173,115,158,166,194,215,
230816,Bennington College,173,198,219,196,215,192,140,197,
164739,Bentley University,943,1014,1018,1041,915,978,974,976,
156295,Berea College,413,438,432,418,432,416,397,391,
461643,Bergin University of Canine Studies,,,,,,,,,
108861,Berkeley School of Theology,,,,,,,,,
164748,Berklee College of Music,1253,1196,1263,1230,880,928,909,978,
139144,Berry College,577,509,553,534,575,568,672,618,
485999,Bet Medrash Gadol Ateret Torah,30,26,24,24,23,,,,
189273,Beth Hamedrash Shaarei Yosher Institute,29,23,20,11,12,12,18,16,
183804,Beth Medrash Govoha,,,,,,,,,
486196,Beth Medrash Meor Yitzchok,96,58,63,53,52,,,,
488314,Beth Medrash of Asbury Park,23,22,23,3,,,,,
154721,Bethany College,245,291,279,212,171,188,184,131,
237181,Bethany College,189,178,160,164,220,246,183,265,
486284,Bethany Global University,67,71,62,74,52,,,,
173142,Bethany Lutheran College,178,175,136,138,134,141,146,136,
143233,Bethany Theological Seminary,,,,,,,,,
154749,Bethel College-North Newton,155,107,124,101,130,110,123,101,
262022,Bethel Seminary-San Diego,,,,,,,,,
150145,Bethel University,303,295,229,241,280,220,245,226,
173160,Bethel University,580,608,581,557,614,602,610,616,
219718,Bethel University,418,408,447,400,491,467,550,786,
110060,Bethesda University,58,54,64,60,59,62,63,19,
486053,Bethlehem College & Seminary,25,26,23,30,23,,,,
132602,Bethune-Cookman University,559,937,1175,1161,902,939,1017,886,
139153,Beulah Heights University,19,3,6,1,35,24,57,30,
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,,,,,,,,,
110097,Biola University,896,857,890,863,827,943,900,914,
100937,Birmingham-Southern College,332,328,349,328,441,352,356,327,
442949,Birthingway College of Midwifery,,,,,,,,,
143288,Blackburn College,111,167,145,169,159,167,115,135,
143297,Blessing Rieman College of Nursing and Health Sciences,,,,,,,,,
183822,Bloomfield College,400,391,412,503,431,432,416,377,
175430,Blue Mountain College,113,127,126,109,56,74,81,70,
231554,Bluefield College,168,220,208,179,150,158,120,136,
201371,Bluffton University,231,174,211,208,217,218,250,239,
217749,Bob Jones University,648,594,589,574,599,599,667,695,
142090,Boise Bible College,15,19,27,32,31,42,47,50,
233356,Bon Secours Memorial College of Nursing,,,,,,,4,3,
189413,Boricua College,91,67,130,133,135,220,220,236,
164872,Boston Architectural College,20,19,26,22,38,24,15,20,
164614,Boston Baptist College,11,7,10,9,10,8,17,20,
164924,Boston College,2297,2326,2412,2240,2310,2284,2305,2289,
164915,Boston Graduate School of Psychoanalysis Inc,,,,,,,,,
164988,Boston University,3156,3611,3498,3551,3630,3915,3807,3877,
161004,Bowdoin College,498,510,501,503,500,501,497,492,
143358,Bradley University,1048,1089,1264,1093,924,947,1082,1015,
165015,Brandeis University,863,895,858,841,802,859,833,820,
262086,Brandman University,4,9,5,5,12,29,10,1,
139199,Brenau University,193,233,265,152,191,226,201,171,
156356,Brescia University,150,229,128,123,148,165,151,163,
198066,Brevard College,251,266,247,231,246,218,242,219,
139205,Brewton-Parker College,192,195,166,153,103,111,147,136,
152992,Briar Cliff University,136,181,158,210,185,206,180,233,
231581,Bridgewater College,487,590,534,600,542,488,536,552,
142522,Brigham Young University-Idaho,4195,3935,4131,3738,2556,1964,2234,2397,
230038,Brigham Young University-Provo,5606,5635,5352,5162,5036,4014,4366,5430,
450304,Brite Divinity School,,,,,,,,,
189501,Brooklyn Law School,,,,,,,,,
217156,Brown University,1660,1652,1637,1679,1613,1559,1542,1536,
180878,Bryan College of Health Sciences,68,60,47,50,43,50,36,35,
219790,Bryan College-Dayton,195,191,177,208,164,188,187,195,
217165,Bryant University,854,866,892,843,908,826,890,772,
210492,Bryn Athyn College of the New Church,79,64,97,70,90,85,80,54,
211273,Bryn Mawr College,374,391,354,407,385,351,365,365,
211291,Bucknell University,964,974,973,950,938,939,933,915,
153001,Buena Vista University,230,201,203,183,223,201,269,228,
209409,Bushnell University,113,100,102,81,83,78,82,68,
150163,Butler University,1116,1326,1054,1255,1024,969,1014,1101,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
198109,Cabarrus College of Health Sciences,27,14,11,19,19,23,25,32,
211352,Cabrini University,364,440,492,481,392,392,304,384,
215114,Cairn University-Langhorne,234,186,154,144,159,159,137,151,
183910,Caldwell University,445,494,361,404,347,386,349,289,
110361,California Baptist University,1491,1567,1375,1117,1076,1061,967,876,
110918,California Christian College,1,1,3,1,2,,2,3,
110370,California College of the Arts,248,263,235,256,241,273,232,233,
478634,California College San Diego,33,25,63,34,25,40,27,,
485263,California College San Diego,59,81,130,104,108,92,,,
474890,California College San Diego-CollegeAmerica-Phoenix,77,99,109,81,91,109,63,311,
487649,California Institute of Advanced Management,,,,,,,,,
110316,California Institute of Integral Studies,,,,,,,,,
110404,California Institute of Technology,235,231,235,235,241,226,248,264,
111081,California Institute of the Arts,215,215,213,205,193,187,172,180,
486488,California Jazz Conservatory,1,1,4,2,1,,,,
110413,California Lutheran University,647,681,585,638,595,556,540,558,
111391,California Western School of Law,,,,,,,,,
150172,Calumet College of Saint Joseph,132,106,96,108,111,117,149,120,
176789,Calvary University,47,46,37,26,28,36,37,32,
169099,Calvin Theological Seminary,,,,,,,,,
169080,Calvin University,778,823,887,904,941,949,1006,977,
165167,Cambridge College,1,9,8,9,8,10,28,24,
198136,Campbell University,706,812,777,884,956,871,779,821,
156365,Campbellsville University,639,642,520,582,508,511,522,570,
189705,Canisius College,553,484,553,597,605,613,680,712,
201548,Capital University,723,589,595,613,671,710,691,669,
162061,Capitol Technology University,76,83,60,94,82,52,51,65,
238430,Cardinal Stritch University,138,130,139,164,160,188,195,162,
173258,Carleton College,525,529,522,567,491,521,527,528,
211431,Carlow University,162,247,241,217,219,198,203,210,
211440,Carnegie Mellon University,1585,1572,1676,1552,1575,1474,1442,1408,
199971,Carolina Christian College,13,16,1,1,2,2,2,3,
461032,Carolina College of Biblical Studies,,12,9,2,3,3,6,4,
489937,Carolina University,59,116,64,23,,,,,
180106,Carroll College,311,254,294,338,387,354,315,383,
238458,Carroll University,793,711,717,667,755,758,678,712,
219806,Carson-Newman University,556,479,394,505,497,488,480,453,
238476,Carthage College,682,761,707,722,751,704,714,718,
201645,Case Western Reserve University,1357,1393,1308,1265,1258,1282,1252,1371,
198215,Catawba College,342,338,332,349,311,344,335,296,
143659,Catholic Theological Union at Chicago,,,,,,,,,
189848,Cazenovia College,218,204,165,199,250,265,345,268,
211468,Cedar Crest College,205,207,213,181,179,170,140,145,
201654,Cedarville University,993,910,870,769,819,786,779,832,
158477,Centenary College of Louisiana,172,169,173,130,157,140,127,158,
183974,Centenary University,200,224,212,237,225,238,206,284,
232618,Centra College,12,12,15,,,,,,
106713,Central Baptist College,105,127,136,126,116,134,119,102,
154855,Central Christian College of Kansas,87,127,160,99,176,163,173,207,
176910,Central Christian College of the Bible,47,36,44,53,42,55,49,56,
153108,Central College,337,278,322,323,317,429,309,320,
445267,Central Methodist University-College of Graduate and Extended Studies,3,2,3,1,3,,,,
176947,Central Methodist University-College of Liberal Arts and Sciences,318,324,275,263,281,331,291,302,
488004,Central Yeshiva Beth Joseph,,,,,,,,,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,96,39,36,28,62,85,92,78,
156408,Centre College,355,358,401,400,374,385,377,351,
492069,Champion Christian College,35,45,,,,,,,
230852,Champlain College,521,536,586,646,553,630,594,601,
111948,Chapman University,1760,1656,1678,1511,1419,1418,1284,1273,
111966,Charles R Drew University of Medicine and Science,11,27,18,,,1,4,1,
217688,Charleston Southern University,578,582,638,722,749,652,656,626,
444778,Charlotte Christian College and Theological Seminary,,,1,3,3,,1,4,
211556,Chatham University,314,280,284,194,210,102,92,117,
211583,Chestnut Hill College,210,164,206,238,206,186,190,210,
437732,Chicago School of Professional Psychology - College of Nursing,1,33,10,36,49,19,61,104,
492607,Chicago School of Professional Psychology at Dallas,,,,,,,,,
144014,Chicago Theological Seminary,,,,,,,,,
198303,Chowan University,400,414,526,522,552,531,474,514,
189981,Christ the King Seminary,,,,,,,,,
219833,Christian Brothers University,339,393,384,336,311,351,262,252,
150215,Christian Theological Seminary,,,,,,,,,
112127,Church Divinity School of the Pacific,,,,,,,,,
201867,Cincinnati College of Mortuary Science,,,,,,,,,
244233,City College-Fort Lauderdale,14,17,14,11,27,29,33,28,
406547,City College-Gainesville,25,21,14,24,24,45,53,21,
434539,City College-Miami,3,29,9,10,24,24,19,22,
234915,City University of Seattle,,,4,,,,6,12,
217873,Claflin University,459,572,519,490,449,389,385,440,
112251,Claremont Graduate University,,,,,,,,,
112260,Claremont McKenna College,328,324,352,321,343,327,337,291,
124283,Claremont School of Theology,,,,,,,,,
138947,Clark Atlanta University,813,918,910,987,828,706,767,624,
165334,Clark University,665,582,615,543,669,547,614,587,
153126,Clarke University,134,196,162,158,180,183,181,155,
211024,Clarks Summit University,61,73,80,80,73,88,99,89,
180832,Clarkson College,25,17,40,29,33,28,32,43,
190044,Clarkson University,789,797,677,797,792,767,757,778,
156417,Clear Creek Baptist Bible College,17,14,6,4,17,10,5,10,
169327,Cleary University,92,53,80,53,51,55,43,30,
202046,Cleveland Institute of Art,155,175,154,161,168,139,155,138,
202073,Cleveland Institute of Music,54,62,58,60,67,55,64,60,
177038,Cleveland University-Kansas City,1,2,1,2,3,2,,1,
217891,Clinton College,64,131,30,109,75,105,78,54,
153144,Coe College,379,393,400,374,377,376,389,364,
217907,Coker University,265,293,207,254,221,229,245,187,
161086,Colby College,522,580,552,510,508,480,483,493,
182634,Colby-Sawyer College,264,235,271,252,267,331,399,508,
190080,Colgate Rochester Crozer Divinity School,,,,,,,,,
190099,Colgate University,786,815,771,766,773,767,759,756,
169442,College for Creative Studies,287,245,237,256,259,232,218,248,
388520,College of Biblical Studies-Houston,7,,5,4,5,10,14,9,
413617,College of Menominee Nation,14,44,56,34,39,47,63,70,
193399,College of Mount Saint Vincent,441,412,447,436,321,518,386,486,
167394,College of Our Lady of the Elms,178,141,173,163,182,187,187,194,
174747,College of Saint Benedict,438,437,519,503,473,542,538,490,
181604,College of Saint Mary,105,119,101,103,77,71,89,91,
160959,College of the Atlantic,105,82,91,79,81,79,103,72,
166124,College of the Holy Cross,829,868,818,764,738,773,719,763,
178697,College of the Ozarks,253,314,367,384,344,255,355,243,
448752,CollegeAmerica-Colorado Springs,11,14,41,22,18,44,43,53,
103945,CollegeAmerica-Flagstaff,4,7,17,10,13,21,26,109,
448761,CollegeAmerica-Fort Collins,9,19,21,15,25,12,18,34,
126669,Colorado Christian University,381,416,385,407,356,383,360,316,
126678,Colorado College,535,544,543,533,583,549,522,510,
177065,Columbia College,265,319,335,447,562,627,671,762,
217934,Columbia College,166,160,159,146,185,136,127,187,
144281,Columbia College Chicago,1734,1294,1432,1533,1764,1787,2125,2024,
112570,Columbia College Hollywood,80,94,88,78,77,56,44,46,
238573,Columbia College of Nursing,,,,,,,,,
217925,Columbia International University,132,109,87,80,95,104,102,106,
139348,Columbia Theological Seminary,,,,,,,,,
190150,Columbia University in the City of New York,1434,1447,1434,1553,1456,1490,1476,1431,
202170,Columbus College of Art and Design,265,242,254,240,243,245,234,262,
459417,Compass College of Cinematic Arts,11,36,37,50,30,37,25,39,
177083,Conception Seminary College,4,8,14,11,19,16,19,14,
190248,Concordia College,183,147,151,139,138,136,153,162,
173300,Concordia College at Moorhead,517,597,568,545,520,540,684,632,
177092,Concordia Seminary,,,,,,,,,
150288,Concordia Theological Seminary,,,,,,,,,
224004,Concordia University Texas,233,213,274,270,254,228,180,244,
169363,Concordia University-Ann Arbor,223,233,190,199,148,156,184,152,
144351,Concordia University-Chicago,350,395,327,350,294,300,376,318,
112075,Concordia University-Irvine,342,319,328,406,334,352,373,300,
180984,Concordia University-Nebraska,291,356,348,323,347,326,281,296,
208488,Concordia University-Portland,222,244,217,228,187,198,220,246,
173328,Concordia University-Saint Paul,349,244,245,244,229,242,282,181,
238616,Concordia University-Wisconsin,573,560,558,472,622,639,580,603,
128902,Connecticut College,508,508,444,472,478,498,489,503,
217961,Converse College,186,208,269,238,212,233,231,186,
165495,Conway School of Landscape Design,,,,,,,,,
190372,Cooper Union for the Advancement of Science and Art,198,216,191,224,233,218,178,181,
210331,Corban University,206,216,195,237,275,220,222,218,
153162,Cornell College,270,296,300,287,276,262,270,302,
190415,Cornell University,3189,3295,3349,3314,3180,3225,3223,3217,
170037,Cornerstone University,291,285,276,272,316,299,356,335,
235024,Cornish College of the Arts,132,142,177,172,179,161,166,155,
177117,Cottey College,92,96,86,94,153,130,124,127,
139393,Covenant College,219,249,263,265,258,265,295,268,
177126,Covenant Theological Seminary,,,,,,,,,
176770,Cox College,,1,1,5,7,7,7,119,
169424,Cranbrook Academy of Art,,,,,,,,,
181002,Creighton University,1076,1155,1117,1033,1065,1025,963,943,
475608,Criswell College,21,8,15,12,7,15,14,31,
106810,Crowley's Ridge College,42,53,69,84,53,62,44,62,
174862,Crown College,115,152,129,151,150,139,198,172,
190503,Culinary Institute of America,610,472,433,512,524,430,490,534,
177144,Culver-Stockton College,254,288,305,269,260,290,220,216,
219949,Cumberland University,694,601,562,447,200,178,212,212,
165529,Curry College,575,581,601,676,600,648,640,584,
211893,Curtis Institute of Music,22,26,19,18,21,26,29,28,
190716,D'Youville College,216,243,276,239,232,292,251,273,
190725,Daemen College,412,338,387,392,384,419,409,438,
219091,Dakota Wesleyan University,163,170,193,172,177,141,168,199,
224226,Dallas Baptist University,571,535,538,522,496,492,488,489,
224244,Dallas Christian College,34,49,46,30,59,51,43,48,
224305,Dallas Theological Seminary,,,,,,,,,
492102,Daniel Morgan Graduate School of National Security,,,,,,,,,
182670,Dartmouth College,1190,1167,1215,1116,1112,1152,1112,1095,
169479,Davenport University,534,571,523,552,561,488,451,419,
198385,Davidson College,527,515,519,514,510,502,483,490,
237358,Davis & Elkins College,213,196,236,221,210,212,269,228,
194569,Davis College,,16,18,35,32,48,38,41,
165574,Dean College,435,474,465,436,473,445,528,474,
202514,Defiance College,180,157,151,136,182,233,240,236,
211981,Delaware Valley University,377,447,418,451,471,489,416,465,
113537,Dell'Arte International School of Physical Theatre,4,,,,,,1,,
202523,Denison University,625,654,617,637,633,609,582,629,
126979,Denver Seminary,,,,,,,,,
144740,DePaul University,2622,2570,2539,2453,2517,2540,2422,2591,
150400,DePauw University,423,564,595,559,596,514,641,578,
154156,Des Moines University-Osteopathic Medical Center,,,,,,,,,
210739,DeSales University,479,500,421,500,429,406,417,389,
212009,Dickinson College,453,635,606,610,731,619,626,601,
158802,Dillard University,313,372,337,358,296,325,224,343,
445869,Divine Mercy University,,,,,,,,,
153241,Divine Word College,,1,2,4,1,9,11,11,
181020,Doane University,318,259,299,303,330,268,287,337,
190761,Dominican College of Blauvelt,293,299,229,253,363,289,286,293,
113704,Dominican School of Philosophy & Theology,,,,,,,,,
148496,Dominican University,419,447,441,495,483,473,497,405,
113698,Dominican University of California,324,288,241,268,256,262,306,265,
122117,Dongguk University Los Angeles,,,,,,,,,
155007,Donnelly College,44,48,50,82,62,147,105,78,
153250,Dordt University,387,365,399,391,362,336,378,344,
449481,Dragon Rises College of Oriental Medicine,,,,,,,,,
153269,Drake University,779,749,758,765,801,869,850,848,
184348,Drew University,400,420,371,350,356,302,399,362,
212054,Drexel University,3161,3353,3268,2324,2720,2925,3022,3027,
177214,Drury University,342,377,411,426,375,400,433,530,
492801,Drury University-College of Continuing Professional Studies,53,74,,,,,,,
198419,Duke University,1731,1745,1748,1723,1746,1721,1730,1714,
175227,Dunwoody College of Technology,245,231,185,220,203,201,192,219,
212106,Duquesne University,1300,1507,1558,1546,1418,1332,1537,1521,
150455,Earlham College,172,271,287,355,252,270,253,286,
224527,East Texas Baptist University,345,400,419,346,342,363,340,350,
144883,East-West University,190,74,104,181,171,118,178,210,
232043,Eastern Mennonite University,202,200,189,222,254,240,232,217,
165644,Eastern Nazarene College,131,140,153,166,112,170,165,182,
212133,Eastern University,329,400,361,424,374,410,433,442,
446233,Ecclesia College,52,44,60,65,90,40,56,36,
133492,Eckerd College,535,580,558,573,484,511,452,531,
247162,Ecumenical Theological Seminary,,,,,,,,,
177278,Eden Theological Seminary,,,,,,,,,
238661,Edgewood College,236,255,281,263,298,289,298,340,
442806,Edward Via College of Osteopathic Medicine,,,,,,,,,
133526,Edward Waters College,209,298,254,234,246,222,204,224,
212197,Elizabethtown College,370,386,410,442,504,447,530,503,
486080,Elmezzi Graduate School of Molecular Medicine,,,,,,,,,
144962,Elmhurst University,521,530,497,477,478,510,506,560,
190983,Elmira College,217,206,204,207,255,329,319,356,
198516,Elon University,1659,1698,1573,1553,1524,1496,1475,1424,
133553,Embry-Riddle Aeronautical University-Daytona Beach,1693,1409,1352,1255,1270,1208,941,935,
104586,Embry-Riddle Aeronautical University-Prescott,752,609,678,599,579,503,443,374,
426314,Embry-Riddle Aeronautical University-Worldwide,101,109,86,70,75,75,74,47,
165662,Emerson College,940,923,931,881,915,857,862,866,
139630,Emmanuel College,246,246,263,238,232,193,167,192,
165671,Emmanuel College,582,596,474,596,555,524,515,553,
153302,Emmaus Bible College,52,47,60,65,59,66,33,41,
232025,Emory & Henry College,270,268,253,284,303,284,264,244,
139658,Emory University,1374,1429,1388,1358,1357,1823,1853,1823,
165699,Endicott College,840,753,771,713,789,748,641,642,
124487,Epic Bible College,1,4,2,1,5,5,9,7,
224712,Episcopal Theological Seminary of the Southwest,,,,,,,,,
409254,Erikson Institute,,,,,,,,,
217998,Erskine College,428,166,178,207,217,187,207,137,
144971,Eureka College,108,140,106,153,164,168,138,156,
177339,Evangel University,443,372,400,387,362,329,458,381,
212443,Evangelical Theological Seminary,,,,,,,,,
385619,Everglades University,620,589,634,657,612,53,54,53,
460376,Fairfax University of America,2,2,6,9,,,,,
129242,Fairfield University,1173,1091,993,1056,965,1055,963,990,
184694,Fairleigh Dickinson University-Florham Campus,577,671,799,586,692,698,509,577,
184603,Fairleigh Dickinson University-Metropolitan Campus,477,527,663,480,519,604,577,684,
153320,Faith Baptist Bible College and Theological Seminary,82,77,99,74,72,87,60,68,
443049,Faith International University,,2,9,20,7,9,6,11,
212452,Faith Theological Seminary,1,1,3,9,8,9,21,,
443058,Family of Faith Christian University,,,3,3,2,1,2,1,
101189,Faulkner University,259,254,311,297,280,385,287,349,
184612,Felician University,381,288,308,316,296,270,151,228,
232089,Ferrum College,355,416,359,451,422,499,554,550,
114549,Fielding Graduate University,,,,,,,,,
172440,Finlandia University,116,108,98,152,162,105,105,121,
165802,Fisher College,174,209,225,261,278,289,292,355,
220181,Fisk University,324,274,132,123,208,221,230,181,
133711,Flagler College,640,653,735,600,616,673,708,646,
133809,Florida College,203,205,156,179,189,212,196,189,
133881,Florida Institute of Technology,665,779,718,759,644,768,781,755,
133979,Florida Memorial University,317,332,315,377,374,457,400,390,
134079,Florida Southern College,681,702,719,643,692,577,633,536,
177418,Fontbonne University,184,183,139,140,178,111,157,136,
191241,Fordham University,2260,2285,2269,2189,2191,2229,1944,1855,
160074,Franciscan Missionaries of Our Lady University,71,67,80,75,70,86,107,100,
114734,Franciscan School of Theology,,,,,,,,,
