UnitID,Institution Name,Hospital services-Total amount (F1819_F2_RV),Hospital services-Total amount (F1718_F2_RV),Hospital services-Total amount (F1617_F2_RV),Hospital services-Total amount (F1516_F2_RV),Hospital services-Total amount (F1415_F2_RV),Hospital services-Total amount (F1314_F2_RV),Hospital services-Total amount (F1213_F2_RV),Hospital services-Total amount (F1112_F2_RV),
168740,Andrews University,0,0,0,0,0,0,0,0,
164492,Anna Maria College,0,0,0,0,0,0,0,0,
458113,Antioch College AG,0,0,0,0,0,0,0,0,
245838,Antioch University-Los Angeles,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,
442392,Antioch University-PhD Program in Leadership and Change,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,
245883,Antioch University-Seattle,,,,,,,,,
441511,Apex School of Theology,,0,0,0,0,0,0,0,
172972,Apostolic Bible Institute Inc,,,,,,,,0,
237136,Appalachian Bible College,0,0,0,0,0,0,0,0,
449922,Appalachian College of Pharmacy,0,0,0,0,0,0,0,0,
432348,Appalachian School of Law,0,0,0,0,0,0,0,0,
168786,Aquinas College,0,0,0,0,0,0,0,0,
219578,Aquinas College,,,,0,0,0,0,0,
176600,Aquinas Institute of Theology,0,0,0,0,0,0,0,0,
211088,Arcadia University,0,0,0,0,0,0,0,0,
105899,Arizona Christian University,0,0,0,0,0,0,0,0,
106306,Arkansas Baptist College,0,0,0,0,0,0,0,0,
222877,Arlington Baptist University,0,0,0,0,0,0,0,0,
201061,Art Academy of Cincinnati,0,0,0,0,0,0,0,0,
109651,Art Center College of Design,0,0,0,0,0,0,0,0,
156222,Asbury Theological Seminary,0,0,0,0,0,0,0,0,
156213,Asbury University,0,0,0,0,0,0,0,0,
201104,Ashland University,0,0,0,0,0,0,0,0,
164562,Assumption University,0,0,0,0,0,0,0,0,
201140,Athenaeum of Ohio,0,0,0,0,0,0,0,0,
439446,Atlantic Institute of Oriental Medicine,0,0,0,0,0,0,0,0,
173045,Augsburg University,0,0,0,0,0,0,0,0,
417345,Augusta Area Dietetic Internship-University Hospital,,,,,,,,,
143084,Augustana College,0,0,0,0,0,0,0,0,
219000,Augustana University,0,0,0,0,0,0,0,0,
143118,Aurora University,0,0,0,0,0,0,0,0,
222983,Austin College,0,0,0,0,0,0,0,0,
247825,Austin Graduate School of Theology,0,0,0,0,0,0,0,0,
223001,Austin Presbyterian Theological Seminary,0,0,0,0,0,0,0,0,
442295,Ave Maria School of Law,0,0,0,0,0,0,0,0,
446048,Ave Maria University,0,0,0,0,0,0,0,0,
231420,Averett University,0,0,0,0,0,0,0,0,
449931,Averett University-Non-Traditional Programs,0,0,0,0,0,0,0,0,
176628,Avila University,0,0,0,0,0,0,0,0,
109785,Azusa Pacific University,0,0,0,0,0,0,0,0,
164580,Babson College,0,0,0,0,0,0,0,0,
206817,Bacone College,0,0,0,0,0,0,0,0,
476601,Bais HaMedrash and Mesivta of Baltimore,0,0,0,0,0,0,0,0,
245777,Bais Medrash Elyon,0,0,0,0,0,0,0,0,
449658,Bais Medrash Toras Chesed,0,0,0,0,0,0,0,0,
168847,Baker College,0,0,0,0,0,0,0,0,
414708,Baker College Center for Graduate Studies,,,,,,,,,
444167,Baker College of Allen Park,,,,,,,,,
404073,Baker College of Auburn Hills,,,,,,,,,
404648,Baker College of Cadillac,,,,,,,,,
404082,Baker College of Clinton Township,,,,,,,,,
414160,Baker College of Jackson,,,,,,,,,
171298,Baker College of Muskegon,,,,,,,,,
168838,Baker College of Owosso,,,,,,,,,
381617,Baker College of Port Huron,,,,,,,,,
154688,Baker University,0,0,0,0,0,0,0,0,
420705,Bakke Graduate University,0,0,0,0,0,0,0,0,
201195,Baldwin Wallace University,0,0,0,0,0,0,0,0,
160968,Bangor Theological Seminary,,,,,,,,0,
189015,Bank Street College of Education,0,0,0,0,0,0,0,0,
176664,Baptist Bible College,0,0,0,0,0,0,0,0,
219639,Baptist Health Sciences University,0,0,0,0,0,0,0,0,
223117,Baptist Missionary Association Theological Seminary,0,0,0,0,0,0,0,0,
366793,Baptist Theological Seminary at Richmond,,0,0,0,0,0,0,0,
444398,Baptist University of the Americas,0,0,0,0,0,0,0,0,
155070,Barclay College,0,0,0,0,0,0,0,0,
189088,Bard College,0,0,0,0,0,0,0,0,
167792,Bard College at Simon's Rock,0,0,0,0,0,0,0,0,
189097,Barnard College,0,0,0,0,0,0,0,0,
177719,Barnes-Jewish College Goldfarb School of Nursing,0,0,0,0,0,0,0,0,
132471,Barry University,0,0,0,0,0,0,0,0,
197911,Barton College,0,0,0,0,0,0,0,0,
235547,Bastyr University,0,0,0,0,0,0,0,0,
160977,Bates College,0,0,0,0,0,0,0,0,
164632,Bay Path University,0,0,0,0,0,0,0,0,
223223,Baylor College of Medicine,346395722,306803659,295188977,244100950,245310842,230732163,210677446,250222148,
223232,Baylor University,0,0,0,0,0,0,0,0,
476717,Be'er Yaakov Talmudic Seminary,0,0,0,0,0,0,0,0,
384254,Beacon College,0,0,0,0,0,0,0,0,
164720,Becker College,0,0,0,0,0,0,0,0,
444413,Beis Medrash Heichal Dovid,0,0,0,0,0,0,0,0,
175421,Belhaven University,0,0,0,0,0,0,0,0,
156286,Bellarmine University,0,0,0,0,0,0,0,0,
180814,Bellevue University,0,0,0,0,0,0,0,0,
238324,Bellin College,0,0,0,0,0,0,0,0,
197984,Belmont Abbey College,0,0,0,0,0,0,0,0,
219709,Belmont University,0,0,0,0,0,0,0,0,
238333,Beloit College,0,0,0,0,0,0,0,0,
217721,Benedict College,0,0,0,0,0,0,0,0,
154712,Benedictine College,0,0,0,0,0,0,0,0,
145619,Benedictine University,0,0,0,0,0,0,0,0,
165884,Benjamin Franklin Institute of Technology,0,0,0,0,0,0,0,0,
197993,Bennett College,0,0,0,0,0,0,0,0,
230816,Bennington College,0,0,0,0,0,0,0,0,
164739,Bentley University,0,0,0,0,0,0,0,0,
156295,Berea College,0,0,0,0,0,0,0,0,
461643,Bergin University of Canine Studies,0,0,0,0,0,0,0,0,
108861,Berkeley School of Theology,0,0,0,0,0,0,0,0,
164748,Berklee College of Music,0,0,0,0,0,0,0,0,
139144,Berry College,0,0,0,0,0,0,0,0,
189273,Beth Hamedrash Shaarei Yosher Institute,0,0,0,0,0,0,0,0,
189264,Beth Hatalmud Rabbinical College,,,0,0,0,0,0,0,
183804,Beth Medrash Govoha,0,0,0,0,0,0,0,0,
154721,Bethany College,0,0,0,0,0,0,0,0,
237181,Bethany College,0,0,0,0,0,0,0,0,
173142,Bethany Lutheran College,0,0,0,0,0,0,0,0,
143233,Bethany Theological Seminary,0,0,0,0,0,0,0,0,
154749,Bethel College-North Newton,0,0,0,0,0,0,0,0,
369817,Bethel Seminary of the East,,,,,,0,0,0,
262022,Bethel Seminary-San Diego,0,0,0,0,0,0,0,0,
173179,Bethel Seminary-St Paul,,0,0,0,0,0,0,0,
173160,Bethel University,0,0,0,0,0,0,0,0,
150145,Bethel University,0,0,0,0,0,0,0,0,
219718,Bethel University,0,0,0,0,0,0,0,0,
110060,Bethesda University,0,0,0,0,0,0,0,0,
132602,Bethune-Cookman University,0,0,0,0,0,0,0,0,
139153,Beulah Heights University,0,0,0,0,0,0,0,0,
148724,Bexley Hall Seabury Western Theological Seminary Federation,,,,,,0,0,,
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,0,0,0,0,0,0,0,0,
110097,Biola University,0,0,0,0,0,0,0,0,
100937,Birmingham-Southern College,0,0,0,0,0,0,0,0,
442949,Birthingway College of Midwifery,0,0,0,0,0,0,0,0,
143288,Blackburn College,0,0,0,0,0,0,0,0,
143297,Blessing Rieman College of Nursing and Health Sciences,0,0,0,0,0,0,0,0,
183822,Bloomfield College,0,0,0,0,0,0,0,0,
175430,Blue Mountain College,0,0,0,0,0,0,0,0,
231554,Bluefield College,0,0,0,0,0,0,0,0,
201371,Bluffton University,0,0,0,0,0,0,0,0,
142090,Boise Bible College,0,0,0,0,0,0,0,0,
233356,Bon Secours Memorial College of Nursing,0,0,0,0,0,0,0,0,
189413,Boricua College,0,0,0,0,0,0,0,0,
164872,Boston Architectural College,0,0,0,0,0,0,0,0,
164614,Boston Baptist College,0,0,0,0,0,0,0,0,
164924,Boston College,0,0,0,0,0,0,0,0,
164915,Boston Graduate School of Psychoanalysis Inc,0,0,0,0,0,0,0,0,
164988,Boston University,0,0,0,0,0,0,0,0,
161004,Bowdoin College,0,0,0,0,0,0,0,0,
143358,Bradley University,0,0,0,0,0,0,0,0,
165015,Brandeis University,0,0,0,0,0,0,0,0,
262086,Brandman University,0,0,0,0,0,0,0,0,
139199,Brenau University,0,0,0,0,0,0,0,0,
156356,Brescia University,0,0,0,0,0,0,0,0,
198066,Brevard College,0,0,0,0,0,0,0,0,
139205,Brewton-Parker College,0,0,0,0,0,0,0,0,
152992,Briar Cliff University,0,0,0,0,0,0,0,0,
231581,Bridgewater College,0,0,0,0,0,0,0,0,
230047,Brigham Young University-Hawaii,0,0,0,0,0,0,0,0,
142522,Brigham Young University-Idaho,0,0,0,0,0,0,0,0,
230038,Brigham Young University-Provo,0,0,0,0,0,0,0,0,
450304,Brite Divinity School,0,0,0,0,0,0,0,0,
189501,Brooklyn Law School,0,0,0,0,0,0,0,0,
217156,Brown University,0,0,0,0,0,0,0,0,
180878,Bryan College of Health Sciences,0,0,0,0,0,0,0,0,
219790,Bryan College-Dayton,0,0,0,0,0,0,0,0,
217165,Bryant University,0,0,0,0,0,0,0,0,
210492,Bryn Athyn College of the New Church,0,0,0,0,0,0,0,0,
211273,Bryn Mawr College,0,0,0,0,0,0,0,0,
211291,Bucknell University,0,0,0,0,0,0,0,0,
153001,Buena Vista University,0,0,0,0,0,0,0,0,
230825,Burlington College,,,,,,0,0,0,
209409,Bushnell University,0,0,0,0,0,0,0,0,
150163,Butler University,0,0,0,0,0,0,0,0,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,0,0,0,0,0,0,0,0,
198109,Cabarrus College of Health Sciences,0,0,0,0,0,0,0,0,
211352,Cabrini University,0,0,0,0,0,0,0,0,
215114,Cairn University-Langhorne,0,0,0,0,0,0,0,0,
183910,Caldwell University,0,0,0,0,0,0,0,0,
110361,California Baptist University,0,0,0,0,0,0,0,0,
110918,California Christian College,0,0,0,0,0,0,0,0,
110370,California College of the Arts,0,0,0,0,0,0,0,0,
110316,California Institute of Integral Studies,0,0,0,0,0,0,0,0,
110404,California Institute of Technology,0,0,0,0,0,0,0,0,
111081,California Institute of the Arts,0,0,0,0,0,0,0,0,
110413,California Lutheran University,0,0,0,0,0,0,0,0,
460075,California University of Management and Sciences,,0,0,0,0,0,0,,
111391,California Western School of Law,0,0,0,0,0,0,0,0,
150172,Calumet College of Saint Joseph,0,0,0,0,0,0,0,0,
211370,Calvary Baptist Theological Seminary,,,,,,,0,0,
176789,Calvary University,0,0,0,0,0,0,0,0,
169099,Calvin Theological Seminary,0,0,0,0,0,0,0,0,
169080,Calvin University,0,0,0,0,0,0,0,0,
165167,Cambridge College,0,0,0,0,0,0,0,0,
198136,Campbell University,0,0,0,0,0,0,0,0,
156365,Campbellsville University,0,0,0,0,0,0,0,0,
189705,Canisius College,0,0,0,0,0,0,0,0,
201548,Capital University,0,0,0,0,0,0,0,0,
162061,Capitol Technology University,0,0,0,0,0,0,0,0,
238430,Cardinal Stritch University,0,0,0,0,0,0,0,0,
173258,Carleton College,0,0,0,0,0,0,0,0,
211431,Carlow University,0,0,0,0,0,0,0,0,
211440,Carnegie Mellon University,0,0,0,0,0,0,0,0,
199971,Carolina Christian College,0,0,0,0,0,0,0,0,
461032,Carolina College of Biblical Studies,0,0,0,0,0,0,0,0,
180106,Carroll College,0,0,0,0,0,0,0,0,
238458,Carroll University,0,0,0,0,0,0,0,0,
219806,Carson-Newman University,0,0,0,0,0,0,0,0,
238476,Carthage College,0,0,0,0,0,0,0,0,
139287,Carver Bible College,,,0,0,0,0,0,0,
201645,Case Western Reserve University,0,0,0,0,0,0,0,0,
198215,Catawba College,0,0,0,0,0,0,0,0,
218089,Cathedral Bible College,,,,,,,,,
143659,Catholic Theological Union at Chicago,0,0,0,0,0,0,0,0,
189848,Cazenovia College,0,0,0,0,0,0,0,0,
211468,Cedar Crest College,0,0,0,0,0,0,0,0,
201654,Cedarville University,0,0,0,0,0,0,0,0,
158477,Centenary College of Louisiana,0,0,0,0,0,0,0,0,
183974,Centenary University,0,0,0,0,0,0,0,0,
106713,Central Baptist College,0,0,0,0,0,0,0,0,
154837,Central Baptist Theological Seminary,,,,,0,0,0,0,
176938,Central Bible College,,,,,,,,0,
154855,Central Christian College of Kansas,0,0,0,0,0,0,0,0,
176910,Central Christian College of the Bible,0,0,0,0,0,0,0,0,
153108,Central College,0,0,0,0,0,0,0,0,
445267,Central Methodist University-College of Graduate and Extended Studies,,,,,,,,,
176947,Central Methodist University-College of Liberal Arts and Sciences,0,0,0,0,0,0,0,0,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,0,0,0,0,0,0,0,0,
156408,Centre College,0,0,0,0,0,0,0,0,
141486,Chaminade University of Honolulu,0,0,0,0,0,0,0,0,
230852,Champlain College,0,0,0,0,0,0,0,0,
111948,Chapman University,0,0,0,0,0,0,0,0,
111966,Charles R Drew University of Medicine and Science,0,0,0,0,0,0,0,0,
217688,Charleston Southern University,0,0,0,0,0,0,0,0,
444778,Charlotte Christian College and Theological Seminary,0,0,0,0,0,0,0,0,
211556,Chatham University,0,0,0,0,0,0,0,0,
183345,Chester College of New England,,,,,,,,,
211583,Chestnut Hill College,0,0,0,0,0,0,0,0,
144014,Chicago Theological Seminary,0,0,0,0,0,0,0,0,
198303,Chowan University,0,0,0,0,0,0,0,0,
189981,Christ the King Seminary,0,0,0,0,0,0,0,0,
219833,Christian Brothers University,0,0,0,0,0,0,0,0,
260947,Christian Life College,,,0,0,0,0,0,0,
150215,Christian Theological Seminary,0,0,0,0,0,0,0,0,
112127,Church Divinity School of the Pacific,0,0,0,0,0,0,0,0,
201858,Cincinnati Christian University,,0,0,0,0,0,0,0,
201867,Cincinnati College of Mortuary Science,0,0,0,0,0,0,0,0,
244233,City College-Fort Lauderdale,0,0,0,0,0,0,0,0,
406547,City College-Gainesville,0,0,0,0,0,,,,
434539,City College-Miami,0,0,0,0,0,,,,
234915,City University of Seattle,0,0,0,0,0,0,0,0,
457697,City Vision University,0,0,0,0,0,0,0,0,
217873,Claflin University,0,0,0,0,0,0,0,0,
112251,Claremont Graduate University,0,0,0,0,0,0,0,0,
112260,Claremont McKenna College,0,0,0,0,0,0,0,0,
124283,Claremont School of Theology,0,0,0,0,0,0,0,0,
138947,Clark Atlanta University,0,0,0,0,0,0,0,0,
165334,Clark University,0,0,0,0,0,0,0,0,
153126,Clarke University,0,0,0,0,0,0,0,0,
211024,Clarks Summit University,0,0,0,0,0,0,0,0,
180832,Clarkson College,0,0,0,0,0,0,0,0,
190044,Clarkson University,0,0,0,0,0,0,0,0,
156417,Clear Creek Baptist Bible College,0,0,0,0,0,0,0,0,
133085,Clearwater Christian College,,,,,,0,0,0,
169327,Cleary University,0,0,0,0,0,0,0,0,
202046,Cleveland Institute of Art,0,0,0,0,0,0,0,0,
202073,Cleveland Institute of Music,0,0,0,0,0,0,0,0,
177038,Cleveland University-Kansas City,0,0,0,0,0,0,0,0,
153144,Coe College,0,0,0,0,0,0,0,0,
217907,Coker University,0,0,0,0,0,0,0,0,
161086,Colby College,0,0,0,0,0,0,0,0,
182634,Colby-Sawyer College,0,0,0,0,0,0,0,0,
112446,Coleman University,,,0,0,0,0,0,0,
190080,Colgate Rochester Crozer Divinity School,0,0,0,0,0,0,0,0,
190099,Colgate University,0,0,0,0,0,0,0,0,
169442,College for Creative Studies,0,0,0,0,0,0,0,0,
439613,College of Biblical Studies,,0,0,0,0,0,0,0,
388520,College of Biblical Studies-Houston,0,0,0,0,0,0,0,0,
413617,College of Menominee Nation,0,0,0,0,0,0,0,0,
193399,College of Mount Saint Vincent,0,0,0,0,0,0,0,0,
167394,College of Our Lady of the Elms,0,0,0,0,0,0,0,0,
174747,College of Saint Benedict,0,0,0,0,0,0,0,0,
181604,College of Saint Mary,0,0,0,0,0,0,0,0,
231077,College of St Joseph,,0,0,0,0,0,0,0,
160959,College of the Atlantic,0,0,0,0,0,0,0,0,
166124,College of the Holy Cross,0,0,0,0,0,0,0,0,
178697,College of the Ozarks,0,0,0,0,0,0,0,0,
174932,College of Visual Arts,,,,,,,,0,
126669,Colorado Christian University,0,0,0,0,0,0,0,0,
126678,Colorado College,0,0,0,0,0,0,0,0,
367839,Colorado Heights University,,,,0,0,0,0,0,
177065,Columbia College,0,0,0,0,0,0,0,0,
217934,Columbia College,0,0,0,0,0,0,0,0,
144281,Columbia College Chicago,0,0,0,0,0,0,0,0,
112570,Columbia College Hollywood,0,0,0,0,0,0,0,0,
238573,Columbia College of Nursing,0,0,0,0,0,0,0,0,
217925,Columbia International University,0,0,0,0,0,0,0,0,
139348,Columbia Theological Seminary,0,0,0,0,0,0,0,0,
190150,Columbia University in the City of New York,0,0,0,0,0,0,0,0,
202170,Columbus College of Art and Design,0,0,0,0,0,0,0,0,
177083,Conception Seminary College,0,0,0,0,0,0,0,0,
190248,Concordia College,0,0,0,0,0,0,0,0,
101073,Concordia College Alabama,,,0,0,0,0,0,0,
173300,Concordia College at Moorhead,0,0,0,0,0,0,0,0,
177092,Concordia Seminary,0,0,0,0,0,0,0,0,
150288,Concordia Theological Seminary,0,0,0,0,0,0,0,0,
224004,Concordia University Texas,0,0,0,0,0,0,0,0,
169363,Concordia University-Ann Arbor,,0,0,0,0,0,0,0,
144351,Concordia University-Chicago,0,0,0,0,0,0,0,0,
112075,Concordia University-Irvine,0,0,0,0,0,0,0,0,
180984,Concordia University-Nebraska,0,0,0,0,0,0,0,0,
208488,Concordia University-Portland,0,0,0,0,0,0,0,0,
173328,Concordia University-Saint Paul,0,0,0,0,0,0,0,0,
238616,Concordia University-Wisconsin,0,0,0,0,0,0,0,0,
128902,Connecticut College,0,0,0,0,0,0,0,0,
217961,Converse College,0,0,0,0,0,0,0,0,
165495,Conway School of Landscape Design,0,0,0,0,0,0,0,0,
184153,Cooper Health System Center for Allied Health Education,,,,,,,,,
190372,Cooper Union for the Advancement of Science and Art,0,0,0,0,0,0,0,0,
210331,Corban University,0,0,0,0,0,0,0,0,
131308,Corcoran College of Art and Design,,,,,,0,0,0,
153162,Cornell College,0,0,0,0,0,0,0,0,
190415,Cornell University,0,0,0,0,0,0,0,0,
170037,Cornerstone University,0,0,0,0,0,0,0,0,
235024,Cornish College of the Arts,0,0,0,0,0,0,0,0,
177117,Cottey College,0,0,0,0,0,0,0,0,
139393,Covenant College,0,0,0,0,0,0,0,0,
177126,Covenant Theological Seminary,0,0,0,0,0,0,0,0,
176770,Cox College,0,0,0,0,0,0,0,0,
169424,Cranbrook Academy of Art,0,0,0,0,0,0,0,0,
181002,Creighton University,29220000,26653000,26138000,25637000,25948000,28200000,85815542,93538080,
475608,Criswell College,0,0,0,0,0,0,0,0,
174206,Crossroads College,,,,,0,0,0,0,
106810,Crowley's Ridge College,0,0,0,0,0,0,0,0,
174862,Crown College,0,0,0,0,0,0,0,0,
190503,Culinary Institute of America,0,0,0,0,0,0,0,0,
177144,Culver-Stockton College,0,0,0,0,0,0,0,0,
219949,Cumberland University,0,0,0,0,0,0,0,0,
165529,Curry College,0,0,0,0,0,0,0,0,
211893,Curtis Institute of Music,0,0,0,0,0,0,0,0,
190716,D'Youville College,0,0,0,0,0,0,0,0,
190725,Daemen College,0,0,0,0,0,0,0,0,
219091,Dakota Wesleyan University,0,0,0,0,0,0,0,0,
224226,Dallas Baptist University,0,0,0,0,0,0,0,0,
224244,Dallas Christian College,0,0,0,0,0,0,0,0,
224305,Dallas Theological Seminary,0,0,0,0,0,0,0,0,
190734,Darkei Noam Rabbinical College,,,,,,,,0,
182670,Dartmouth College,0,0,0,0,0,0,0,0,
169479,Davenport University,0,0,0,0,0,0,0,0,
198385,Davidson College,0,0,0,0,0,0,0,0,
237358,Davis & Elkins College,0,0,0,0,0,0,0,0,
194569,Davis College,0,0,0,0,0,0,0,0,
165574,Dean College,0,0,0,0,0,0,0,0,
202514,Defiance College,0,0,0,0,0,0,0,0,
211981,Delaware Valley University,0,0,0,0,0,0,0,0,
113537,Dell'Arte International School of Physical Theatre,0,0,0,0,0,0,0,0,
202523,Denison University,0,0,0,0,0,0,0,0,
126979,Denver Seminary,0,0,0,0,0,0,0,0,
144740,DePaul University,0,0,0,0,0,0,0,0,
150400,DePauw University,0,0,0,0,0,0,0,0,
154156,Des Moines University-Osteopathic Medical Center,0,0,0,0,0,0,0,6398746,
210739,DeSales University,0,0,0,0,0,0,0,0,
212009,Dickinson College,0,0,0,0,0,0,0,0,
158802,Dillard University,0,0,0,0,0,0,0,0,
445869,Divine Mercy University,0,0,0,0,0,0,0,0,
153241,Divine Word College,0,0,0,0,0,0,0,0,
181020,Doane University,0,0,0,0,0,0,0,0,
448284,Doane University-Graduate and Professional Studies,,0,0,0,0,0,0,0,
190761,Dominican College of Blauvelt,0,0,0,0,0,0,0,0,
113704,Dominican School of Philosophy & Theology,0,0,0,0,0,0,0,0,
148496,Dominican University,0,0,0,0,0,0,0,0,
113698,Dominican University of California,0,0,0,0,0,0,0,0,
122117,Dongguk University Los Angeles,0,0,0,0,0,0,0,0,
155007,Donnelly College,0,0,0,0,0,0,0,0,
153250,Dordt University,0,0,0,0,0,0,0,0,
190770,Dowling College,,,,,0,0,0,0,
153269,Drake University,0,0,0,0,0,0,0,0,
184348,Drew University,0,0,0,0,0,0,0,0,
212054,Drexel University,0,0,0,0,0,0,0,0,
177214,Drury University,0,0,0,0,0,0,0,0,
198419,Duke University,3383542000,3178657000,2946400000,2753816000,2594899000,2397580000,2256377000,1927678000,
175227,Dunwoody College of Technology,0,0,0,0,0,0,0,0,
212106,Duquesne University,0,0,0,0,0,0,0,0,
150455,Earlham College,0,0,0,0,0,0,0,0,
224527,East Texas Baptist University,0,0,0,0,0,0,0,0,
144883,East-West University,0,0,0,0,0,0,0,0,
232043,Eastern Mennonite University,0,0,0,0,0,0,0,0,
165644,Eastern Nazarene College,0,0,0,0,0,0,0,0,
212133,Eastern University,0,0,0,0,0,0,0,0,
446233,Ecclesia College,0,0,0,0,0,0,0,0,
133492,Eckerd College,0,0,0,0,0,0,0,0,
247162,Ecumenical Theological Seminary,0,0,0,0,0,0,0,0,
177278,Eden Theological Seminary,0,0,0,0,0,0,0,0,
238661,Edgewood College,0,0,0,0,0,0,0,0,
442806,Edward Via College of Osteopathic Medicine,0,0,0,0,0,0,0,0,
133526,Edward Waters College,0,0,0,0,0,0,0,0,
212197,Elizabethtown College,0,0,0,0,0,0,0,0,
480134,Elizabethtown College School of Continuing and Professional Studies,,,,,,,,,
144962,Elmhurst University,0,0,0,0,0,0,0,0,
190983,Elmira College,0,0,0,0,0,0,0,0,
198516,Elon University,0,0,0,0,0,0,0,0,
133553,Embry-Riddle Aeronautical University-Daytona Beach,0,0,0,0,0,0,0,0,
104586,Embry-Riddle Aeronautical University-Prescott,0,0,0,0,0,0,,,
426314,Embry-Riddle Aeronautical University-Worldwide,0,0,0,0,0,0,,,
165662,Emerson College,0,0,0,0,0,0,0,0,
220136,Emmanuel Christian Seminary,,,,,,0,0,0,
165671,Emmanuel College,0,0,0,0,0,0,0,0,
139630,Emmanuel College,0,0,0,0,0,0,0,0,
153302,Emmaus Bible College,0,0,0,0,0,0,0,0,
232025,Emory & Henry College,0,0,0,0,0,0,0,0,
139658,Emory University,4333085000,3398655000,3145643000,2919448000,2687532000,2547754000,2548307000,2427950000,
165699,Endicott College,0,0,0,0,0,0,0,0,
124487,Epic Bible College,0,0,0,0,0,0,0,0,
165705,Episcopal Divinity School,,,,0,0,0,0,0,
224712,Episcopal Theological Seminary of the Southwest,0,0,0,0,0,0,0,0,
409254,Erikson Institute,0,0,0,0,0,0,0,0,
217998,Erskine College,0,0,0,0,0,0,0,0,
144971,Eureka College,0,0,0,0,0,0,0,0,
177339,Evangel University,0,0,0,0,0,0,0,0,
176619,Evangel University - Assemblies of God Theological Seminary,,,,0,0,0,0,0,
212443,Evangelical Theological Seminary,0,0,0,0,0,0,0,0,
385619,Everglades University,0,0,0,0,0,0,0,0,
196680,Excelsior College,0,0,0,0,0,0,0,0,
129242,Fairfield University,0,0,0,0,0,0,0,0,
184694,Fairleigh Dickinson University-Florham Campus,,,,,,,,,
