UnitID,Institution Name,Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),
235024,Cornish College of the Arts,33360,41642,40464,38820,37240,35800,33950,32380,
177117,Cottey College,21760,21160,20200,19300,19300,19300,18800,17400,
139393,Covenant College,35640,34330,33170,32230,31320,30160,29100,28270,
177126,Covenant Theological Seminary,,,,,,,,,
176770,Cox College,12600,11920,11410,11170,10587,10150,10376,12293,
169424,Cranbrook Academy of Art,,,,,,,,,
181002,Creighton University,41400,39916,38750,37606,36422,35360,34330,33330,
475608,Criswell College,11552,10710,9858,8950,8230,7870,7126,6934,
174206,Crossroads College,,,,,16040,15580,15280,15280,
106810,Crowley's Ridge College,14500,13600,12250,12500,11900,11800,10900,10900,
174862,Crown College,26970,26200,25430,24700,23740,23180,22430,22100,
190503,Culinary Institute of America,33690,32720,31616,30730,29250,28240,27720,27130,
177144,Culver-Stockton College,27205,26680,26040,25415,24900,24050,23300,22550,
219949,Cumberland University,24000,22890,21810,21210,21210,20200,20200,20200,
165529,Curry College,41230,40070,38936,37835,36765,35725,34715,33465,
211893,Curtis Institute of Music,2900,2900,2675,2525,2525,2475,2425,2350,
190716,D'Youville College,27880,26750,25870,25210,24370,23562,22850,22240,
190725,Daemen College,29430,28580,27990,26940,25995,24990,24090,23130,
219091,Dakota Wesleyan University,28750,27640,27030,26050,24800,23650,22700,21750,
224226,Dallas Baptist University,30320,28870,27480,26180,24890,23650,22350,21110,
224244,Dallas Christian College,19086,18734,18734,17454,16536,15492,14688,13820,
224305,Dallas Theological Seminary,,,,,,,,,
190734,Darkei Noam Rabbinical College,,,,,,,,,
182670,Dartmouth College,57638,55453,53368,51438,49506,48108,46752,45042,
169479,Davenport University,19338,18414,17558,16726,15952,15072,14096,13192,
198385,Davidson College,53166,51447,49949,48376,46966,45377,42849,40809,
237358,Davis & Elkins College,29630,29590,28992,28842,27492,27492,24992,23820,
194569,Davis College,17150,17150,16800,16400,13540,12640,12640,11940,
165574,Dean College,40414,39434,38090,36660,35420,34390,33230,31950,
202514,Defiance College,33260,32700,32190,31680,31082,29916,28690,27360,
211981,Delaware Valley University,40620,39440,38000,36750,35256,33826,32890,31746,
113537,Dell'Arte International School of Physical Theatre,13400,13350,13350,,13350,12750,12750,12750,
202523,Denison University,53830,51960,50440,48960,47290,45670,43910,42280,
126979,Denver Seminary,,,,,,,,,
144740,DePaul University,41202,39975,39010,37626,36361,35071,33990,32295,
150400,DePauw University,51146,49704,47838,46448,44678,42746,40640,38750,
154156,Des Moines University-Osteopathic Medical Center,,,,,,,,,
210739,DeSales University,38700,37400,35900,34850,33350,32350,31250,30150,
212009,Dickinson College,56523,54661,52955,51205,49489,47717,46094,44551,
158802,Dillard University,19281,17918,17917,17064,16252,16252,16094,14770,
445869,Divine Mercy University,,,,,,,,,
153241,Divine Word College,13440,13160,12850,12600,12600,12350,12100,12100,
181020,Doane University,35300,33800,32250,30434,28790,27200,26180,25080,
448284,Doane University-Graduate and Professional Studies,,11370,10780,10665,9975,9520,9065,,
190761,Dominican College of Blauvelt,29844,29000,28448,27438,26450,25702,24790,23970,
113704,Dominican School of Philosophy & Theology,,,,,,,,,
148496,Dominican University,34420,33434,32530,31570,30670,29770,28810,27730,
113698,Dominican University of California,46940,45850,44690,43400,42550,41730,40600,39050,
122117,Dongguk University Los Angeles,,,,,,,,,
155007,Donnelly College,7740,7260,7140,6702,6822,7111,6579,6579,
153250,Dordt University,31770,30840,30000,29130,28280,27460,26540,25520,
190770,Dowling College,,,,,29100,29100,28390,27124,
153269,Drake University,42840,41396,39062,35206,33696,32246,30889,29556,
184348,Drew University,40960,39800,49468,48052,46684,45364,44068,42920,
212054,Drexel University,54516,53244,52002,51030,48791,47051,37505,36090,
177214,Drury University,29665,28515,27015,25905,24905,23885,22295,22075,
198419,Duke University,58031,55695,53500,51265,49241,47243,45376,43623,
175227,Dunwoody College of Technology,23119,22046,21610,20428,20194,19652,18817,18154,
212106,Duquesne University,39992,38178,36394,35062,33778,32636,31385,30034,
150455,Earlham College,47380,46450,45750,45300,44390,42870,41450,40020,
224527,East Texas Baptist University,27210,26370,25470,24700,24218,23280,22590,21530,
144883,East-West University,22650,22050,21450,20820,20145,19545,18795,17595,
232043,Eastern Mennonite University,38230,37110,35800,34200,32300,30800,29350,27970,
165644,Eastern Nazarene College,26568,25598,31780,30815,29880,29012,27922,26884,
212133,Eastern University,33854,32947,32145,31140,30640,29680,28090,27174,
446233,Ecclesia College,15950,15140,15140,15140,15140,15140,15140,15140,
133492,Eckerd College,46096,44540,43044,41538,40020,38668,37362,35926,
247162,Ecumenical Theological Seminary,,,,,,,,,
177278,Eden Theological Seminary,,,,,,,,,
238661,Edgewood College,30600,29500,28500,27530,26550,25590,24666,23740,
442806,Edward Via College of Osteopathic Medicine,,,,,,,,,
133526,Edward Waters College,14878,13525,13525,13525,12525,12525,11525,11358,
212197,Elizabethtown College,32000,46940,45350,43490,41710,39920,38200,36550,
480134,Elizabethtown College School of Continuing and Professional Studies,,,,,,,,,
144962,Elmhurst University,37754,37055,36370,35500,34450,33950,32920,31650,
190983,Elmira College,35400,41900,41900,41900,39950,38150,38150,38150,
198516,Elon University,36571,35319,34273,33104,32172,31247,30149,28980,
133553,Embry-Riddle Aeronautical University-Daytona Beach,36868,35814,34822,33886,33218,31948,31334,30720,
104586,Embry-Riddle Aeronautical University-Prescott,36708,35654,34662,33826,33144,31648,31034,30420,
426314,Embry-Riddle Aeronautical University-Worldwide,9912,9360,9000,8760,8520,8040,7800,7320,
165662,Emerson College,49432,46852,44832,42908,41052,37350,35730,34198,
220136,Emmanuel Christian Seminary,,,,,,,,,
139630,Emmanuel College,20712,20292,19710,19330,18870,18170,16800,15700,
165671,Emmanuel College,41448,39804,38844,37540,36504,35532,34670,33650,
153302,Emmaus Bible College,18950,18400,17520,16580,15920,15390,15390,14500,
232025,Emory & Henry College,35100,35100,33700,33700,30900,30326,28966,28122,
139658,Emory University,53804,51306,49392,47954,46314,45008,44008,42980,
165699,Endicott College,34200,33050,32154,31312,30492,29494,28926,28166,
124487,Epic Bible College,9689,9689,9689,9689,9689,9689,9690,11500,
165705,Episcopal Divinity School,,,,,,,,,
224712,Episcopal Theological Seminary of the Southwest,,,,,,,,,
409254,Erikson Institute,,,,,,,,,
217998,Erskine College,36510,36150,34560,34560,33315,31580,31580,29790,
144971,Eureka College,27560,25390,25390,21120,20510,20060,20060,19480,
177339,Evangel University,24327,23421,22745,22081,21436,20796,20040,19050,
176619,Evangel University - Assemblies of God Theological Seminary,,,,,,,,,
212443,Evangelical Theological Seminary,,,,,,,,,
385619,Everglades University,18320,17600,17000,16400,16648,16000,15400,14800,
196680,Excelsior College,,,,,,,,,
129242,Fairfield University,49830,48350,47165,46000,44875,43770,42920,41690,
184694,Fairleigh Dickinson University-Florham Campus,44720,43142,41780,40234,39092,38236,37348,36352,
184603,Fairleigh Dickinson University-Metropolitan Campus,42220,40732,39446,37988,36910,35880,34882,33792,
153320,Faith Baptist Bible College and Theological Seminary,17298,16876,16766,16766,16600,16086,15546,15020,
443049,Faith International University,8550,7875,7236,7840,7840,7885,7560,7560,
443058,Family of Faith Christian University,6870,6570,6570,6220,6070,6120,5970,5610,
101189,Faulkner University,22310,21690,20970,20130,19280,18750,18230,17380,
184612,Felician University,35000,34320,33650,32990,31235,30605,29990,29400,
232089,Ferrum College,35365,34175,33025,31915,30835,29795,28585,27425,
114549,Fielding Graduate University,,,,,,,,,
172440,Finlandia University,23308,22758,22758,22758,22110,21480,20480,20480,
165802,Fisher College,31992,31384,30499,29640,28942,28260,27575,26775,
220181,Fisk University,22132,21480,21480,21480,21480,20858,20449,20002,
114585,Five Branches University,,,,,,,,,
133711,Flagler College,19500,18950,18200,17500,16830,16180,16180,15340,
444990,Flagler College-Tallahassee,,,,,,,,,
133809,Florida College,17300,17142,17142,16550,16074,15330,14490,13820,
133881,Florida Institute of Technology,42470,41850,41240,40446,39290,37990,36020,36020,
480569,Florida Institute of Technology-Online,12240,,,,,,,,
133979,Florida Memorial University,16236,15536,15536,15536,15280,14776,14776,15000,
134079,Florida Southern College,37640,36348,34774,33150,31460,29990,28580,27200,
177418,Fontbonne University,27260,26340,25460,24610,23790,22770,22684,21220,
191241,Fordham University,54393,52687,50986,49073,47317,45623,43902,42057,
177427,Forest Institute of Professional Psychology,,,,,,,,,
160074,Franciscan Missionaries of Our Lady University,14145,13287,12764,12046,11444,11144,10532,9757,
114734,Franciscan School of Theology,,,,,,,,,
205957,Franciscan University of Steubenville,28880,27630,26430,25680,24780,23930,23160,22180,
212577,Franklin and Marshall College,58800,56550,54380,52290,50400,48514,46285,44360,
150604,Franklin College,32970,32010,30920,30025,29025,28185,27695,26895,
182795,Franklin Pierce University,39100,36900,34995,34050,33320,31782,31000,29950,
202806,Franklin University,9577,12649,12241,11881,11641,11161,10681,9985,
441982,Franklin W Olin College of Engineering,55500,53736,51936,49986,48181,46681,45156,42975,
220215,Freed-Hardeman University,22950,21950,21950,21500,21500,20468,20468,20468,
114813,Fresno Pacific University,32950,32458,30458,29320,27954,26638,25716,25336,
155089,Friends University,29394,28415,27565,26865,25965,24630,23430,22500,
156727,Frontier Nursing University,,,,,,,,,
114840,Fuller Theological Seminary,,,,,,,,,
218070,Furman University,50844,49532,48348,47164,46012,44668,43164,41532,
131450,Gallaudet University,17038,17038,16558,16078,15604,15024,13800,12806,
212601,Gannon University,33226,32136,30932,30042,29258,28368,27546,26526,
198561,Gardner-Webb University,32240,32000,30700,29810,28280,27080,25830,24450,
145275,Garrett-Evangelical Theological Seminary,,,,,,,,,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,28190,27230,26070,25680,25450,25220,25220,24480,
208822,George Fox University,37280,36020,35016,33730,33142,31866,31120,30230,
131469,George Washington University,56935,55230,53518,51950,50435,48760,47343,45780,
156745,Georgetown College,39810,38650,37160,35650,34280,32960,32310,30770,
131496,Georgetown University,56058,54104,52300,50547,48611,46744,44805,42870,
461236,Georgia Central University,,,6220,5125,5125,5125,5010,5010,
184773,Georgian Court University,33610,32976,32260,31618,31618,30998,29606,28040,
458511,Gerstner Sloan-Kettering Graduate School of Biomedical Sciences,,,,,,,,,
212674,Gettysburg College,56390,54480,52640,50860,49140,47480,45870,44210,
230889,Goddard College,17084,16586,16260,15786,15476,14930,14930,14218,
202903,Gods Bible School and College,7150,7040,7040,7040,7040,7010,7000,6770,
115083,Golden Gate University-San Francisco,,,16095,15205,14640,14640,14400,14160,
130989,Goldey-Beacom College,24780,24300,23850,23400,22950,22500,22140,21120,
235316,Gonzaga University,45140,43210,41330,39730,37990,36535,35062,33652,
202912,Good Samaritan College of Nursing and Health Science,15470,15470,15470,15530,15054,19420,18825,18215,
129154,Goodwin University,20898,20898,20888,20400,19950,19450,19400,19400,
165936,Gordon College,38650,37400,36740,36060,35386,34390,33230,32100,
165945,Gordon-Conwell Theological Seminary,,,,,,,,,
150668,Goshen College,34540,33700,33200,33200,30900,29700,28500,26900,
162654,Goucher College,45250,44300,43440,43416,42180,40558,39084,37640,
170000,Grace Christian University,14350,13945,11569,12644,12268,12239,12235,12424,
150677,Grace College and Theological Seminary,26262,24768,23170,23120,22450,24670,23970,23290,
461528,Grace College of Divinity,6100,6100,5800,4240,4240,3520,3520,3445,
181093,Grace University,,,23030,21928,20548,19290,18256,17366,
153366,Graceland University-Lamoni,30420,29240,28110,27010,25890,24920,23530,22680,
115214,Graduate Theological Union,,,,,,,,,
153375,Grand View University,30508,27608,26516,25474,24614,23426,22628,21826,
212771,Gratz College,,,,19772,,,,,
170091,Great Lakes Christian College,17220,17220,15550,14770,14540,14890,14500,14100,
230898,Green Mountain College,,37080,37002,37002,35340,33736,32192,30968,
198598,Greensboro College,18500,29140,29120,28000,26900,26850,26306,25600,
145372,Greenville University,27910,27130,26356,25720,25088,24360,23612,22920,
153384,Grinnell College,54354,52392,50714,48758,46990,45620,43656,41004,
212805,Grove City College,18470,17930,17254,16630,16154,15550,14880,14212,
198613,Guilford College,38530,37120,35563,34090,34090,33430,32470,31380,
173647,Gustavus Adolphus College,47040,45400,44080,42840,41620,40400,39120,37660,
212832,Gwynedd Mercy University,34580,33600,33600,32480,31360,30460,29450,28190,
191515,Hamilton College,56530,54620,52770,51240,49500,47820,46080,44350,
173665,Hamline University,42774,41290,40332,39181,37886,36270,35108,33752,
232256,Hampden-Sydney College,46890,45746,43940,42962,41730,39204,37352,35570,
166018,Hampshire College,52068,51668,51608,50238,49048,48065,46625,44700,
232265,Hampton University,28024,26702,25441,24242,23112,21760,20724,19738,
177542,Hannibal-LaGrange University,23590,22750,21810,21810,21110,19530,18770,17920,
150756,Hanover College,38750,37670,36520,35514,34514,33023,31760,30268,
225247,Hardin-Simmons University,30140,28990,27440,25830,24500,22350,23460,22560,
107044,Harding University,20735,19845,19385,18635,17805,17040,16170,15240,
446640,Harrisburg University of Science and Technology,23900,23900,23900,23900,23900,23900,23900,23900,
129491,Hartford Seminary,,,,,,,,,
191533,Hartwick College,46926,45510,44134,42860,41440,40070,38930,37460,
166027,Harvard University,51925,50420,48949,47074,45278,43938,42292,39966,
115409,Harvey Mudd College,58660,56620,54636,52666,50649,48594,46509,44442,
181127,Hastings College,31560,30050,29200,28250,27300,26280,25520,24900,
212911,Haverford College,56952,54838,52994,51259,49098,47214,45426,43702,
449579,Hawaii College of Oriental Medicine,,,,,,,,,
141644,Hawaii Pacific University,27500,25980,24550,23440,22440,21130,20180,18600,
173683,Hazelden Betty Ford Graduate School of Addiction Studies,,,,,,,,,
166045,Hebrew College,,,,,,,,,
145497,Hebrew Theological College,13300,12920,17630,16860,19900,19190,18605,18030,
203067,Hebrew Union College-Jewish Institute of Religion,,,,,,,,,
203085,Heidelberg University,31700,31000,30200,29200,28500,27480,26180,24580,
191597,Helene Fuld College of Nursing,,,,,18764,16753,16693,16693,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,22490,22490,22490,22490,22490,22339,21220,21220,
107080,Hendrix College,47600,45790,44070,42440,40870,39290,37816,36200,
198677,Heritage Bible College,8328,8328,8328,9170,9168,7968,7730,7440,
101453,Heritage Christian University,11532,11232,11232,9792,9792,9792,9792,12030,
235422,Heritage University,18029,17914,17914,19122,19122,18521,17744,16515,
198695,High Point University,36268,35118,34005,33405,32430,31480,30715,,
191621,Hilbert College,23450,22350,21800,21300,20700,19940,19940,19440,
203128,Hiram College,37710,36358,34300,33040,31530,30290,30290,30190,
220312,Hiwassee College,,19571,16469,15543,15543,13470,13320,18340,
191630,Hobart William Smith Colleges,57030,55255,53525,51559,49677,47908,46165,44438,
134510,Hobe Sound Bible College,6940,6595,6595,6320,6320,5920,5700,5480,
367884,Hodges University,14300,14180,13940,13700,13220,13220,12740,12260,
191649,Hofstra University,47510,45700,43960,42160,40460,38900,37400,35950,
232308,Hollins University,40010,39035,38285,36835,35635,34295,33320,32075,
129534,Holy Apostles College and Seminary,8720,7870,7750,7750,7750,10870,10470,10080,
150774,Holy Cross College,32000,30700,29734,28760,27950,27150,25450,23900,
239743,Holy Family College,29600,28390,27360,26340,25320,24350,23180,22470,
212984,Holy Family University,31040,30346,30346,29750,29168,28456,27100,25590,
115728,Holy Names University,40102,39316,38188,37074,35666,34488,33020,31640,
162760,Hood College,41060,39492,37960,36540,35150,34120,33280,32300,
443076,Hood Theological Seminary,,,,,,,,,
170301,Hope College,35330,34010,32780,31560,30550,29560,28720,27710,
120537,Hope International University,33400,33400,31800,30550,28550,27130,26050,25264,
457226,Horizon University,9300,9300,9300,9150,9150,9250,9250,6340,
191676,Houghton College,33458,32488,31540,30336,29458,28556,27728,26924,
225399,Houston Baptist University,33450,32530,31730,30800,29800,28800,27930,26795,
246345,Houston Graduate School of Theology,,,,,,,,,
225548,Howard Payne University,29198,28090,27690,26630,25600,24600,23200,22560,
131520,Howard University,27206,26756,25697,24908,23970,23970,22683,22683,
164368,Hult International Business School,42500,40650,38850,36450,,,,28245,
115773,Humphreys University-Stockton and Modesto Campuses,14580,14292,14004,14004,13212,12456,11277,11160,
101435,Huntingdon College,27400,27400,26400,25800,25050,24550,23500,22500,
150941,Huntington University,26846,26158,25540,25400,24822,24771,24040,23780,
449348,Huntsville Bible College,4560,4560,4560,4415,4320,3720,3720,3225,
161165,Husson University,,,,,,16097,15130,14540,
225575,Huston-Tillotson University,14346,14346,14346,14346,14346,13544,13494,13054,
193405,Icahn School of Medicine at Mount Sinai,,,,,,,,,
127273,Iliff School of Theology,,,,,,,,,
145691,Illinois College,33740,33090,32140,31610,31660,29210,27800,26500,
145628,Illinois College of Optometry,,,,,,,,,
145725,Illinois Institute of Technology,49280,47646,45864,45214,43680,41645,40117,37969,
145646,Illinois Wesleyan University,50028,47636,45856,44142,42490,40844,39316,37954,
213011,Immaculata University,27350,27350,27350,35210,33280,32000,30740,29000,
151290,Indiana Institute of Technology,27440,26900,26370,26370,25600,24860,24860,24370,
151801,Indiana Wesleyan University-Marion,27296,26630,25980,25346,24728,24102,23628,23164,
247922,Ingalls Memorial Hospital Dietetic Internship,,,,,,,,,
145886,Institute for Clinical Social Work,,,,,,,,,
462044,Institute for Doctoral Studies in the Visual Arts,,,,,,,,,
454838,Institute of Taoist Education and Acupuncture,,,,,,,,,
455804,Institute of World Politics,,,,,,,,,
140146,Interdenominational Theological Center,,,,,,,,,
436614,International Baptist College and Seminary,11850,11250,11250,10500,10500,10500,11566,11566,
448691,International Institute for Restorative Practices,,,,,,,,,
443128,International Technological University,,,,,,,,,
191931,Iona College,40172,38812,37682,36584,35324,34030,32770,31540,
153621,Iowa Wesleyan University,25424,24600,24600,23516,27286,26010,25550,24300,
441238,Irell & Manella Graduate School of Biological Sciences at City of Hope,,,,,,,,,
191968,Ithaca College,45274,43978,42884,41776,40658,39532,38400,37000,
134945,Jacksonville University,38140,36670,35260,33930,32620,31370,29900,29100,
225885,Jarvis Christian College,11720,11720,11720,11720,11720,11369,11369,11369,
215099,Jefferson (Philadelphia University + Thomas Jefferson University),,,39280,37950,36670,35230,33690,32064,
192040,Jewish Theological Seminary of America,59112,56778,54684,52660,20340,19380,18460,17470,
107141,John Brown University,27668,26928,26144,25324,24468,23588,22734,21774,
203368,John Carroll University,42910,41340,39990,38490,37180,35800,34480,33180,
116712,John F. Kennedy University,8500,8500,,,,,,,
452133,John Hancock University,,,,,,,,,
462354,John Paul the Great Catholic University,27200,26100,24900,24900,24900,24900,24900,24300,
198747,John Wesley University,,,11230,11230,10570,9850,8890,8890,
162928,Johns Hopkins University,55350,53740,52170,50410,48710,47060,45470,43390,
445708,Johnson & Wales University-Charlotte,33404,32441,31508,30746,29576,28539,27456,26412,
439288,Johnson & Wales University-Denver,33404,32441,31508,30746,29576,28539,27456,26412,
414823,Johnson & Wales University-North Miami,33404,32441,31508,30746,29576,28539,27456,26412,
460349,Johnson & Wales University-Online,13365,13365,13365,14823,,,,,
217235,Johnson & Wales University-Providence,33404,32441,31508,30746,29566,28539,27456,26412,
198756,Johnson C Smith University,18784,18236,18236,18236,18236,18236,18236,18236,
220473,Johnson University,16920,16060,14920,13950,12650,12050,10800,10250,
132879,Johnson University Florida,16710,16060,14920,14270,14270,14270,12470,10472,
135063,Jones College-Jacksonville,,,,7650,7650,7650,7410,7410,
101541,Judson College,18540,18510,17896,17376,16868,16258,15630,15100,
146339,Judson University,29870,29860,29434,28730,28170,27530,27530,27000,
461139,Jung Tao School of Classical Chinese Medicine,,,,,,,,,
213251,Juniata College,47075,45597,43875,42170,40600,38630,37170,35780,
170532,Kalamazoo College,50562,48666,46840,44857,42946,41161,39450,37810,
177746,Kansas City Art Institute,39200,38400,37800,36450,35270,35118,33712,31992,
179812,Kansas City University of Medicine and Biosciences,,,,,,,,,
155414,Kansas Wesleyan University,29820,29500,28980,28000,26600,25200,23800,22600,
440031,Keck Graduate Institute,,,,,,,,,
192165,Kehilath Yakov Rabbinical Seminary,10000,9800,9700,9600,9400,9300,8600,7800,
135081,Keiser University-Ft Lauderdale,21008,20208,19224,18368,17664,16936,16284,15664,
177816,Kenrick Glennon Seminary,,21590,21540,20750,20050,18737,17734,17247,
157100,Kentucky Christian University,20596,19256,19256,18560,17810,16830,17418,16778,
157030,Kentucky Mountain Bible College,9610,9460,7760,7610,7440,7290,7140,6990,
157076,Kentucky Wesleyan College,27200,26160,25070,24050,23120,22230,21200,20365,
203535,Kenyon College,58570,55930,53560,51200,49140,47330,45640,44420,
461847,Keser Torah-Mayan Hatalmud,10150,,,,13400,13400,13400,13400,
203544,Kettering College,13392,12960,12408,11808,10944,10440,10032,9425,
169983,Kettering University,44380,43490,42490,39790,38430,36980,35600,33946,
192192,Keuka College,33048,32044,30946,29451,28917,28235,27465,26505,
213303,Keystone College,26720,26720,26670,25798,24300,21900,21300,20400,
220516,King University,30616,29714,28572,27276,26480,25708,24960,24960,
213321,King's College,38724,37226,35830,34720,33090,31816,30310,29174,
260956,Knowledge Systems Institute,,,,,,,,,
146427,Knox College,48168,46554,44958,43285,41847,40497,38952,36492,
192244,Kol Yaakov Torah Center,,,,,,,,,
171881,Kuyper College,22886,21989,21090,20342,19544,19084,18454,17950,
213358,La Roche University,29464,28564,27720,27000,26250,25500,24778,24058,
213367,La Salle University,31650,30710,29500,41100,41100,39800,38200,36650,
117627,La Sierra University,33570,32778,32130,31590,30471,29895,29103,28314,
165264,Laboure College,37713,36962,36103,35298,34410,33507,32833,30680,
213385,Lafayette College,55752,53630,51600,49635,47760,46385,44670,42980,
140234,LaGrange College,31540,30500,29480,28490,27540,26620,25690,24462,
117168,Laguna College of Art and Design,31600,30700,29800,28950,28100,27300,26500,25000,
203580,Lake Erie College,32322,31422,30862,29960,29162,28354,27368,27368,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
146481,Lake Forest College,48424,47064,45548,44116,42644,41172,39842,38300,
146490,Lake Forest Graduate School of Management,,,,,,,,,
238980,Lakeland University,29880,28870,27760,26560,25050,24090,22950,21242,
146533,Lakeview College of Nursing,,,,,,,,,
213400,Lancaster Bible College,26170,25270,22580,21500,19980,18800,18270,17740,
213446,Lancaster Theological Seminary,,,,,,,,,
247649,Landmark College,59100,56800,54750,52650,51330,50080,49630,49793,
220598,Lane College,11790,11500,10690,10280,9930,9780,9180,8560,
166391,Lasell University,37000,36000,34600,33600,32000,31000,30000,29000,
170675,Lawrence Technological University,35280,33570,32190,31140,30300,30200,28948,27870,
239017,Lawrence University,49122,47475,46101,44844,43740,42657,41226,40023,
192323,Le Moyne College,35230,34625,33905,33030,32250,31340,30460,29460,
220604,Le Moyne-Owen College,11196,11196,11196,10880,10680,10680,10680,10680,
213507,Lebanon Valley College,44910,43650,42180,40550,39030,37470,35700,34470,
220613,Lee University,18770,17690,16730,15770,15000,14280,13750,13370,
198808,Lees-McRae College,26625,25878,25878,25648,25404,24150,24150,23950,
213543,Lehigh University,55240,52930,50740,48320,46230,44890,43520,42220,
198835,Lenoir-Rhyne University,38000,36400,35350,33730,32140,30922,29310,27718,
218265,Lenoir-Rhyne University-Lutheran Theological Southern Seminary,,,,,,,,,
166452,Lesley University,28875,27975,26675,25875,25095,24375,32375,31575,
433217,Lester E Cox Medical Center-School of Medical Technology,,,,,,,,,
226231,LeTourneau University,31270,30210,29320,28480,27900,26910,25740,24540,
209056,Lewis & Clark College,52780,50934,46988,46894,45104,43382,41928,40330,
146612,Lewis University,33430,32450,31250,30050,29040,27830,26780,25770,
146621,Lexington College,,,,,,,24875,24700,
157207,Lexington Theological Seminary,,,,,,,,,
232557,Liberty University,22747,22584,21310,21292,20109,21000,20768,19968,
117520,Life Chiropractic College West,,,,,,,,,
117104,Life Pacific University,16592,15654,14884,14138,13320,12860,12500,13100,
140252,Life University,13101,12696,11715,11220,10860,10500,7947,9057,
218238,Limestone University,26300,25025,25025,23900,23900,23000,22080,21000,
146667,Lincoln Christian University,13590,13200,13020,13020,12900,16050,16050,15300,
146676,Lincoln College,19000,18600,18100,17700,17700,17500,17500,17500,
220631,Lincoln Memorial University,22740,22010,21410,21050,20546,19970,19490,18740,
117557,Lincoln University,11230,11110,10830,10575,10215,10105,10105,10105,
177968,Lindenwood University,18100,17600,16960,16332,16022,15580,15150,14600,
157216,Lindsey Wilson College,25350,24850,24246,23762,23162,22550,22070,21230,
209065,Linfield University-McMinnville Campus,44132,43302,41682,40175,38754,37416,36310,34328,
437325,Linfield University-Online and Continuing Education,,,,,,,,,
437316,Linfield University-School of Nursing,,,,,,,,,
219976,Lipscomb University,33424,32144,30932,29756,28624,27390,26094,24754,
192563,LIU Brentwood,,,,,,,,,
192439,LIU Brooklyn,,,36978,36256,35546,34852,34120,32818,
192554,LIU Hudson at Rockland,,,,,,,,,
432357,LIU Hudson at Westchester,,,,,,,,,
450766,LIU Riverhead,,,,,,,,,
198862,Livingstone College,18296,18296,17763,17764,17244,16825,16024,15408,
177986,Logan University,6650,6800,6860,,,,,,
117636,Loma Linda University,,,,,,,,,
192448,Long Island University,38368,37763,36978,36256,35546,34852,34070,32862,
166489,Longy School of Music of Bard College,44730,42865,40780,38800,36750,35050,33050,31100,
153825,Loras College,35218,34184,32886,31525,30628,29700,28852,28141,
474863,Los Angeles Pacific University,10800,10200,10200,15228,12000,10300,10300,14400,
159568,Louisiana College,17500,17000,16000,15978,15070,14570,14120,13780,
157298,Louisville Presbyterian Theological Seminary,,,,,,,,,
203757,Lourdes University,24650,22480,21540,20620,19370,18353,17655,16950,
117946,Loyola Marymount University,50683,48522,46386,44480,42795,41597,40265,39125,
146719,Loyola University Chicago,45543,44048,43078,42032,40426,37412,35573,34578,
163046,Loyola University Maryland,50100,48920,47560,46430,45200,44090,43250,42430,
159656,Loyola University New Orleans,40842,39942,39492,38754,37830,36630,36860,35182,
226383,Lubbock Christian University,23330,22440,21794,21166,20360,19600,18740,17760,
153834,Luther College,44070,42290,41020,40040,39190,38370,37530,36100,
135364,Luther Rice College & Seminary,8000,7616,7240,6800,6336,6080,5832,5712,
173896,Luther Seminary,,,,,,,,,
146728,Lutheran School of Theology at Chicago,,,,,,,,,
213640,Lutheran Theological Seminary at Philadelphia,,,,,,,,,
213668,Lycoming College,41851,40315,38618,37162,35900,34706,33746,32756,
129686,Lyme Academy College of Fine Arts,,,,,,30456,29616,28536,
132657,Lynn University,38930,38210,37510,36650,35200,35050,33600,32600,
106342,Lyon College,29140,28790,27340,26290,25280,24300,23594,23594,
173902,Macalester College,56292,54344,52464,50639,48887,47195,45388,43693,
192624,Machzikei Hadath Rabbinical College,11500,11500,11300,11200,11050,10400,9600,9100,
146825,MacMurray College,28540,27710,26100,25110,24172,23600,22400,21400,
170806,Madonna University,23100,21900,20700,19500,18740,17390,16340,15300,
182917,Magdalen College,24000,24000,24000,22000,21200,21200,,19000,
153861,Maharishi International University,16530,16530,27530,27530,26530,26430,26430,26430,
161509,Maine College of Art,36424,35050,34050,32922,32290,31670,30990,30110,
203775,Malone University,31800,30860,29900,29422,27960,26416,25678,24536,
151777,Manchester University,33624,32758,31660,30802,29910,29040,27920,26746,
155496,Manhattan Christian College,16850,16260,15418,14986,14290,13642,13642,13258,
192703,Manhattan College,44560,42608,41412,40004,38580,37188,35725,32535,
192712,Manhattan School of Music,49130,47300,44600,44600,42600,37750,36500,35140,
192749,Manhattanville College,39570,38820,37910,36920,36220,36220,35370,35370,
446394,Maple Springs Baptist Bible College and Seminary,5400,5400,,4488,4590,4590,4590,4590,
