UnitID,Institution Name,Full-time adjusted fall 2018 cohort (EF2019D_RV),Full-time adjusted fall 2017 cohort (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),
154688,Baker University,244,256,238,182,224,235,202,199,
420705,Bakke Graduate University,,,,,,,,,
201195,Baldwin Wallace University,677,685,705,766,717,762,712,664,
160968,Bangor Theological Seminary,,,,,,,,,
189015,Bank Street College of Education,,,,,,,,,
176664,Baptist Bible College,36,34,76,87,76,55,51,71,
219639,Baptist Health Sciences University,98,80,65,60,71,88,66,35,
223117,Baptist Missionary Association Theological Seminary,0,0,0,0,0,0,0,4,
366793,Baptist Theological Seminary at Richmond,,,,,,,,,
444398,Baptist University of the Americas,9,11,19,17,19,15,21,34,
155070,Barclay College,31,29,34,37,41,37,40,38,
189088,Bard College,486,469,499,455,560,486,528,486,
167792,Bard College at Simon's Rock,145,168,144,116,116,144,145,115,
189097,Barnard College,602,595,592,626,610,573,594,606,
177719,Barnes-Jewish College Goldfarb School of Nursing,,,,,,,,,
132471,Barry University,638,603,479,431,459,562,622,662,
197911,Barton College,277,198,240,218,185,215,201,235,
235547,Bastyr University,,,,,,,,,
160977,Bates College,543,510,498,516,491,500,502,501,
164632,Bay Path University,132,144,153,178,128,136,155,148,
223223,Baylor College of Medicine,,,,,,,,,
223232,Baylor University,3364,3316,3496,3390,3622,3187,3251,3031,
476717,Be'er Yaakov Talmudic Seminary,148,115,144,151,121,101,99,64,
384254,Beacon College,89,82,66,60,52,41,39,34,
164720,Becker College,286,360,394,376,365,315,334,330,
444413,Beis Medrash Heichal Dovid,38,34,39,43,32,32,48,41,
175421,Belhaven University,204,221,225,269,285,217,220,213,
156286,Bellarmine University,651,680,634,707,665,674,606,595,
180814,Bellevue University,89,35,27,53,75,87,2,6,
238324,Bellin College,41,34,35,28,26,41,24,21,
197984,Belmont Abbey College,392,399,358,308,291,285,300,269,
219709,Belmont University,1561,1564,1568,1387,1392,1243,1254,1153,
238333,Beloit College,266,323,382,392,299,299,311,315,
217721,Benedict College,705,557,602,656,542,554,735,985,
154712,Benedictine College,570,436,508,508,487,494,482,472,
145619,Benedictine University,453,420,552,448,667,621,605,525,
165884,Benjamin Franklin Institute of Technology,1,0,0,0,0,0,0,0,
197993,Bennett College,173,173,115,157,166,194,215,158,
230816,Bennington College,198,219,196,215,192,140,198,212,
164739,Bentley University,1014,1018,1041,913,978,974,976,908,
156295,Berea College,438,432,418,432,416,397,391,418,
461643,Bergin University of Canine Studies,,,,,,,,,
108861,Berkeley School of Theology,,,,,,,,,
164748,Berklee College of Music,1196,1263,1230,1142,788,768,778,800,
139144,Berry College,509,552,534,575,568,672,618,557,
189273,Beth Hamedrash Shaarei Yosher Institute,23,20,11,12,12,18,16,20,
189264,Beth Hatalmud Rabbinical College,,1,1,1,5,9,13,14,
183804,Beth Medrash Govoha,,,,,,,,,
154721,Bethany College,291,279,207,171,188,181,131,149,
237181,Bethany College,174,160,127,218,244,180,264,214,
173142,Bethany Lutheran College,175,136,138,134,141,146,136,162,
143233,Bethany Theological Seminary,,,,,,,,,
154749,Bethel College-North Newton,107,122,101,129,110,123,101,126,
369817,Bethel Seminary of the East,,,,,,,,,
262022,Bethel Seminary-San Diego,,,,,,,,,
173179,Bethel Seminary-St Paul,,,,,,,,,
150145,Bethel University,295,224,236,280,220,245,226,271,
173160,Bethel University,608,581,557,614,602,610,575,640,
219718,Bethel University,408,446,400,476,467,445,630,441,
110060,Bethesda University,28,64,65,59,40,34,28,35,
132602,Bethune-Cookman University,937,1175,1161,899,939,1017,886,885,
139153,Beulah Heights University,3,6,1,35,24,57,27,44,
148724,Bexley Hall Seabury Western Theological Seminary Federation,,,,,,,,,
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,,,,,,,,,
110097,Biola University,857,890,863,827,943,900,914,924,
100937,Birmingham-Southern College,328,349,328,441,352,356,326,278,
442949,Birthingway College of Midwifery,,,,,,,,,
143288,Blackburn College,167,145,169,159,167,115,135,141,
143297,Blessing Rieman College of Nursing and Health Sciences,,,,,,,,,
183822,Bloomfield College,391,404,503,431,432,416,375,383,
175430,Blue Mountain College,127,126,109,56,74,81,70,87,
231554,Bluefield College,208,208,178,149,157,120,136,153,
201371,Bluffton University,174,211,208,217,218,250,239,250,
142090,Boise Bible College,10,17,21,30,42,47,50,61,
233356,Bon Secours Memorial College of Nursing,,,,,,4,3,1,
189413,Boricua College,50,91,112,119,209,211,236,278,
164872,Boston Architectural College,19,26,22,38,24,15,20,29,
164614,Boston Baptist College,7,10,7,10,6,17,19,14,
164924,Boston College,2326,2410,2316,2309,2342,2305,2289,2238,
164915,Boston Graduate School of Psychoanalysis Inc,,,,,,,,,
164988,Boston University,3590,3482,3538,3611,3908,3798,3871,4022,
161004,Bowdoin College,509,501,503,500,501,497,492,483,
143358,Bradley University,1088,1262,1093,924,947,1081,1015,1015,
165015,Brandeis University,894,856,835,801,854,831,803,857,
262086,Brandman University,0,0,3,10,0,0,0,0,
139199,Brenau University,217,254,142,191,196,201,169,178,
156356,Brescia University,229,126,123,148,164,151,163,148,
198066,Brevard College,266,244,230,246,217,242,219,190,
139205,Brewton-Parker College,195,166,152,103,111,147,134,121,
152992,Briar Cliff University,181,158,210,185,206,179,232,237,
231581,Bridgewater College,590,534,600,540,487,536,552,471,
230047,Brigham Young University-Hawaii,384,465,328,395,389,384,318,411,
142522,Brigham Young University-Idaho,2965,3190,2852,2047,1113,1197,1097,1859,
230038,Brigham Young University-Provo,3305,3345,3200,3141,2172,2375,2235,3670,
450304,Brite Divinity School,,,,,,,,,
189501,Brooklyn Law School,,,,,,,,,
217156,Brown University,1651,1636,1674,1613,1559,1542,1536,1507,
180878,Bryan College of Health Sciences,60,47,50,43,50,35,35,30,
219790,Bryan College-Dayton,186,163,188,149,188,187,195,234,
217165,Bryant University,865,892,841,908,825,889,770,814,
210492,Bryn Athyn College of the New Church,66,96,72,84,85,80,54,81,
211273,Bryn Mawr College,390,354,407,385,351,365,365,361,
211291,Bucknell University,973,973,950,938,939,933,915,916,
153001,Buena Vista University,201,203,183,223,200,267,228,203,
230825,Burlington College,,,,,31,32,26,36,
209409,Bushnell University,100,102,81,83,78,82,68,58,
150163,Butler University,1326,1054,1254,1022,969,1014,1101,926,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
198109,Cabarrus College of Health Sciences,0,0,0,0,0,0,0,17,
211352,Cabrini University,441,492,481,392,392,303,382,322,
215114,Cairn University-Langhorne,167,140,144,159,159,137,139,114,
183910,Caldwell University,494,361,400,347,386,330,289,306,
110361,California Baptist University,1567,1374,1117,1076,1061,967,876,775,
110918,California Christian College,1,3,1,0,0,2,3,8,
110370,California College of the Arts,263,235,255,241,273,232,232,232,
110316,California Institute of Integral Studies,,,,,,,,,
110404,California Institute of Technology,230,235,235,240,225,247,264,242,
111081,California Institute of the Arts,214,213,184,193,186,172,180,133,
110413,California Lutheran University,681,585,638,595,556,540,558,502,
460075,California University of Management and Sciences,,,8,4,4,7,7,,
111391,California Western School of Law,,,,,,,,,
150172,Calumet College of Saint Joseph,104,95,101,109,113,149,120,103,
211370,Calvary Baptist Theological Seminary,,,,,,,,,
176789,Calvary University,46,37,23,27,36,37,32,30,
169099,Calvin Theological Seminary,,,,,,,,,
169080,Calvin University,823,887,904,941,949,1006,977,960,
165167,Cambridge College,9,7,6,8,10,28,24,27,
198136,Campbell University,809,774,882,952,871,771,821,867,
156365,Campbellsville University,608,502,537,462,511,514,568,504,
189705,Canisius College,483,553,594,600,613,680,712,810,
201548,Capital University,585,594,611,670,706,690,663,623,
162061,Capitol Technology University,83,60,94,82,52,51,65,67,
238430,Cardinal Stritch University,130,139,164,160,187,195,162,137,
173258,Carleton College,529,522,566,491,519,527,528,518,
211431,Carlow University,247,241,216,219,197,203,210,220,
211440,Carnegie Mellon University,1567,1667,1537,1564,1468,1439,1401,1431,
199971,Carolina Christian College,10,1,1,2,2,2,3,9,
461032,Carolina College of Biblical Studies,2,5,2,3,3,4,4,4,
180106,Carroll College,254,294,338,387,353,315,383,343,
238458,Carroll University,710,717,667,755,758,678,712,813,
219806,Carson-Newman University,479,394,505,497,488,478,453,445,
238476,Carthage College,761,705,722,751,704,714,718,679,
139287,Carver Bible College,,,4,11,17,21,14,15,
201645,Case Western Reserve University,1392,1307,1264,1256,1282,1250,1371,902,
198215,Catawba College,338,332,349,311,344,333,290,301,
218089,Cathedral Bible College,,,,,,,17,8,
143659,Catholic Theological Union at Chicago,,,,,,,,,
189848,Cazenovia College,204,165,199,250,265,345,268,270,
211468,Cedar Crest College,207,213,181,179,170,140,145,117,
201654,Cedarville University,910,870,769,819,786,779,831,851,
158477,Centenary College of Louisiana,169,173,130,157,140,127,158,239,
183974,Centenary University,224,212,237,218,230,206,275,290,
106713,Central Baptist College,125,136,125,107,91,76,52,104,
154837,Central Baptist Theological Seminary,,,,,0,0,0,0,
176938,Central Bible College,,,,,,,,59,
154855,Central Christian College of Kansas,126,160,99,145,163,116,115,108,
176910,Central Christian College of the Bible,36,36,52,42,51,48,47,50,
153108,Central College,278,322,323,317,429,309,320,412,
445267,Central Methodist University-College of Graduate and Extended Studies,2,3,1,3,0,,,,
176947,Central Methodist University-College of Liberal Arts and Sciences,318,275,262,280,331,291,302,281,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,39,36,28,62,85,92,78,86,
156408,Centre College,357,401,400,374,385,377,351,374,
141486,Chaminade University of Honolulu,184,210,256,211,238,263,233,304,
230852,Champlain College,536,586,636,548,619,579,601,488,
111948,Chapman University,1606,1644,1485,1419,1418,1284,1273,1267,
111966,Charles R Drew University of Medicine and Science,27,17,0,0,,4,1,6,
217688,Charleston Southern University,582,624,722,749,652,656,626,694,
444778,Charlotte Christian College and Theological Seminary,0,1,3,3,0,1,4,6,
211556,Chatham University,280,284,194,210,102,92,117,130,
183345,Chester College of New England,,,,,,,,,
211583,Chestnut Hill College,164,206,238,206,186,190,210,239,
144014,Chicago Theological Seminary,,,,,,,,,
198303,Chowan University,414,526,522,551,531,474,514,578,
189981,Christ the King Seminary,,,,,,,,,
219833,Christian Brothers University,393,384,334,311,351,262,252,307,
260947,Christian Life College,,,1,3,3,2,3,3,
150215,Christian Theological Seminary,,,,,,,,,
112127,Church Divinity School of the Pacific,,,,,,,,,
201858,Cincinnati Christian University,,118,197,94,96,103,100,104,
201867,Cincinnati College of Mortuary Science,,,,,,,,,
244233,City College-Fort Lauderdale,0,0,0,0,0,0,0,0,
406547,City College-Gainesville,0,0,0,0,0,0,0,0,
434539,City College-Miami,0,0,0,0,0,0,0,0,
234915,City University of Seattle,,4,0,0,,,5,6,
457697,City Vision University,0,0,0,0,0,0,1,0,
217873,Claflin University,572,519,490,449,389,384,440,408,
112251,Claremont Graduate University,,,,,,,,,
112260,Claremont McKenna College,324,352,321,343,327,337,291,305,
124283,Claremont School of Theology,,,,,,,,,
138947,Clark Atlanta University,918,910,987,828,706,767,624,820,
165334,Clark University,582,615,543,669,547,614,587,544,
153126,Clarke University,196,162,158,180,183,180,155,163,
211024,Clarks Summit University,73,80,80,73,78,85,77,126,
180832,Clarkson College,17,23,26,26,28,32,35,16,
190044,Clarkson University,797,677,797,792,767,757,777,851,
156417,Clear Creek Baptist Bible College,14,3,4,17,10,5,10,14,
133085,Clearwater Christian College,,,,,,125,115,122,
169327,Cleary University,53,80,52,47,55,43,30,5,
202046,Cleveland Institute of Art,175,154,161,168,139,137,138,127,
202073,Cleveland Institute of Music,62,58,59,62,55,60,60,55,
177038,Cleveland University-Kansas City,2,1,2,3,2,0,1,2,
153144,Coe College,393,400,374,377,376,388,363,361,
217907,Coker University,280,206,254,221,229,235,187,206,
161086,Colby College,623,600,540,508,480,483,493,467,
182634,Colby-Sawyer College,235,271,252,267,331,399,508,448,
112446,Coleman University,,,6,27,0,0,0,0,
190080,Colgate Rochester Crozer Divinity School,,,,,,,,,
190099,Colgate University,815,771,766,771,767,759,756,764,
169442,College for Creative Studies,245,237,256,259,232,218,247,216,
439613,College of Biblical Studies,,2,2,7,13,10,10,20,
388520,College of Biblical Studies-Houston,0,0,5,3,10,6,4,1,
413617,College of Menominee Nation,3,1,1,1,7,5,24,15,
193399,College of Mount Saint Vincent,412,447,436,321,518,386,486,438,
167394,College of Our Lady of the Elms,141,173,163,182,187,187,194,198,
174747,College of Saint Benedict,437,519,503,476,542,538,490,525,
181604,College of Saint Mary,119,101,102,77,71,89,91,88,
231077,College of St Joseph,,67,52,34,80,29,22,38,
160959,College of the Atlantic,82,91,79,81,79,103,72,76,
166124,College of the Holy Cross,868,819,764,738,773,719,763,751,
178697,College of the Ozarks,314,367,384,344,254,355,243,279,
174932,College of Visual Arts,,,,,,,,44,
126669,Colorado Christian University,414,381,402,351,380,347,314,289,
126678,Colorado College,544,544,533,583,549,522,510,484,
367839,Colorado Heights University,,,,5,8,32,25,24,
177065,Columbia College,244,263,322,334,362,394,450,536,
217934,Columbia College,160,159,146,185,136,127,187,193,
144281,Columbia College Chicago,1294,1432,1533,1763,1786,2125,2024,2093,
112570,Columbia College Hollywood,89,84,59,73,56,40,44,40,
238573,Columbia College of Nursing,,,,,,,,,
217925,Columbia International University,108,87,78,91,85,101,101,79,
139348,Columbia Theological Seminary,,,,,,,,,
190150,Columbia University in the City of New York,1433,1428,1437,1456,1490,1476,1431,1386,
202170,Columbus College of Art and Design,242,254,240,243,244,234,257,274,
177083,Conception Seminary College,8,14,11,19,16,19,14,14,
190248,Concordia College,147,147,139,138,136,153,162,135,
101073,Concordia College Alabama,,,129,213,47,147,156,151,
173300,Concordia College at Moorhead,597,568,545,520,540,684,632,721,
177092,Concordia Seminary,,,,,,,,,
150288,Concordia Theological Seminary,,,,,,,,,
224004,Concordia University Texas,213,274,270,254,228,180,244,269,
169363,Concordia University-Ann Arbor,224,190,194,145,156,184,152,168,
144351,Concordia University-Chicago,385,327,349,294,300,376,318,343,
112075,Concordia University-Irvine,319,328,406,334,352,373,300,294,
180984,Concordia University-Nebraska,356,348,322,347,326,281,296,315,
208488,Concordia University-Portland,244,217,228,187,194,217,246,210,
173328,Concordia University-Saint Paul,244,245,244,229,239,281,180,197,
238616,Concordia University-Wisconsin,560,557,471,613,639,580,603,560,
128902,Connecticut College,508,444,472,478,498,489,503,508,
217961,Converse College,208,269,238,212,228,231,181,192,
165495,Conway School of Landscape Design,,,,,,,,,
184153,Cooper Health System Center for Allied Health Education,,,,,,,,,
190372,Cooper Union for the Advancement of Science and Art,216,189,218,228,218,173,181,210,
210331,Corban University,206,195,237,274,220,222,218,275,
131308,Corcoran College of Art and Design,,,,,,,41,36,
153162,Cornell College,296,300,287,276,262,270,301,338,
190415,Cornell University,3295,3348,3310,3176,3225,3221,3217,3306,
170037,Cornerstone University,285,276,272,293,299,347,335,343,
235024,Cornish College of the Arts,141,177,172,179,162,166,155,213,
177117,Cottey College,96,86,94,153,124,124,127,168,
139393,Covenant College,249,263,265,258,265,295,268,286,
177126,Covenant Theological Seminary,,,,,,,,,
176770,Cox College,1,1,5,5,5,7,55,58,
169424,Cranbrook Academy of Art,,,,,,,,,
181002,Creighton University,1155,1117,1032,1065,1025,962,943,974,
475608,Criswell College,8,15,12,7,15,14,31,25,
174206,Crossroads College,,,,,20,11,21,12,
106810,Crowley's Ridge College,31,22,57,53,46,44,62,77,
174862,Crown College,152,129,151,150,139,198,171,157,
190503,Culinary Institute of America,208,104,0,0,0,0,0,0,
177144,Culver-Stockton College,288,305,267,261,290,220,216,197,
219949,Cumberland University,187,209,215,200,178,212,212,191,
165529,Curry College,575,601,676,600,648,640,584,604,
211893,Curtis Institute of Music,15,9,10,20,26,29,28,23,
190716,D'Youville College,243,276,239,232,292,251,273,269,
190725,Daemen College,338,387,392,384,419,409,438,435,
219091,Dakota Wesleyan University,170,178,170,176,140,167,198,163,
224226,Dallas Baptist University,532,537,519,496,492,488,489,439,
224244,Dallas Christian College,49,46,30,57,50,43,48,30,
224305,Dallas Theological Seminary,,,,,,,,,
190734,Darkei Noam Rabbinical College,,,,,,,,,
182670,Dartmouth College,1167,1215,1116,1112,1152,1112,1095,1112,
169479,Davenport University,423,393,394,426,314,279,265,236,
198385,Davidson College,515,519,513,510,502,482,490,488,
237358,Davis & Elkins College,157,182,181,169,212,217,214,231,
194569,Davis College,16,12,27,22,34,24,31,27,
165574,Dean College,358,315,257,182,186,155,154,167,
202514,Defiance College,157,150,136,182,233,240,236,293,
211981,Delaware Valley University,443,411,451,471,489,416,464,424,
113537,Dell'Arte International School of Physical Theatre,0,0,0,,0,0,0,1,
202523,Denison University,654,617,637,629,609,582,629,606,
126979,Denver Seminary,,,,,,,,,
144740,DePaul University,2568,2538,2451,2517,2540,2422,2589,2454,
150400,DePauw University,564,595,559,596,514,641,578,584,
154156,Des Moines University-Osteopathic Medical Center,,,,,,,,,
210739,DeSales University,500,421,500,429,406,417,389,445,
212009,Dickinson College,633,603,610,729,619,626,601,652,
158802,Dillard University,372,337,358,296,325,224,343,351,
445869,Divine Mercy University,,,,,,,,,
153241,Divine Word College,1,1,1,1,9,11,11,14,
181020,Doane University,259,299,303,330,268,287,337,291,
448284,Doane University-Graduate and Professional Studies,,1,1,1,1,0,0,,
190761,Dominican College of Blauvelt,299,229,253,363,289,286,293,352,
113704,Dominican School of Philosophy & Theology,,,,,,,,,
148496,Dominican University,447,441,495,483,473,497,405,414,
113698,Dominican University of California,286,241,268,256,261,305,265,279,
122117,Dongguk University Los Angeles,,,,,,,,,
155007,Donnelly College,48,50,82,62,147,105,48,109,
153250,Dordt University,365,397,387,362,336,378,342,368,
190770,Dowling College,,,,,182,235,374,344,
153269,Drake University,748,758,765,801,869,850,848,812,
184348,Drew University,420,371,350,356,302,399,362,454,
212054,Drexel University,3353,3268,2322,2717,2920,3009,3016,3036,
177214,Drury University,377,361,425,341,400,433,482,489,
198419,Duke University,1731,1744,1723,1746,1721,1730,1714,1722,
175227,Dunwoody College of Technology,10,8,11,2,2,1,2,6,
212106,Duquesne University,1370,1415,1373,1258,1162,1353,1307,1161,
150455,Earlham College,271,287,355,252,270,253,286,234,
224527,East Texas Baptist University,400,419,346,340,363,340,350,329,
144883,East-West University,74,105,181,152,93,171,188,171,
232043,Eastern Mennonite University,200,189,222,254,240,232,217,234,
165644,Eastern Nazarene College,140,153,166,112,168,165,169,161,
212133,Eastern University,329,305,343,314,330,360,366,395,
446233,Ecclesia College,35,54,60,66,37,56,36,8,
133492,Eckerd College,580,558,573,484,511,451,530,503,
247162,Ecumenical Theological Seminary,,,,,,,,,
177278,Eden Theological Seminary,,,,,,,,,
238661,Edgewood College,255,281,263,298,289,298,340,294,
442806,Edward Via College of Osteopathic Medicine,,,,,,,,,
133526,Edward Waters College,298,249,206,246,222,195,222,180,
212197,Elizabethtown College,386,410,442,504,447,530,502,511,
480134,Elizabethtown College School of Continuing and Professional Studies,,,,,,,,,
144962,Elmhurst University,530,497,477,478,510,506,560,608,
190983,Elmira College,206,204,207,255,329,319,356,329,
198516,Elon University,1698,1573,1553,1524,1496,1474,1424,1417,
133553,Embry-Riddle Aeronautical University-Daytona Beach,1405,1338,1240,1260,1182,924,928,1036,
104586,Embry-Riddle Aeronautical University-Prescott,609,678,599,579,499,443,372,349,
426314,Embry-Riddle Aeronautical University-Worldwide,65,61,54,65,64,68,47,51,
165662,Emerson College,922,931,878,906,857,862,866,911,
220136,Emmanuel Christian Seminary,,,,,,,,,
139630,Emmanuel College,246,263,238,232,193,167,192,186,
165671,Emmanuel College,594,474,596,555,524,515,553,550,
153302,Emmaus Bible College,47,60,65,40,53,27,32,54,
232025,Emory & Henry College,268,253,284,303,284,264,244,271,
139658,Emory University,1421,1378,1350,1354,1354,1348,1352,1326,
165699,Endicott College,753,757,713,784,739,629,642,638,
124487,Epic Bible College,1,1,1,2,2,9,7,7,
165705,Episcopal Divinity School,,,,,,,,,
224712,Episcopal Theological Seminary of the Southwest,,,,,,,,,
409254,Erikson Institute,,,,,,,,,
217998,Erskine College,166,178,207,217,187,207,137,163,
144971,Eureka College,138,106,153,163,168,138,156,159,
177339,Evangel University,372,400,387,362,329,458,381,409,
176619,Evangel University - Assemblies of God Theological Seminary,,,,,,,,,
212443,Evangelical Theological Seminary,,,,,,,,,
385619,Everglades University,587,634,656,610,52,53,53,59,
196680,Excelsior College,,,,,,,,,
129242,Fairfield University,1089,993,1056,965,1055,963,990,909,
184694,Fairleigh Dickinson University-Florham Campus,671,805,581,692,698,506,577,584,
184603,Fairleigh Dickinson University-Metropolitan Campus,457,561,370,404,461,429,515,456,
153320,Faith Baptist Bible College and Theological Seminary,48,50,46,71,55,36,47,56,
443049,Faith International University,2,6,16,7,9,10,10,11,
443058,Family of Faith Christian University,0,3,3,2,1,2,0,3,
101189,Faulkner University,254,311,295,279,381,287,346,310,
184612,Felician University,288,308,316,296,270,151,228,341,
232089,Ferrum College,416,359,451,422,499,554,550,574,
114549,Fielding Graduate University,,,,,,,,,
172440,Finlandia University,78,72,152,133,73,75,87,141,
165802,Fisher College,141,130,112,118,118,109,134,105,
220181,Fisk University,274,132,123,208,221,230,221,110,
114585,Five Branches University,,,,,,,,,
