UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
413617,College of Menominee Nation,3916942,3699952,3422298,3080165,2993635,4078296,4122005,,
193399,College of Mount Saint Vincent,26684969,24516412,21950437,17395110,17181154,13581080,9941429,8639273,
167394,College of Our Lady of the Elms,11897034,12198796,8823823,8208215,8049948,7877993,7685174,7556761,
174747,College of Saint Benedict,83506118,78104901,72144466,60290451,57787721,57320826,49499619,43210239,
181604,College of Saint Mary,21505628,19771087,18080468,14817036,14483882,10676353,9164097,7893856,
231077,College of St Joseph,,,1640709,2596624,3083698,5719922,5198044,4492339,
160959,College of the Atlantic,61102324,57377426,55284304,50031343,50114731,49245282,38242322,34071876,
166124,College of the Holy Cross,785852380,783207500,748948135,679422476,721671407,726231559,634912206,589769388,
178697,College of the Ozarks,476624241,509082719,459301807,416231977,442272293,427271668,376037959,298049293,
174932,College of Visual Arts,,,,,,,,85078,
126669,Colorado Christian University,4925152,4669619,4459097,3958741,4097316,4086210,3387516,2992864,
126678,Colorado College,766909737,765230265,743175057,656427730,687387738,,656657846,507012998,
367839,Colorado Heights University,,,,,,,,,
177065,Columbia College,168868650,171661316,163322911,149057890,151816014,119331420,108418056,93482275,
217934,Columbia College,20134109,18991481,17490293,17400352,19417021,22812077,22885111,21110677,
144281,Columbia College Chicago,190972645,196912601,173049139,141980157,131641189,142621916,127320098,112333798,
112570,Columbia College Hollywood,,,,,,,,,
238573,Columbia College of Nursing,,,,,,,,,
217925,Columbia International University,4685214,4645534,4629156,4605501,4590980,4508717,4498124,4487178,
139348,Columbia Theological Seminary,224955556,222489499,208177185,191784885,201679333,207822446,177405842,165882559,
190150,Columbia University in the City of New York,10950738000,10869245000,9996596000,9041027000,9639065000,9223047000,8197880000,7654152000,
202170,Columbus College of Art and Design,13755969,14888270,13363643,11994135,11733275,11477090,9342619,8252733,
177083,Conception Seminary College,5711967,5318261,5277378,4445703,4572825,4821899,4286637,3867467,
190248,Concordia College,13291392,12661592,11536847,9567945,8941376,8889955,8759151,8529172,
101073,Concordia College Alabama,,,53210,1046779,1494048,,,3349470,
173300,Concordia College at Moorhead,135928430,128984714,118793941,107211380,110992267,101650896,92334663,83017943,
177092,Concordia Seminary,160248961,150615318,134605394,116283462,109791709,106003334,89730602,74450221,
150288,Concordia Theological Seminary,62739663,58767786,51662164,45541616,46122869,41872126,36511785,33310928,
224004,Concordia University Texas,24742871,21779955,20709467,19082156,19909120,20285126,17613051,18567993,
169363,Concordia University-Ann Arbor,,12758742,11558864,6872716,6986644,7093897,8269698,8219714,
144351,Concordia University-Chicago,24705467,23697259,22656203,20753560,21254284,22146857,18962500,16744049,
112075,Concordia University-Irvine,23586814,22879200,20720311,19775589,19603873,17642781,12223641,11548627,
180984,Concordia University-Nebraska,54034479,51938466,51086658,44678605,44962737,44461427,40166071,36802910,
208488,Concordia University-Portland,8759898,8257540,8129748,7851626,7772178,7642173,7349745,7254480,
173328,Concordia University-Saint Paul,34916105,32733852,30850970,28570754,28549030,28373350,25330245,23393383,
238616,Concordia University-Wisconsin,92320906,76371314,69943975,57708556,60749967,57642649,51042770,48095303,
128902,Connecticut College,324450000,315189000,299116000,273576000,283941000,277965000,237035000,211151000,
217961,Converse College,82411866,81159977,79924621,82272568,80983209,80222726,78236360,76896319,
165495,Conway School of Landscape Design,,,,,,,,,
184153,Cooper Health System Center for Allied Health Education,,,,,,,,,
190372,Cooper Union for the Advancement of Science and Art,857878657,826315440,798919435,777133930,738487768,717628100,668545746,640535544,
210331,Corban University,427909,906892,2664988,3139613,3112748,2416859,2068390,1850168,
131308,Corcoran College of Art and Design,,,,,,13215204,14071478,13179669,
153162,Cornell College,76288112,77722340,74501908,70926134,74517007,73773269,66999430,63666636,
190415,Cornell University,6974636536,6871480635,6516444986,4524419293,4760560410,4646133725,4133841635,3850425867,
170037,Cornerstone University,10434362,10556691,9495546,8431622,7431739,7293709,7207167,6386838,
235024,Cornish College of the Arts,8868122,9136063,8669718,7934790,8137047,7553695,6775817,5922593,
177117,Cottey College,110198677,111273341,108998553,101887846,107583146,,87438064,81988020,
139393,Covenant College,42680820,42048006,39286339,34135905,35879650,30808220,26576823,24141874,
177126,Covenant Theological Seminary,28397425,28134212,25549291,23684147,24857172,25067659,22720548,21519372,
176770,Cox College,4929484,4946152,4894380,4890367,4876435,5914342,5856299,5903318,
169424,Cranbrook Academy of Art,47742436,48185391,43303891,41685394,45468191,45437681,41646274,39540579,
181002,Creighton University,587024000,568813000,525582000,448457000,449443000,439784000,336228000,299864000,
475608,Criswell College,23437082,24716953,15014098,14054063,13082492,12304368,10683459,9768359,
174206,Crossroads College,,,,,167503,166678,165478,934902,
106810,Crowley's Ridge College,1464096,1466803,1358539,1342448,1324491,1315915,1303145,1282325,
174862,Crown College,9096793,8757435,8251066,7407011,7667075,7893706,6926275,6565026,
190503,Culinary Institute of America,138224131,136282004,128542675,109620129,131235637,127511912,115130491,100155107,
177144,Culver-Stockton College,29466766,28564728,25201241,20146026,21769961,22760864,20980885,19657237,
219949,Cumberland University,12366318,11965423,11535298,11012696,11401995,11527400,10499607,9352255,
165529,Curry College,98588024,100165348,103174746,95876423,96643252,90423929,80045016,63662514,
211893,Curtis Institute of Music,171072319,169660258,150009611,132048873,128727907,122669065,108797008,90928866,
190716,D'Youville College,49592297,51546506,43308584,38408796,41042161,38649098,34664458,29176768,
190725,Daemen College,21216400,16119512,14433550,12479822,12300284,10022595,8613555,7160726,
219091,Dakota Wesleyan University,30021946,31316242,28493450,26372351,27188191,25566021,23414162,20741260,
224226,Dallas Baptist University,51554119,51425956,47235277,41675236,41836028,40073838,36440026,31637973,
224244,Dallas Christian College,331659,313611,295901,274389,273868,279968,169907,169907,
224305,Dallas Theological Seminary,48342236,46752899,43035415,40112359,38810275,36744465,31573447,26575593,
190734,Darkei Noam Rabbinical College,,,,,,,,,
182670,Dartmouth College,5731322087,5494203052,4956494167,4474403648,4663491080,4468219698,3733596412,3486383419,
169479,Davenport University,25978476,25426504,23565413,20611525,20475737,20627184,17889184,16130395,
198385,Davidson College,881465075,814534883,727473298,660976928,681560020,647919787,566028827,509662495,
237358,Davis & Elkins College,45594930,43703172,40984151,37007298,36252632,32704936,28287654,27525856,
194569,Davis College,1818612,1816445,1802491,1693685,1791819,1843988,1703929,1581810,
165574,Dean College,46630654,45255564,42070374,37462766,39728855,38472462,31689845,27825052,
202514,Defiance College,15911461,16166013,15169488,14137166,14862708,14731517,13117337,12070558,
211981,Delaware Valley University,34596345,33578157,32393869,29426730,30634431,32764423,30679243,31770724,
113537,Dell'Arte International School of Physical Theatre,,,,,,,,,
202523,Denison University,887897630,850415849,797248887,723802898,812299603,799108339,691739982,644200581,
126979,Denver Seminary,15155145,14593020,15201516,14026291,13659454,11398366,8806281,7561529,
144740,DePaul University,696452000,593407000,492400000,420057000,438194000,447196000,384740000,349235000,
150400,DePauw University,730340878,730849941,669139147,614568390,643786629,627746247,549015343,483046622,
154156,Des Moines University-Osteopathic Medical Center,146816329,139570446,131612307,119227575,121536772,118987636,105084331,93217102,
210739,DeSales University,91840777,87843074,80096104,69277908,69220981,66731840,55213865,48093768,
212009,Dickinson College,455442348,437527413,412810071,381020196,415078785,396265465,356738667,325683702,
158802,Dillard University,94187254,96936542,87160334,81871091,78643997,72007310,58371841,48853683,
445869,Divine Mercy University,138115,132502,129720,129955,129955,129955,129696,104955,
153241,Divine Word College,30601764,28910864,27325677,25578794,24706897,24610656,22280896,21277983,
181020,Doane University,114593213,112858549,111740812,107901178,112933697,116006451,104259540,90991950,
448284,Doane University-Graduate and Professional Studies,,,,,,,,,
190761,Dominican College of Blauvelt,6578259,5549764,4532819,4514705,1390170,1256479,1232848,1121922,
113704,Dominican School of Philosophy & Theology,7138667,1861307,1568106,1122855,1158822,1183795,1082391,1086023,
148496,Dominican University,38111786,35577238,33028471,31317870,29885513,28692487,23872401,21213285,
113698,Dominican University of California,34649290,36247440,36109218,33382166,35232559,34786972,27259987,24650130,
122117,Dongguk University Los Angeles,,,,,,,,,
155007,Donnelly College,6633974,6393438,7914740,8220110,7798156,7998941,6534562,6611122,
153250,Dordt University,48061109,44133818,40990427,35397974,35671466,34590202,29467807,25858285,
190770,Dowling College,,,,,2295235,2292291,2149087,2003260,
153269,Drake University,226154906,219494332,210592820,192173283,196490294,186283378,168619244,149284407,
184348,Drew University,94764000,91632000,108728000,130888000,166693000,186946000,182710000,169130000,
212054,Drexel University,813685000,779762000,707650000,650252000,668386000,660150000,586938000,555381000,
177214,Drury University,96048427,97040489,89838763,88842180,86604221,79326808,69602233,63283082,
198419,Duke University,8609004000,8524846000,7911175000,6839780000,7296545000,7036776000,6040973000,5555196000,
175227,Dunwoody College of Technology,23311212,22614773,22264353,20447483,21638847,21555419,19947776,21590740,
212106,Duquesne University,488351000,370371000,307895000,280034000,296807000,260632000,203875000,177211000,
150455,Earlham College,418844928,429201775,425494674,384132175,405520255,404998859,353212572,326508592,
224527,East Texas Baptist University,69726510,73227442,71636114,66615261,73210177,71841941,65572922,58782111,
144883,East-West University,,,,,,,,,
232043,Eastern Mennonite University,33077034,31815672,27530215,24617181,25097544,24228200,21091936,19495360,
165644,Eastern Nazarene College,19545720,19548765,18046749,16965848,16206256,14839010,13917584,13354008,
212133,Eastern University,30450336,30671842,29034682,26500329,28863478,29002421,24719267,21779784,
446233,Ecclesia College,,13519,13504,13502,13503,13502,11502,4000,
133492,Eckerd College,60578968,58313106,55878164,51282054,55738899,54489078,49093600,45268125,
247162,Ecumenical Theological Seminary,,,,,,12875,211906,1910,
177278,Eden Theological Seminary,18430167,19643003,18911360,17976983,18899788,18722741,18524075,18261039,
238661,Edgewood College,55400052,57005562,51712046,45550004,43848482,41409665,36803841,30873486,
442806,Edward Via College of Osteopathic Medicine,21453524,18559491,15509795,,,,,,
133526,Edward Waters College,1681684,1681649,1680649,1680649,1680649,1660594,1660594,1660594,
212197,Elizabethtown College,83894417,80710351,76065139,69681864,69815043,67653893,61033859,54756286,
480134,Elizabethtown College School of Continuing and Professional Studies,,,,,,,,,
144962,Elmhurst University,112339160,109076598,101462649,85981470,91824806,96956552,89509759,85171845,
190983,Elmira College,41099256,41129256,41362910,37962109,41246396,43030375,37607626,33543719,
198516,Elon University,269948667,255975435,230380583,202871909,215379885,189323743,159009240,132001420,
133553,Embry-Riddle Aeronautical University-Daytona Beach,111094000,90359654,86047230,74021000,64278302,60436939,91686222,80941782,
104586,Embry-Riddle Aeronautical University-Prescott,48760000,40585714,37359164,30186000,26213004,24646477,,,
426314,Embry-Riddle Aeronautical University-Worldwide,1551000,3553386,1193359,3100000,2691979,2531102,,,
165662,Emerson College,180509011,171634132,161080021,144195185,149219896,146174009,127945924,117064905,
220136,Emmanuel Christian Seminary,,,,,,3095893,4784465,4532672,
165671,Emmanuel College,151724650,137309933,136562851,125652312,97348222,96495556,72774482,64684513,
139630,Emmanuel College,1576343,1460345,1405001,594464,16030,1,3563574,3246157,
153302,Emmaus Bible College,1040226,1070017,1043892,1069485,1040985,1035585,1030085,1358404,
232025,Emory & Henry College,90708134,89616800,88786994,81810813,91843469,96614350,86822987,80278425,
139658,Emory University,8626248037,7985467382,7613022036,6902625000,6787163000,6981307921,6115581644,5774499577,
165699,Endicott College,95672750,88721853,79002338,67161904,64555615,62288454,51511542,44884187,
124487,Epic Bible College,,,,,,,,,
165705,Episcopal Divinity School,,,,57077537,65769129,69942807,66465995,64493096,
224712,Episcopal Theological Seminary of the Southwest,35330039,36783922,35179107,36917187,36223533,34966878,26542496,22164253,
409254,Erikson Institute,43150069,47069140,45598655,39204944,43965581,44408582,42960871,38472172,
217998,Erskine College,43443908,39888474,38602664,35311874,37882833,39841555,38994185,39628453,
144971,Eureka College,22353106,22683523,20299082,19966439,18891849,16647608,16035758,14176178,
177339,Evangel University,20268457,19392589,17930224,14602328,14161770,13510298,9371095,9915333,
176619,Evangel University - Assemblies of God Theological Seminary,,,,2497474,2452890,2317147,2152710,2037034,
212443,Evangelical Theological Seminary,2550572,2593537,2466871,2304910,2425547,,1994221,2033507,
385619,Everglades University,,,,,,,,,
196680,Excelsior College,2019476,1932504,1805902,1442184,1276269,1097376,822554,619480,
129242,Fairfield University,339671000,331859000,349348000,310278000,317035000,313092000,271638000,245284000,
184694,Fairleigh Dickinson University-Florham Campus,,,,,,,,,
184603,Fairleigh Dickinson University-Metropolitan Campus,91625000,87713000,83299964,72098931,65689624,56586372,44303791,34904073,
153320,Faith Baptist Bible College and Theological Seminary,4475836,4340820,4144966,4129432,4082252,4052895,4040461,3982963,
443049,Faith International University,,,,,,,,,
443058,Family of Faith Christian University,,,,,,,,,
101189,Faulkner University,18492390,18900744,18466329,17308614,18222279,19111352,18015943,19790895,
184612,Felician University,6958710,6956129,6520945,6200336,5914303,4847623,4832428,4763653,
232089,Ferrum College,53758102,52977771,51192714,45587783,48618294,49199012,43292408,39512262,
114549,Fielding Graduate University,6657306,6258729,5705989,4810797,4853259,4810300,4196194,2810886,
172440,Finlandia University,5704166,7958061,4946914,4789324,4874990,4890610,4248107,4160249,
165802,Fisher College,,,,,,16529200,,,
220181,Fisk University,25530213,23264506,20062281,18977117,18577263,17927239,17535865,11232825,
114585,Five Branches University,,,,,,,,,
133711,Flagler College,69919268,68693060,57063118,59386131,62030446,62494626,57225971,53456075,
444990,Flagler College-Tallahassee,,,,,,,,,
133809,Florida College,11724101,12101341,11694765,11814035,12449620,10803969,10173688,9381580,
133881,Florida Institute of Technology,89708504,79818147,70778448,62088227,66598460,61122532,54539692,48845386,
480569,Florida Institute of Technology-Online,,,,,,,,,
133979,Florida Memorial University,3998843,3735502,5925333,5115677,8405201,8354380,9276148,10182613,
134079,Florida Southern College,94802803,94687679,77818590,71722523,79212366,82380831,80546773,76031050,
177418,Fontbonne University,15210260,14669491,17220596,17609122,19210434,18889296,20343731,21760716,
191241,Fordham University,733516000,729179000,691077000,614871000,665532000,675054000,592538000,491585000,
177427,Forest Institute of Professional Psychology,,,,,,,,,
160074,Franciscan Missionaries of Our Lady University,11666385,12456712,12027510,10901118,10948331,10836139,9610929,8765894,
114734,Franciscan School of Theology,5211972,5208424,5179661,5168861,5009093,4901221,5728724,5467577,
205957,Franciscan University of Steubenville,63747212,61438797,57210205,54495662,55126646,52409417,46275611,39485781,
212577,Franklin and Marshall College,387957207,386590960,367933000,328340000,334620000,339204000,306219000,285108000,
150604,Franklin College,87386625,87618795,84607136,80617215,84715894,87613381,82249777,79998869,
182795,Franklin Pierce University,14553926,13146316,10119586,7210410,5019608,4785478,5546139,4209371,
202806,Franklin University,7233000,6785000,6381000,5680000,5497000,5349000,5345000,4597000,
441982,Franklin W Olin College of Engineering,383956000,384059000,376279000,352460000,379431000,380328000,349371000,338212000,
220215,Freed-Hardeman University,58837446,57859525,51976004,47013652,51511939,44396114,42919783,34577309,
114813,Fresno Pacific University,16932104,16110908,13759955,12506327,13343413,12779152,11445801,11281067,
155089,Friends University,53347240,51829699,49080840,43164851,45780000,48233000,44688000,40294000,
156727,Frontier Nursing University,23055038,22755097,21259378,19700934,19771961,18477342,4213396,3318582,
114840,Fuller Theological Seminary,169573000,185985000,191132000,192372000,200851000,210081000,174842000,171432000,
218070,Furman University,694271736,702854866,661046233,609730540,631397402,650034650,592996843,550265503,
131450,Gallaudet University,185974727,183167962,179111738,170539440,172688350,193140437,182248197,159505519,
212601,Gannon University,65365000,63421000,60226000,56566000,58151000,56142000,47281000,41278000,
198561,Gardner-Webb University,70518164,65927130,64397685,61454226,61349802,62987273,55579130,51104072,
145275,Garrett-Evangelical Theological Seminary,101450430,97309787,92321904,87900980,92139304,94719432,70184112,69286784,
456542,Geisinger Commonwealth School of Medicine,2514512,2285573,1957075,1386406,1184831,760012,720000,710125,
212656,Geneva College,43264240,42067457,36976463,36936073,39260559,38063014,35192570,31944786,
208822,George Fox University,24893166,23639880,22821150,20442093,20894426,21568324,18709173,18037725,
131469,George Washington University,1778559000,1798810000,1729147000,1570278000,1616357000,1576508000,1375202000,1305892000,
156745,Georgetown College,40849557,41704433,39606258,37209631,38467586,42378409,42489656,41069306,
131496,Georgetown University,1822484000,1769557000,1661745000,1483502000,1528869000,1461276000,1286322000,1140486000,
461236,Georgia Central University,,,,,,,,,
184773,Georgian Court University,54858481,54635332,52523478,48966468,51731037,51287913,46117357,42954198,
458511,Gerstner Sloan-Kettering Graduate School of Biomedical Sciences,,,,,,,,8590608,
212674,Gettysburg College,324181464,331220428,313816062,282922994,295910848,289299515,261569952,231450602,
230889,Goddard College,1456508,1324514,1250186,1081315,1176905,1129594,1013850,922139,
202903,Gods Bible School and College,,,,,,,,,
115083,Golden Gate University-San Francisco,47681987,49557014,46881452,50861702,62847060,70876119,65787439,62264545,
130989,Goldey-Beacom College,158756327,150447090,132294581,110173175,97006383,85408029,59519864,53917942,
235316,Gonzaga University,299721000,286850000,272116000,210670000,216572000,202671000,161586000,142469840,
202912,Good Samaritan College of Nursing and Health Science,4719836,4060655,3860306,3696871,3504732,2799813,2651289,2489745,
129154,Goodwin University,11261000,10661000,9971000,9104000,8707000,8676876,7911131,5313619,
165936,Gordon College,73914132,56810323,49942959,44166187,44316144,44008437,37938929,25739169,
165945,Gordon-Conwell Theological Seminary,61224684,57431957,57012691,53786362,54082574,55015226,50688689,45485091,
150668,Goshen College,113642851,112179098,107351416,100964742,110475554,117507429,102259585,94010655,
162654,Goucher College,203430000,214921000,209577000,201482000,216707000,227559000,197497000,183717000,
170000,Grace Christian University,,,,,,,695318,695318,
150677,Grace College and Theological Seminary,18780600,18764752,17366191,12326760,11495508,10774418,9157752,9107479,
461528,Grace College of Divinity,28100,28100,28100,28100,,,,,
181093,Grace University,,,1959264,1957263,1957264,1955169,1921631,1918065,
153366,Graceland University-Lamoni,51342454,53339822,50948526,47383025,45933335,47398116,48703142,40934013,
115214,Graduate Theological Union,51474835,51292528,44418769,38726610,33255946,33458151,29351307,26842766,
153375,Grand View University,25734104,25022116,22563514,19836830,19588211,20286921,17715497,16434208,
212771,Gratz College,5266234,5347641,5206923,5139941,4180471,3209310,3427106,3188262,
170091,Great Lakes Christian College,1036999,1031784,591742,583918,538720,532748,514831,481041,
230898,Green Mountain College,,2918419,3086201,3679927,3568130,3879186,3286409,,
198598,Greensboro College,25471053,23905620,22863395,20933937,20461845,20502393,18716950,18136277,
145372,Greenville University,21159996,20196340,19392172,16499214,16865645,16614468,15124892,13789774,
153384,Grinnell College,2069953000,1991605000,1871046000,1648783000,1787775000,1829521000,1553629000,1383856000,
212805,Grove City College,140860752,128200650,112774893,103492971,109623107,111608326,100367983,92286762,
198613,Guilford College,83388348,86730608,79291744,78829236,81740115,83712385,76293164,69752991,
173647,Gustavus Adolphus College,194410969,183693425,166790145,140713734,141800724,134957563,121520751,108252323,
212832,Gwynedd Mercy University,29726000,38398000,34244000,29330000,23267000,20981000,17850000,15556000,
191515,Hamilton College,1017291000,1012841000,954714000,861749000,919578000,927520000,773828000,693919000,
173665,Hamline University,95710215,98112697,88250751,80598769,93035603,92230815,81424411,74058462,
232256,Hampden-Sydney College,177826924,170668251,158475911,145387685,154642827,150901016,134228145,128987891,
166018,Hampshire College,57093671,58355650,53457479,46680067,46106969,46363182,39682555,35739555,
232265,Hampton University,282542989,285344772,279093045,253813936,263237078,288401619,256561762,232550762,
177542,Hannibal-LaGrange University,8516273,8257247,8112739,6590961,6571097,6553744,6383308,6045087,
150756,Hanover College,146078010,143606741,142055184,136170828,149372264,151105668,136789516,127857913,
225247,Hardin-Simmons University,212433255,176218609,161410915,146151620,165247590,160716509,140628695,120425708,
107044,Harding University,152714178,142705175,128722899,119174305,118044187,117046106,105172399,99287179,
446640,Harrisburg University of Science and Technology,1010544,,,,,,,,
129491,Hartford Seminary,47927773,47347666,46294654,42277329,43947561,46748419,41353296,37453247,
191533,Hartwick College,76792235,77304468,74348341,67497416,70588637,70808142,62867777,57773530,
166027,Harvard University,40929700000,39233736000,37096474000,35665743000,37615545000,36429256000,32689489000,30745534000,
115409,Harvey Mudd College,328567827,316815347,298858771,272635872,288995887,283696431,241583964,225508933,
181127,Hastings College,101297743,100284262,98159961,86835363,85104157,87180291,76792108,66194922,
212911,Haverford College,526881390,518884972,502942006,464632124,485556467,490699895,434233554,387446074,
449579,Hawaii College of Oriental Medicine,,,,,,,,,
141644,Hawaii Pacific University,41911674,44644947,44369249,55775010,61746456,68448968,64615436,60958253,
173683,Hazelden Betty Ford Graduate School of Addiction Studies,28226825,31875127,30240999,32557869,,,,,
166045,Hebrew College,2695318,2372029,2323057,2260295,2225303,2273441,2182184,,
145497,Hebrew Theological College,879395,862700,942438,824151,884687,886245,939134,965018,
203067,Hebrew Union College-Jewish Institute of Religion,225658033,213225481,215520250,198392449,205478197,200754299,172154354,157567264,
203085,Heidelberg University,51987303,52245539,48936849,44837827,45764724,43211991,33845235,30106003,
191597,Helene Fuld College of Nursing,2785509,2932021,2101354,1997947,1494392,1198634,890229,737740,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,21224150,21296194,21781843,23093986,24354448,27341354,24685799,22488517,
107080,Hendrix College,196610987,206383801,201015739,186790084,185541373,179657921,173280855,155638499,
198677,Heritage Bible College,21050,99538,99145,95338,93857,95910,87925,61151,
101453,Heritage Christian University,11825721,10288695,9551013,9741072,9673420,9141335,8515507,7924018,
235422,Heritage University,26238313,23930971,16831003,14589740,15011132,13289841,11659514,10530861,
198695,High Point University,65747536,63760429,56668533,50211927,49791008,48024447,42681261,36364935,
191621,Hilbert College,6947767,7444295,6975505,6303824,6367499,6326951,5751895,5093152,
203128,Hiram College,72372546,74259063,74938994,69928286,70325492,69399237,63400588,60793290,
220312,Hiwassee College,,6038688,5852344,5105571,4830046,4510260,8230884,9584528,
191630,Hobart William Smith Colleges,226094148,232058732,214412048,187188927,199977634,202413144,181787616,161238813,
134510,Hobe Sound Bible College,2673009,2664508,2656788,2488398,2084021,2062021,2041726,2007528,
367884,Hodges University,2898507,2826636,2820919,2818695,2745821,2754844,4482577,4319004,
191649,Hofstra University,633700987,611432662,553025124,444920395,410321604,411699077,360482191,318447738,
232308,Hollins University,182729244,186334766,182202213,160817888,170970945,180654198,164852340,154465229,
129534,Holy Apostles College and Seminary,,,,,,,,,
150774,Holy Cross College,6131886,2961465,2064458,1513827,1498303,1357187,663262,669164,
239743,Holy Family College,7050629,7048441,6932653,6742981,7242230,7226971,6451857,5825436,
212984,Holy Family University,21183406,19989472,18469949,16692936,16883924,14990330,12953988,11476731,
115728,Holy Names University,54171145,51917540,50945666,47673827,15117070,14887244,12528301,10793284,
162760,Hood College,106904637,99715827,91295043,80899929,84671464,83449740,69427993,62064298,
443076,Hood Theological Seminary,7204066,6869691,6435260,5994977,5784563,13021422,12372178,11765134,
170301,Hope College,232249000,225656000,210474676,185869153,203272754,195965019,163934686,150928124,
120537,Hope International University,7380482,7302737,6959166,6916148,5738272,5540617,4749827,4740908,
457226,Horizon University,,,,,,,,,
191676,Houghton College,54414221,56219658,50905080,45789945,46414117,45486705,42524099,37500578,
225399,Houston Baptist University,105640311,102429599,102805132,94552666,100668709,90638537,85467373,77120359,
246345,Houston Graduate School of Theology,213627,213627,213627,213627,,,,,
225548,Howard Payne University,63736328,63937456,56480545,52168936,58144722,63572305,52470380,45704748,
131520,Howard University,692832000,688562000,646556000,577132000,590659000,591902000,514073000,460712000,
164368,Hult International Business School,,,,,,,,,
115773,Humphreys University-Stockton and Modesto Campuses,169248,202647,202446,200996,198396,196396,178841,174863,
101435,Huntingdon College,50818280,51200406,48175439,46960612,48278643,46921408,44721770,40085170,
150941,Huntington University,28693600,28719627,26953827,25198022,25374639,22864412,22663600,20113389,
449348,Huntsville Bible College,,,,,,,,,
161165,Husson University,,,,,,13372108,10162366,8008988,
225575,Huston-Tillotson University,10907159,9907917,11287988,10282198,10140239,9969699,9011930,8894294,
193405,Icahn School of Medicine at Mount Sinai,714803000,748174000,675121000,659261000,717372000,691221000,630518000,594968000,
127273,Iliff School of Theology,31533214,32216107,29970576,27661902,29766265,28966655,28448971,29095183,
145691,Illinois College,129905437,137753933,137538362,134885361,150123669,148409451,140735092,126040677,
145628,Illinois College of Optometry,1052252,901496,866647,853719,841005,709444,789251,766126,
145725,Illinois Institute of Technology,240549000,248557000,241882000,224236000,235459000,222986000,209874000,180231000,
145646,Illinois Wesleyan University,213947527,233815113,235602540,230533447,242816168,247050943,234587147,210946721,
213011,Immaculata University,18532299,19677380,18332331,16911661,17445622,17384822,15609767,14095116,
151290,Indiana Institute of Technology,137039068,131111439,123181930,102652574,96052710,81746057,72952339,40225910,
151801,Indiana Wesleyan University-Marion,204472443,190810563,166785949,146838068,145985050,138534803,107315990,82256405,
247922,Ingalls Memorial Hospital Dietetic Internship,,,,,,,,,
145886,Institute for Clinical Social Work,125002,125001,125000,124000,125000,124000,125000,123729,
462044,Institute for Doctoral Studies in the Visual Arts,601935,,,,,,,,
454838,Institute of Taoist Education and Acupuncture,,,,,,,,,
455804,Institute of World Politics,2778550,1845726,2905345,3507946,3276137,2909089,3429148,3252352,
140146,Interdenominational Theological Center,7677155,8680567,8401323,7856526,8472844,8305370,9411615,11444252,
436614,International Baptist College and Seminary,,,,,,,,,
448691,International Institute for Restorative Practices,,,,,,,,,
443128,International Technological University,,,,,,,,,
191931,Iona College,159938000,143741000,130846000,116406000,110891000,100296000,71320000,52538000,
153621,Iowa Wesleyan University,17400996,17472713,17218501,15087253,14991911,14792869,13924476,13092009,
441238,Irell & Manella Graduate School of Biological Sciences at City of Hope,23051837,23435056,22194070,21114983,19983139,21289782,19329351,18638238,
191968,Ithaca College,334006618,316025346,300710330,269582383,289274531,268214127,243341349,203280583,
134945,Jacksonville University,46742737,44737287,44280766,43782429,36987406,37417045,40274055,35399399,
225885,Jarvis Christian College,10730114,10593174,10539248,10494519,10459135,10384151,11412343,11585404,
215099,Jefferson (Philadelphia University + Thomas Jefferson University),,,31492603,27738864,28166417,27630437,24580790,22564115,
192040,Jewish Theological Seminary of America,141954763,136483460,129360217,116478506,113470879,109220859,106328211,102102488,
107141,John Brown University,125569692,120036525,113296671,101475534,100979996,92843034,80324375,72932853,
203368,John Carroll University,223538691,225754829,209273419,187663022,205196988,198276778,181003655,159891892,
116712,John F. Kennedy University,6465237,6180717,5679999,4744144,4895664,4539558,3805752,3411179,
452133,John Hancock University,,,,,,,,,
462354,John Paul the Great Catholic University,31063,30001,30000,30001,30000,30001,30000,30000,
198747,John Wesley University,,,605293,849782,1149601,1172390,996189,990833,
162928,Johns Hopkins University,6275939000,4190520000,3744751000,3306987000,3326932000,3392529000,2918546000,2593316000,
445708,Johnson & Wales University-Charlotte,6756339,,,,,,,,
439288,Johnson & Wales University-Denver,1363223,,,,,,,,
414823,Johnson & Wales University-North Miami,2764111,,,,,,,,
460349,Johnson & Wales University-Online,,,,,,,,,
217235,Johnson & Wales University-Providence,232450903,251631786,255888049,238944479,263780313,272937957,244787924,240317051,
198756,Johnson C Smith University,68950171,68175057,66566444,61949828,64381205,61125084,53785653,,
220473,Johnson University,120613467,127681729,123705762,117697121,117485835,117583014,108570383,106290708,
132879,Johnson University Florida,1744966,1425097,1345999,1278168,1209815,1028883,1256782,1025734,
135063,Jones College-Jacksonville,,,,,,,,,
101541,Judson College,15479806,15388964,16146614,14072037,15369581,16646068,15093396,14125342,
